name,dll,signature,description
DMLCreateDevice,DirectML.dll,"HRESULT DMLCreateDevice(ID3D12Device d3d12Device, DML_CREATE_DEVICE_FLAGS flags, Guid* riid, void* ppv)",待补充
DMLCreateDevice1,DirectML.dll,"HRESULT DMLCreateDevice1(ID3D12Device d3d12Device, DML_CREATE_DEVICE_FLAGS flags, DML_FEATURE_LEVEL minimumFeatureLevel, Guid* riid, void* ppv)",待补充
WinMLCreateRuntime,winml.dll,HRESULT WinMLCreateRuntime(IWinMLRuntime* runtime),待补充
MLCreateOperatorRegistry,windows.ai.machinelearning.dll,HRESULT MLCreateOperatorRegistry(IMLOperatorRegistry* registry),待补充
DRMSetGlobalOptions,msdrm.dll,"HRESULT DRMSetGlobalOptions(DRMGLOBALOPTIONS eGlobalOptions, Void* pvdata, UInt32 dwlen)",待补充
DRMGetClientVersion,msdrm.dll,HRESULT DRMGetClientVersion(DRM_CLIENT_VERSION_INFO* pDRMClientVersionInfo),待补充
DRMInitEnvironment,msdrm.dll,"HRESULT DRMInitEnvironment(DRMSECURITYPROVIDERTYPE eSecurityProviderType, DRMSPECTYPE eSpecification, PWSTR wszSecurityProvider, PWSTR wszManifestCredentials, PWSTR wszMachineCredentials, UInt32* phEnv, UInt32* phDefaultLibrary)",待补充
DRMLoadLibrary,msdrm.dll,"HRESULT DRMLoadLibrary(UInt32 hEnv, DRMSPECTYPE eSpecification, PWSTR wszLibraryProvider, PWSTR wszCredentials, UInt32* phLibrary)",待补充
DRMCreateEnablingPrincipal,msdrm.dll,"HRESULT DRMCreateEnablingPrincipal(UInt32 hEnv, UInt32 hLibrary, PWSTR wszObject, DRMID* pidPrincipal, PWSTR wszCredentials, UInt32* phEnablingPrincipal)",待补充
DRMCloseHandle,msdrm.dll,HRESULT DRMCloseHandle(UInt32 handle),待补充
DRMCloseEnvironmentHandle,msdrm.dll,HRESULT DRMCloseEnvironmentHandle(UInt32 hEnv),待补充
DRMDuplicateHandle,msdrm.dll,"HRESULT DRMDuplicateHandle(UInt32 hToCopy, UInt32* phCopy)",待补充
DRMDuplicateEnvironmentHandle,msdrm.dll,"HRESULT DRMDuplicateEnvironmentHandle(UInt32 hToCopy, UInt32* phCopy)",待补充
DRMRegisterRevocationList,msdrm.dll,"HRESULT DRMRegisterRevocationList(UInt32 hEnv, PWSTR wszRevocationList)",待补充
DRMCheckSecurity,msdrm.dll,"HRESULT DRMCheckSecurity(UInt32 hEnv, UInt32 cLevel)",待补充
DRMRegisterContent,msdrm.dll,HRESULT DRMRegisterContent(BOOL fRegister),待补充
DRMEncrypt,msdrm.dll,"HRESULT DRMEncrypt(UInt32 hCryptoProvider, UInt32 iPosition, UInt32 cNumInBytes, Byte* pbInData, UInt32* pcNumOutBytes, Byte* pbOutData)",待补充
DRMDecrypt,msdrm.dll,"HRESULT DRMDecrypt(UInt32 hCryptoProvider, UInt32 iPosition, UInt32 cNumInBytes, Byte* pbInData, UInt32* pcNumOutBytes, Byte* pbOutData)",待补充
DRMCreateBoundLicense,msdrm.dll,"HRESULT DRMCreateBoundLicense(UInt32 hEnv, DRMBOUNDLICENSEPARAMS* pParams, PWSTR wszLicenseChain, UInt32* phBoundLicense, UInt32* phErrorLog)",待补充
DRMCreateEnablingBitsDecryptor,msdrm.dll,"HRESULT DRMCreateEnablingBitsDecryptor(UInt32 hBoundLicense, PWSTR wszRight, UInt32 hAuxLib, PWSTR wszAuxPlug, UInt32* phDecryptor)",待补充
DRMCreateEnablingBitsEncryptor,msdrm.dll,"HRESULT DRMCreateEnablingBitsEncryptor(UInt32 hBoundLicense, PWSTR wszRight, UInt32 hAuxLib, PWSTR wszAuxPlug, UInt32* phEncryptor)",待补充
DRMAttest,msdrm.dll,"HRESULT DRMAttest(UInt32 hEnablingPrincipal, PWSTR wszData, DRMATTESTTYPE eType, UInt32* pcAttestedBlob, Char* wszAttestedBlob)",待补充
DRMGetTime,msdrm.dll,"HRESULT DRMGetTime(UInt32 hEnv, DRMTIMETYPE eTimerIdType, SYSTEMTIME* poTimeObject)",待补充
DRMGetInfo,msdrm.dll,"HRESULT DRMGetInfo(UInt32 handle, PWSTR wszAttribute, DRMENCODINGTYPE* peEncoding, UInt32* pcBuffer, Byte* pbBuffer)",待补充
DRMGetEnvironmentInfo,msdrm.dll,"HRESULT DRMGetEnvironmentInfo(UInt32 handle, PWSTR wszAttribute, DRMENCODINGTYPE* peEncoding, UInt32* pcBuffer, Byte* pbBuffer)",待补充
DRMGetProcAddress,msdrm.dll,"HRESULT DRMGetProcAddress(UInt32 hLibrary, PWSTR wszProcName, FARPROC* ppfnProcAddress)",待补充
DRMGetBoundLicenseObjectCount,msdrm.dll,"HRESULT DRMGetBoundLicenseObjectCount(UInt32 hQueryRoot, PWSTR wszSubObjectType, UInt32* pcSubObjects)",待补充
DRMGetBoundLicenseObject,msdrm.dll,"HRESULT DRMGetBoundLicenseObject(UInt32 hQueryRoot, PWSTR wszSubObjectType, UInt32 iWhich, UInt32* phSubObject)",待补充
DRMGetBoundLicenseAttributeCount,msdrm.dll,"HRESULT DRMGetBoundLicenseAttributeCount(UInt32 hQueryRoot, PWSTR wszAttribute, UInt32* pcAttributes)",待补充
DRMGetBoundLicenseAttribute,msdrm.dll,"HRESULT DRMGetBoundLicenseAttribute(UInt32 hQueryRoot, PWSTR wszAttribute, UInt32 iWhich, DRMENCODINGTYPE* peEncoding, UInt32* pcBuffer, Byte* pbBuffer)",待补充
DRMCreateClientSession,msdrm.dll,"HRESULT DRMCreateClientSession(DRMCALLBACK pfnCallback, UInt32 uCallbackVersion, PWSTR wszGroupIDProviderType, PWSTR wszGroupID, UInt32* phClient)",待补充
DRMIsActivated,msdrm.dll,"HRESULT DRMIsActivated(UInt32 hClient, UInt32 uFlags, DRM_ACTSERV_INFO* pActServInfo)",待补充
DRMActivate,msdrm.dll,"HRESULT DRMActivate(UInt32 hClient, UInt32 uFlags, UInt32 uLangID, DRM_ACTSERV_INFO* pActServInfo, Void* pvContext, HWND hParentWnd)",待补充
DRMGetServiceLocation,msdrm.dll,"HRESULT DRMGetServiceLocation(UInt32 hClient, UInt32 uServiceType, UInt32 uServiceLocation, PWSTR wszIssuanceLicense, UInt32* puServiceURLLength, Char* wszServiceURL)",待补充
DRMCreateLicenseStorageSession,msdrm.dll,"HRESULT DRMCreateLicenseStorageSession(UInt32 hEnv, UInt32 hDefaultLibrary, UInt32 hClient, UInt32 uFlags, PWSTR wszIssuanceLicense, UInt32* phLicenseStorage)",待补充
DRMAddLicense,msdrm.dll,"HRESULT DRMAddLicense(UInt32 hLicenseStorage, UInt32 uFlags, PWSTR wszLicense)",待补充
DRMAcquireAdvisories,msdrm.dll,"HRESULT DRMAcquireAdvisories(UInt32 hLicenseStorage, PWSTR wszLicense, PWSTR wszURL, Void* pvContext)",待补充
DRMEnumerateLicense,msdrm.dll,"HRESULT DRMEnumerateLicense(UInt32 hSession, UInt32 uFlags, UInt32 uIndex, BOOL* pfSharedFlag, UInt32* puCertificateDataLen, Char* wszCertificateData)",待补充
DRMAcquireLicense,msdrm.dll,"HRESULT DRMAcquireLicense(UInt32 hSession, UInt32 uFlags, PWSTR wszGroupIdentityCredential, PWSTR wszRequestedRights, PWSTR wszCustomData, PWSTR wszURL, Void* pvContext)",待补充
DRMDeleteLicense,msdrm.dll,"HRESULT DRMDeleteLicense(UInt32 hSession, PWSTR wszLicenseId)",待补充
DRMCloseSession,msdrm.dll,HRESULT DRMCloseSession(UInt32 hSession),待补充
DRMDuplicateSession,msdrm.dll,"HRESULT DRMDuplicateSession(UInt32 hSessionIn, UInt32* phSessionOut)",待补充
DRMGetSecurityProvider,msdrm.dll,"HRESULT DRMGetSecurityProvider(UInt32 uFlags, UInt32* puTypeLen, Char* wszType, UInt32* puPathLen, Char* wszPath)",待补充
DRMEncode,msdrm.dll,"HRESULT DRMEncode(PWSTR wszAlgID, UInt32 uDataLen, Byte* pbDecodedData, UInt32* puEncodedStringLen, Char* wszEncodedString)",待补充
DRMDecode,msdrm.dll,"HRESULT DRMDecode(PWSTR wszAlgID, PWSTR wszEncodedString, UInt32* puDecodedDataLen, Byte* pbDecodedData)",待补充
DRMConstructCertificateChain,msdrm.dll,"HRESULT DRMConstructCertificateChain(UInt32 cCertificates, PWSTR* rgwszCertificates, UInt32* pcChain, Char* wszChain)",待补充
DRMParseUnboundLicense,msdrm.dll,"HRESULT DRMParseUnboundLicense(PWSTR wszCertificate, UInt32* phQueryRoot)",待补充
DRMCloseQueryHandle,msdrm.dll,HRESULT DRMCloseQueryHandle(UInt32 hQuery),待补充
DRMGetUnboundLicenseObjectCount,msdrm.dll,"HRESULT DRMGetUnboundLicenseObjectCount(UInt32 hQueryRoot, PWSTR wszSubObjectType, UInt32* pcSubObjects)",待补充
DRMGetUnboundLicenseObject,msdrm.dll,"HRESULT DRMGetUnboundLicenseObject(UInt32 hQueryRoot, PWSTR wszSubObjectType, UInt32 iIndex, UInt32* phSubQuery)",待补充
DRMGetUnboundLicenseAttributeCount,msdrm.dll,"HRESULT DRMGetUnboundLicenseAttributeCount(UInt32 hQueryRoot, PWSTR wszAttributeType, UInt32* pcAttributes)",待补充
DRMGetUnboundLicenseAttribute,msdrm.dll,"HRESULT DRMGetUnboundLicenseAttribute(UInt32 hQueryRoot, PWSTR wszAttributeType, UInt32 iWhich, DRMENCODINGTYPE* peEncoding, UInt32* pcBuffer, Byte* pbBuffer)",待补充
DRMGetCertificateChainCount,msdrm.dll,"HRESULT DRMGetCertificateChainCount(PWSTR wszChain, UInt32* pcCertCount)",待补充
DRMDeconstructCertificateChain,msdrm.dll,"HRESULT DRMDeconstructCertificateChain(PWSTR wszChain, UInt32 iWhich, UInt32* pcCert, Char* wszCert)",待补充
DRMVerify,msdrm.dll,"HRESULT DRMVerify(PWSTR wszData, UInt32* pcAttestedData, Char* wszAttestedData, DRMATTESTTYPE* peType, UInt32* pcPrincipal, Char* wszPrincipal, UInt32* pcManifest, Char* wszManifest)",待补充
DRMCreateUser,msdrm.dll,"HRESULT DRMCreateUser(PWSTR wszUserName, PWSTR wszUserId, PWSTR wszUserIdType, UInt32* phUser)",待补充
DRMCreateRight,msdrm.dll,"HRESULT DRMCreateRight(PWSTR wszRightName, SYSTEMTIME* pstFrom, SYSTEMTIME* pstUntil, UInt32 cExtendedInfo, PWSTR* pwszExtendedInfoName, PWSTR* pwszExtendedInfoValue, UInt32* phRight)",待补充
DRMCreateIssuanceLicense,msdrm.dll,"HRESULT DRMCreateIssuanceLicense(SYSTEMTIME* pstTimeFrom, SYSTEMTIME* pstTimeUntil, PWSTR wszReferralInfoName, PWSTR wszReferralInfoURL, UInt32 hOwner, PWSTR wszIssuanceLicense, UInt32 hBoundLicense, UInt32* phIssuanceLicense)",待补充
DRMAddRightWithUser,msdrm.dll,"HRESULT DRMAddRightWithUser(UInt32 hIssuanceLicense, UInt32 hRight, UInt32 hUser)",待补充
DRMClearAllRights,msdrm.dll,HRESULT DRMClearAllRights(UInt32 hIssuanceLicense),待补充
DRMSetMetaData,msdrm.dll,"HRESULT DRMSetMetaData(UInt32 hIssuanceLicense, PWSTR wszContentId, PWSTR wszContentIdType, PWSTR wszSKUId, PWSTR wszSKUIdType, PWSTR wszContentType, PWSTR wszContentName)",待补充
DRMSetUsagePolicy,msdrm.dll,"HRESULT DRMSetUsagePolicy(UInt32 hIssuanceLicense, DRM_USAGEPOLICY_TYPE eUsagePolicyType, BOOL fDelete, BOOL fExclusion, PWSTR wszName, PWSTR wszMinVersion, PWSTR wszMaxVersion, PWSTR wszPublicKey, PWSTR wszDigestAlgorithm, Byte* pbDigest, UInt32 cbDigest)",待补充
DRMSetRevocationPoint,msdrm.dll,"HRESULT DRMSetRevocationPoint(UInt32 hIssuanceLicense, BOOL fDelete, PWSTR wszId, PWSTR wszIdType, PWSTR wszURL, SYSTEMTIME* pstFrequency, PWSTR wszName, PWSTR wszPublicKey)",待补充
DRMSetApplicationSpecificData,msdrm.dll,"HRESULT DRMSetApplicationSpecificData(UInt32 hIssuanceLicense, BOOL fDelete, PWSTR wszName, PWSTR wszValue)",待补充
DRMSetNameAndDescription,msdrm.dll,"HRESULT DRMSetNameAndDescription(UInt32 hIssuanceLicense, BOOL fDelete, UInt32 lcid, PWSTR wszName, PWSTR wszDescription)",待补充
DRMSetIntervalTime,msdrm.dll,"HRESULT DRMSetIntervalTime(UInt32 hIssuanceLicense, UInt32 cDays)",待补充
DRMGetIssuanceLicenseTemplate,msdrm.dll,"HRESULT DRMGetIssuanceLicenseTemplate(UInt32 hIssuanceLicense, UInt32* puIssuanceLicenseTemplateLength, Char* wszIssuanceLicenseTemplate)",待补充
DRMGetSignedIssuanceLicense,msdrm.dll,"HRESULT DRMGetSignedIssuanceLicense(UInt32 hEnv, UInt32 hIssuanceLicense, UInt32 uFlags, Byte* pbSymKey, UInt32 cbSymKey, PWSTR wszSymKeyType, PWSTR wszClientLicensorCertificate, DRMCALLBACK pfnCallback, PWSTR wszURL, Void* pvContext)",待补充
