从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：609 个
[写入] IsTextUnicode（5 条文档条目）
[写入] SaferGetPolicyInformation（4 条文档条目）
[写入] SaferSetPolicyInformation（4 条文档条目）
[写入] SaferCreateLevel（4 条文档条目）
[写入] SaferCloseLevel（4 条文档条目）
[写入] SaferIdentifyLevel（4 条文档条目）
[写入] SaferComputeTokenFromLevel（4 条文档条目）
[写入] SaferGetLevelInformation（4 条文档条目）
[写入] SaferSetLevelInformation（4 条文档条目）
[写入] SaferRecordEventLogEntry（5 条文档条目）
[写入] SaferiIsExecutableFileType（5 条文档条目）
[写入] LsaFreeMemory（4 条文档条目）
[写入] LsaClose（4 条文档条目）
[写入] LsaOpenPolicy（5 条文档条目）
[跳过] LsaSetCAPs：Learn 索引中未找到
[写入] LsaGetAppliedCAPIDs（5 条文档条目）
[写入] LsaQueryCAPs（4 条文档条目）
[写入] LsaQueryInformationPolicy（5 条文档条目）
[写入] LsaSetInformationPolicy（4 条文档条目）
[写入] LsaQueryDomainInformationPolicy（5 条文档条目）
[写入] LsaSetDomainInformationPolicy（5 条文档条目）
[写入] LsaEnumerateTrustedDomains（5 条文档条目）
[写入] LsaLookupNames（5 条文档条目）
[写入] LsaLookupNames2（5 条文档条目）
[写入] LsaLookupSids（5 条文档条目）
[写入] LsaLookupSids2（5 条文档条目）
[写入] LsaEnumerateAccountsWithUserRight（4 条文档条目）
[写入] LsaEnumerateAccountRights（4 条文档条目）
[写入] LsaAddAccountRights（5 条文档条目）
[写入] LsaRemoveAccountRights（4 条文档条目）
[写入] LsaOpenTrustedDomainByName（4 条文档条目）
[写入] LsaQueryTrustedDomainInfo（4 条文档条目）
[写入] LsaSetTrustedDomainInformation（4 条文档条目）
[写入] LsaDeleteTrustedDomain（4 条文档条目）
[写入] LsaQueryTrustedDomainInfoByName（4 条文档条目）
[写入] LsaSetTrustedDomainInfoByName（4 条文档条目）
[写入] LsaEnumerateTrustedDomainsEx（5 条文档条目）
[写入] LsaCreateTrustedDomainEx（5 条文档条目）
[写入] LsaQueryForestTrustInformation（5 条文档条目）
[写入] LsaSetForestTrustInformation（4 条文档条目）
[写入] LsaStorePrivateData（5 条文档条目）
[写入] LsaRetrievePrivateData（5 条文档条目）
[写入] LsaNtStatusToWinError（4 条文档条目）
[跳过] SystemFunction036：Learn 索引中未找到
[跳过] SystemFunction040：Learn 索引中未找到
[跳过] SystemFunction041：Learn 索引中未找到
[写入] AuditSetSystemPolicy（5 条文档条目）
[写入] AuditSetPerUserPolicy（5 条文档条目）
[写入] AuditQuerySystemPolicy（5 条文档条目）
[写入] AuditQueryPerUserPolicy（5 条文档条目）
[写入] AuditEnumeratePerUserPolicy（5 条文档条目）
