从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：239 个
[写入] CM_Add_Empty_Log_Conf（5 条文档条目）
[写入] CM_Add_Empty_Log_Conf_Ex（5 条文档条目）
[写入] CM_Add_IDA（5 条文档条目）
[写入] CM_Add_IDW（5 条文档条目）
[写入] CM_Add_ID_ExA（5 条文档条目）
[写入] CM_Add_ID_ExW（5 条文档条目）
[写入] CM_Add_Range（2 条文档条目）
[写入] CM_Add_Res_Des（5 条文档条目）
[写入] CM_Add_Res_Des_Ex（5 条文档条目）
[写入] CM_Connect_MachineA（5 条文档条目）
[写入] CM_Connect_MachineW（5 条文档条目）
[写入] CM_Create_DevNodeA（2 条文档条目）
[写入] CM_Create_DevNodeW（2 条文档条目）
[写入] CM_Create_DevNode_ExA（2 条文档条目）
[写入] CM_Create_DevNode_ExW（2 条文档条目）
[写入] CM_Create_Range_List（2 条文档条目）
[写入] CM_Delete_Class_Key（4 条文档条目）
[写入] CM_Delete_Class_Key_Ex（2 条文档条目）
[写入] CM_Delete_DevNode_Key（4 条文档条目）
[写入] CM_Delete_DevNode_Key_Ex（2 条文档条目）
[写入] CM_Delete_Range（2 条文档条目）
[写入] CM_Detect_Resource_Conflict（2 条文档条目）
[写入] CM_Detect_Resource_Conflict_Ex（2 条文档条目）
[写入] CM_Disable_DevNode（5 条文档条目）
[写入] CM_Disable_DevNode_Ex（2 条文档条目）
[写入] CM_Disconnect_Machine（5 条文档条目）
[写入] CM_Dup_Range_List（2 条文档条目）
[写入] CM_Enable_DevNode（4 条文档条目）
[写入] CM_Enable_DevNode_Ex（2 条文档条目）
[写入] CM_Enumerate_Classes（5 条文档条目）
[写入] CM_Enumerate_Classes_Ex（5 条文档条目）
[写入] CM_Enumerate_EnumeratorsA（5 条文档条目）
[写入] CM_Enumerate_EnumeratorsW（5 条文档条目）
[写入] CM_Enumerate_Enumerators_ExA（5 条文档条目）
[写入] CM_Enumerate_Enumerators_ExW（5 条文档条目）
[写入] CM_Find_Range（2 条文档条目）
[写入] CM_First_Range（2 条文档条目）
[写入] CM_Free_Log_Conf（5 条文档条目）
[写入] CM_Free_Log_Conf_Ex（5 条文档条目）
[写入] CM_Free_Log_Conf_Handle（5 条文档条目）
[写入] CM_Free_Range_List（2 条文档条目）
[写入] CM_Free_Res_Des（5 条文档条目）
[写入] CM_Free_Res_Des_Ex（5 条文档条目）
[写入] CM_Free_Res_Des_Handle（5 条文档条目）
[写入] CM_Get_Child（5 条文档条目）
[写入] CM_Get_Child_Ex（5 条文档条目）
[写入] CM_Get_Class_NameA（2 条文档条目）
[写入] CM_Get_Class_NameW（2 条文档条目）
[写入] CM_Get_Class_Name_ExA（2 条文档条目）
[写入] CM_Get_Class_Name_ExW（2 条文档条目）
[写入] CM_Get_Class_Key_NameA（2 条文档条目）
[写入] CM_Get_Class_Key_NameW（2 条文档条目）
[写入] CM_Get_Class_Key_Name_ExA（2 条文档条目）
[写入] CM_Get_Class_Key_Name_ExW（2 条文档条目）
[写入] CM_Get_Depth（5 条文档条目）
[写入] CM_Get_Depth_Ex（5 条文档条目）
[写入] CM_Get_Device_IDA（5 条文档条目）
[写入] CM_Get_Device_IDW（5 条文档条目）
[写入] CM_Get_Device_ID_ExA（5 条文档条目）
[写入] CM_Get_Device_ID_ExW（5 条文档条目）
[写入] CM_Get_Device_ID_ListA（5 条文档条目）
[写入] CM_Get_Device_ID_ListW（5 条文档条目）
[写入] CM_Get_Device_ID_List_ExA（5 条文档条目）
[写入] CM_Get_Device_ID_List_ExW（5 条文档条目）
[写入] CM_Get_Device_ID_List_SizeA（5 条文档条目）
[写入] CM_Get_Device_ID_List_SizeW（5 条文档条目）
[写入] CM_Get_Device_ID_List_Size_ExA（5 条文档条目）
[写入] CM_Get_Device_ID_List_Size_ExW（5 条文档条目）
[写入] CM_Get_Device_ID_Size（5 条文档条目）
[写入] CM_Get_Device_ID_Size_Ex（5 条文档条目）
[写入] CM_Get_DevNode_PropertyW（5 条文档条目）
[写入] CM_Get_DevNode_Property_ExW（5 条文档条目）
[写入] CM_Get_DevNode_Property_Keys（5 条文档条目）
[写入] CM_Get_DevNode_Property_Keys_Ex（5 条文档条目）
[写入] CM_Get_DevNode_Registry_PropertyA（5 条文档条目）
