从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：226 个
[跳过] GetNodeClusterState：Learn 索引中未找到
[跳过] OpenCluster：Learn 索引中未找到
[跳过] OpenClusterEx：Learn 索引中未找到
[跳过] CloseCluster：Learn 索引中未找到
[跳过] SetClusterName：Learn 索引中未找到
[跳过] GetClusterInformation：Learn 索引中未找到
[跳过] GetClusterQuorumResource：Learn 索引中未找到
[跳过] SetClusterQuorumResource：Learn 索引中未找到
[跳过] BackupClusterDatabase：Learn 索引中未找到
[跳过] RestoreClusterDatabase：Learn 索引中未找到
[跳过] SetClusterNetworkPriorityOrder：Learn 索引中未找到
[跳过] SetClusterServiceAccountPassword：Learn 索引中未找到
[跳过] ClusterControl：Learn 索引中未找到
[跳过] ClusterUpgradeFunctionalLevel：Learn 索引中未找到
[跳过] CreateClusterNotifyPortV2：Learn 索引中未找到
[跳过] RegisterClusterNotifyV2：Learn 索引中未找到
[跳过] GetNotifyEventHandle：Learn 索引中未找到
[跳过] GetClusterNotifyV2：Learn 索引中未找到
[跳过] CreateClusterNotifyPort：Learn 索引中未找到
[跳过] RegisterClusterNotify：Learn 索引中未找到
[跳过] GetClusterNotify：Learn 索引中未找到
[跳过] CloseClusterNotifyPort：Learn 索引中未找到
[跳过] ClusterOpenEnum：Learn 索引中未找到
[跳过] ClusterGetEnumCount：Learn 索引中未找到
[跳过] ClusterEnum：Learn 索引中未找到
[跳过] ClusterCloseEnum：Learn 索引中未找到
[跳过] ClusterOpenEnumEx：Learn 索引中未找到
[跳过] ClusterGetEnumCountEx：Learn 索引中未找到
[跳过] ClusterEnumEx：Learn 索引中未找到
[跳过] ClusterCloseEnumEx：Learn 索引中未找到
[跳过] CreateClusterGroupSet：Learn 索引中未找到
[跳过] OpenClusterGroupSet：Learn 索引中未找到
[跳过] CloseClusterGroupSet：Learn 索引中未找到
[跳过] DeleteClusterGroupSet：Learn 索引中未找到
[跳过] ClusterAddGroupToGroupSet：Learn 索引中未找到
[跳过] ClusterAddGroupToGroupSetWithDomains：Learn 索引中未找到
[跳过] ClusterRemoveGroupFromGroupSet：Learn 索引中未找到
[跳过] ClusterGroupSetControl：Learn 索引中未找到
[跳过] AddClusterGroupDependency：Learn 索引中未找到
[跳过] SetGroupDependencyExpression：Learn 索引中未找到
[跳过] RemoveClusterGroupDependency：Learn 索引中未找到
[跳过] AddClusterGroupSetDependency：Learn 索引中未找到
[跳过] SetClusterGroupSetDependencyExpression：Learn 索引中未找到
[跳过] RemoveClusterGroupSetDependency：Learn 索引中未找到
[跳过] AddClusterGroupToGroupSetDependency：Learn 索引中未找到
[跳过] RemoveClusterGroupToGroupSetDependency：Learn 索引中未找到
[跳过] ClusterGroupSetOpenEnum：Learn 索引中未找到
[跳过] ClusterGroupSetGetEnumCount：Learn 索引中未找到
[跳过] ClusterGroupSetEnum：Learn 索引中未找到
[跳过] ClusterGroupSetCloseEnum：Learn 索引中未找到
[跳过] AddCrossClusterGroupSetDependency：Learn 索引中未找到
[跳过] RemoveCrossClusterGroupSetDependency：Learn 索引中未找到
[跳过] CreateClusterAvailabilitySet：Learn 索引中未找到
