从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：115 个
[写入] CreatePropertySheetPageA（5 条文档条目）
[写入] CreatePropertySheetPageW（5 条文档条目）
[写入] DestroyPropertySheetPage（4 条文档条目）
[写入] PropertySheetA（5 条文档条目）
[写入] PropertySheetW（5 条文档条目）
[写入] InitCommonControls（4 条文档条目）
[写入] InitCommonControlsEx（5 条文档条目）
[写入] ImageList_Create（5 条文档条目）
[写入] ImageList_Destroy（4 条文档条目）
[写入] ImageList_GetImageCount（4 条文档条目）
[写入] ImageList_SetImageCount（5 条文档条目）
[写入] ImageList_Add（5 条文档条目）
[写入] ImageList_ReplaceIcon（5 条文档条目）
[写入] ImageList_SetBkColor（4 条文档条目）
[写入] ImageList_GetBkColor（4 条文档条目）
[写入] ImageList_SetOverlayImage（5 条文档条目）
[写入] ImageList_Draw（5 条文档条目）
[写入] ImageList_Replace（5 条文档条目）
[写入] ImageList_AddMasked（5 条文档条目）
[写入] ImageList_DrawEx（5 条文档条目）
[写入] ImageList_DrawIndirect（4 条文档条目）
[写入] ImageList_Remove（5 条文档条目）
[写入] ImageList_GetIcon（5 条文档条目）
[写入] ImageList_LoadImageA（5 条文档条目）
[写入] ImageList_LoadImageW（5 条文档条目）
[写入] ImageList_Copy（4 条文档条目）
[写入] ImageList_BeginDrag（5 条文档条目）
[写入] ImageList_EndDrag（4 条文档条目）
[写入] ImageList_DragEnter（5 条文档条目）
[写入] ImageList_DragLeave（4 条文档条目）
[写入] ImageList_DragMove（5 条文档条目）
[写入] ImageList_SetDragCursorImage（4 条文档条目）
[写入] ImageList_DragShowNolock（4 条文档条目）
[写入] ImageList_GetDragImage（5 条文档条目）
[写入] ImageList_Read（4 条文档条目）
[写入] ImageList_Write（4 条文档条目）
[写入] ImageList_ReadEx（5 条文档条目）
[写入] ImageList_WriteEx（5 条文档条目）
[写入] ImageList_GetIconSize（4 条文档条目）
[写入] ImageList_SetIconSize（4 条文档条目）
[写入] ImageList_GetImageInfo（5 条文档条目）
[写入] ImageList_Merge（5 条文档条目）
[写入] ImageList_Duplicate（4 条文档条目）
[写入] HIMAGELIST_QueryInterface（4 条文档条目）
[写入] CreateToolbarEx（5 条文档条目）
[写入] CreateMappedBitmap（6 条文档条目）
[写入] DrawStatusTextA（5 条文档条目）
[写入] DrawStatusTextW（5 条文档条目）
[写入] CreateStatusWindowA（5 条文档条目）
[写入] CreateStatusWindowW（5 条文档条目）
[写入] MenuHelp（5 条文档条目）
[写入] ShowHideMenuCtl（4 条文档条目）
[写入] GetEffectiveClientRect（5 条文档条目）
[写入] MakeDragList（4 条文档条目）
[写入] DrawInsert（4 条文档条目）
[写入] LBItemFromPt（5 条文档条目）
[写入] CreateUpDownControl（4 条文档条目）
[写入] TaskDialogIndirect（5 条文档条目）
[写入] TaskDialog（5 条文档条目）
[写入] InitMUILanguage（5 条文档条目）
[写入] GetMUILanguage（4 条文档条目）
[写入] DSA_Create（5 条文档条目）
[写入] DSA_Destroy（4 条文档条目）
[写入] DSA_DestroyCallback（4 条文档条目）
[写入] DSA_DeleteItem（5 条文档条目）
[写入] DSA_DeleteAllItems（4 条文档条目）
[写入] DSA_EnumCallback（4 条文档条目）
[写入] DSA_InsertItem（5 条文档条目）
[写入] DSA_GetItemPtr（5 条文档条目）
[写入] DSA_GetItem（5 条文档条目）
[写入] DSA_SetItem（5 条文档条目）
[写入] DSA_Clone（5 条文档条目）
[写入] DSA_GetSize（4 条文档条目）
[写入] DSA_Sort（4 条文档条目）
[写入] DPA_Create（4 条文档条目）
[写入] DPA_CreateEx（5 条文档条目）
[写入] DPA_Clone（5 条文档条目）
[写入] DPA_Destroy（4 条文档条目）
[写入] DPA_DestroyCallback（4 条文档条目）
[写入] DPA_DeletePtr（4 条文档条目）
[写入] DPA_DeleteAllPtrs（4 条文档条目）
[写入] DPA_EnumCallback（4 条文档条目）
