从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：229 个
[写入] CryptSIPLoad（4 条文档条目）
[写入] CryptSIPRetrieveSubjectGuid（4 条文档条目）
[写入] CryptSIPRetrieveSubjectGuidForCatalogFile（5 条文档条目）
[写入] CryptSIPAddProvider（5 条文档条目）
[写入] CryptSIPRemoveProvider（5 条文档条目）
[写入] CryptFormatObject（5 条文档条目）
[写入] CryptEncodeObjectEx（6 条文档条目）
[写入] CryptEncodeObject（5 条文档条目）
[写入] CryptDecodeObjectEx（5 条文档条目）
[写入] CryptDecodeObject（5 条文档条目）
[写入] CryptInstallOIDFunctionAddress（4 条文档条目）
[写入] CryptInitOIDFunctionSet（4 条文档条目）
[写入] CryptGetOIDFunctionAddress（5 条文档条目）
[写入] CryptGetDefaultOIDDllList（4 条文档条目）
[写入] CryptGetDefaultOIDFunctionAddress（4 条文档条目）
[写入] CryptFreeOIDFunctionAddress（5 条文档条目）
[写入] CryptRegisterOIDFunction（5 条文档条目）
[写入] CryptUnregisterOIDFunction（4 条文档条目）
[写入] CryptRegisterDefaultOIDFunction（4 条文档条目）
[写入] CryptUnregisterDefaultOIDFunction（4 条文档条目）
[写入] CryptSetOIDFunctionValue（4 条文档条目）
[写入] CryptGetOIDFunctionValue（4 条文档条目）
[写入] CryptEnumOIDFunction（4 条文档条目）
[写入] CryptFindOIDInfo（5 条文档条目）
[写入] CryptRegisterOIDInfo（5 条文档条目）
[写入] CryptUnregisterOIDInfo（4 条文档条目）
[写入] CryptEnumOIDInfo（4 条文档条目）
[写入] CryptFindLocalizedName（5 条文档条目）
[写入] CryptMsgOpenToEncode（5 条文档条目）
[写入] CryptMsgCalculateEncodedLength（4 条文档条目）
[写入] CryptMsgOpenToDecode（4 条文档条目）
[写入] CryptMsgDuplicate（5 条文档条目）
[写入] CryptMsgClose（4 条文档条目）
[写入] CryptMsgUpdate（4 条文档条目）
[写入] CryptMsgGetParam（5 条文档条目）
[写入] CryptMsgControl（4 条文档条目）
[写入] CryptMsgVerifyCountersignatureEncoded（5 条文档条目）
[写入] CryptMsgVerifyCountersignatureEncodedEx（5 条文档条目）
[写入] CryptMsgCountersign（4 条文档条目）
[写入] CryptMsgCountersignEncoded（4 条文档条目）
[写入] CertOpenStore（6 条文档条目）
[写入] CertDuplicateStore（4 条文档条目）
[写入] CertSaveStore（4 条文档条目）
[写入] CertCloseStore（5 条文档条目）
[写入] CertGetSubjectCertificateFromStore（6 条文档条目）
[写入] CertEnumCertificatesInStore（6 条文档条目）
[写入] CertFindCertificateInStore（6 条文档条目）
[写入] CertGetIssuerCertificateFromStore（5 条文档条目）
[写入] CertVerifySubjectCertificateContext（5 条文档条目）
[写入] CertDuplicateCertificateContext（4 条文档条目）
[写入] CertCreateCertificateContext（6 条文档条目）
[写入] CertFreeCertificateContext（4 条文档条目）
[写入] CertSetCertificateContextProperty（5 条文档条目）
[写入] CertGetCertificateContextProperty（5 条文档条目）
[写入] CertEnumCertificateContextProperties（5 条文档条目）
[写入] CertCreateCTLEntryFromCertificateContextProperties（4 条文档条目）
[写入] CertSetCertificateContextPropertiesFromCTLEntry（4 条文档条目）
[写入] CertGetCRLFromStore（5 条文档条目）
[写入] CertEnumCRLsInStore（5 条文档条目）
[写入] CertFindCRLInStore（5 条文档条目）
[写入] CertDuplicateCRLContext（4 条文档条目）
[写入] CertCreateCRLContext（5 条文档条目）
[写入] CertFreeCRLContext（4 条文档条目）
[写入] CertSetCRLContextProperty（5 条文档条目）
[写入] CertGetCRLContextProperty（4 条文档条目）
[写入] CertEnumCRLContextProperties（4 条文档条目）
[写入] CertFindCertificateInCRL（4 条文档条目）
[写入] CertIsValidCRLForCertificate（5 条文档条目）
[写入] CertAddEncodedCertificateToStore（4 条文档条目）
[写入] CertAddCertificateContextToStore（5 条文档条目）
[写入] CertAddSerializedElementToStore（4 条文档条目）
[写入] CertDeleteCertificateFromStore（5 条文档条目）
[写入] CertAddEncodedCRLToStore（4 条文档条目）
[写入] CertAddCRLContextToStore（5 条文档条目）
[写入] CertDeleteCRLFromStore（5 条文档条目）
[写入] CertSerializeCertificateStoreElement（4 条文档条目）
[写入] CertSerializeCRLStoreElement（4 条文档条目）
[写入] CertDuplicateCTLContext（4 条文档条目）
[写入] CertCreateCTLContext（5 条文档条目）
[写入] CertFreeCTLContext（4 条文档条目）
[写入] CertSetCTLContextProperty（5 条文档条目）
[写入] CertGetCTLContextProperty（4 条文档条目）
[写入] CertEnumCTLContextProperties（4 条文档条目）
[写入] CertEnumCTLsInStore（5 条文档条目）
[写入] CertFindSubjectInCTL（5 条文档条目）
[写入] CertFindCTLInStore（5 条文档条目）
[写入] CertAddEncodedCTLToStore（4 条文档条目）
[写入] CertAddCTLContextToStore（5 条文档条目）
[写入] CertSerializeCTLStoreElement（4 条文档条目）
[写入] CertDeleteCTLFromStore（5 条文档条目）
[写入] CertAddCertificateLinkToStore（5 条文档条目）
[写入] CertAddCRLLinkToStore（5 条文档条目）
[写入] CertAddCTLLinkToStore（5 条文档条目）
[写入] CertAddStoreToCollection（6 条文档条目）
[写入] CertRemoveStoreFromCollection（4 条文档条目）
[写入] CertControlStore（6 条文档条目）
[写入] CertSetStoreProperty（6 条文档条目）
[写入] CertGetStoreProperty（6 条文档条目）
[写入] CertCreateContext（4 条文档条目）
[写入] CertRegisterSystemStore（6 条文档条目）
[写入] CertRegisterPhysicalStore（4 条文档条目）
[写入] CertUnregisterSystemStore（4 条文档条目）
[写入] CertUnregisterPhysicalStore（4 条文档条目）
[写入] CertEnumSystemStoreLocation（5 条文档条目）
[写入] CertEnumSystemStore（5 条文档条目）
[写入] CertEnumPhysicalStore（5 条文档条目）
[写入] CertGetEnhancedKeyUsage（5 条文档条目）
[写入] CertSetEnhancedKeyUsage（4 条文档条目）
[写入] CertAddEnhancedKeyUsageIdentifier（4 条文档条目）
[写入] CertRemoveEnhancedKeyUsageIdentifier（4 条文档条目）
[写入] CertGetValidUsages（4 条文档条目）
[写入] CryptMsgGetAndVerifySigner（4 条文档条目）
[写入] CryptMsgSignCTL（4 条文档条目）
[写入] CryptMsgEncodeAndSignCTL（4 条文档条目）
[写入] CertFindSubjectInSortedCTL（4 条文档条目）
[写入] CertEnumSubjectInSortedCTL（5 条文档条目）
[写入] CertVerifyCTLUsage（5 条文档条目）
[写入] CertVerifyRevocation（5 条文档条目）
[写入] CertCompareIntegerBlob（5 条文档条目）
[写入] CertCompareCertificate（4 条文档条目）
[写入] CertCompareCertificateName（4 条文档条目）
[写入] CertIsRDNAttrsInCertificateName（5 条文档条目）
[写入] CertComparePublicKeyInfo（4 条文档条目）
[写入] CertGetPublicKeyLength（4 条文档条目）
[写入] CryptVerifyCertificateSignature（5 条文档条目）
[写入] CryptVerifyCertificateSignatureEx（5 条文档条目）
[写入] CertIsStrongHashToSign（4 条文档条目）
[写入] CryptHashToBeSigned（4 条文档条目）
[写入] CryptHashCertificate（4 条文档条目）
[写入] CryptHashCertificate2（4 条文档条目）
[写入] CryptSignCertificate（4 条文档条目）
[写入] CryptSignAndEncodeCertificate（4 条文档条目）
[写入] CertVerifyTimeValidity（4 条文档条目）
[写入] CertVerifyCRLTimeValidity（4 条文档条目）
[写入] CertVerifyValidityNesting（4 条文档条目）
[写入] CertVerifyCRLRevocation（4 条文档条目）
[写入] CertAlgIdToOID（4 条文档条目）
[写入] CertOIDToAlgId（4 条文档条目）
[写入] CertFindExtension（4 条文档条目）
[写入] CertFindAttribute（4 条文档条目）
[写入] CertFindRDNAttr（4 条文档条目）
[写入] CertGetIntendedKeyUsage（4 条文档条目）
[写入] CryptInstallDefaultContext（5 条文档条目）
[写入] CryptUninstallDefaultContext（4 条文档条目）
[写入] CryptExportPublicKeyInfo（4 条文档条目）
[写入] CryptExportPublicKeyInfoEx（4 条文档条目）
[写入] CryptExportPublicKeyInfoFromBCryptKeyHandle（5 条文档条目）
[写入] CryptImportPublicKeyInfo（5 条文档条目）
[写入] CryptImportPublicKeyInfoEx（5 条文档条目）
[写入] CryptImportPublicKeyInfoEx2（4 条文档条目）
[写入] CryptAcquireCertificatePrivateKey（5 条文档条目）
[写入] CryptFindCertificateKeyProvInfo（5 条文档条目）
[写入] CryptImportPKCS8（5 条文档条目）
[写入] CryptExportPKCS8（5 条文档条目）
[写入] CryptHashPublicKeyInfo（4 条文档条目）
[写入] CertRDNValueToStrA（5 条文档条目）
[写入] CertRDNValueToStrW（5 条文档条目）
[写入] CertNameToStrA（5 条文档条目）
[写入] CertNameToStrW（5 条文档条目）
[写入] CertStrToNameA（5 条文档条目）
[写入] CertStrToNameW（5 条文档条目）
[写入] CertGetNameStringA（5 条文档条目）
