从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：196 个
[写入] DhcpAddFilterV4（5 条文档条目）
[写入] DhcpDeleteFilterV4（4 条文档条目）
[写入] DhcpSetFilterV4（5 条文档条目）
[写入] DhcpGetFilterV4（4 条文档条目）
[写入] DhcpEnumFilterV4（4 条文档条目）
[写入] DhcpCreateSubnet（4 条文档条目）
[写入] DhcpSetSubnetInfo（4 条文档条目）
[写入] DhcpGetSubnetInfo（5 条文档条目）
[写入] DhcpEnumSubnets（5 条文档条目）
[写入] DhcpAddSubnetElement（4 条文档条目）
[写入] DhcpEnumSubnetElements（4 条文档条目）
[写入] DhcpRemoveSubnetElement（4 条文档条目）
[写入] DhcpDeleteSubnet（5 条文档条目）
[写入] DhcpCreateOption（5 条文档条目）
[写入] DhcpSetOptionInfo（4 条文档条目）
[写入] DhcpGetOptionInfo（4 条文档条目）
[写入] DhcpEnumOptions（5 条文档条目）
[写入] DhcpRemoveOption（4 条文档条目）
[写入] DhcpSetOptionValue（5 条文档条目）
[写入] DhcpSetOptionValues（5 条文档条目）
[写入] DhcpGetOptionValue（5 条文档条目）
[写入] DhcpEnumOptionValues（4 条文档条目）
[写入] DhcpRemoveOptionValue（4 条文档条目）
[写入] DhcpCreateClientInfoVQ（5 条文档条目）
[写入] DhcpSetClientInfoVQ（4 条文档条目）
[写入] DhcpGetClientInfoVQ（5 条文档条目）
[写入] DhcpEnumSubnetClientsVQ（5 条文档条目）
[写入] DhcpEnumSubnetClientsFilterStatusInfo（4 条文档条目）
[写入] DhcpCreateClientInfo（5 条文档条目）
[写入] DhcpSetClientInfo（5 条文档条目）
[写入] DhcpGetClientInfo（5 条文档条目）
[写入] DhcpDeleteClientInfo（5 条文档条目）
[写入] DhcpEnumSubnetClients（5 条文档条目）
[写入] DhcpGetClientOptions（4 条文档条目）
[跳过] DhcpGetMibInfo：Learn 索引中未找到
[写入] DhcpServerSetConfig（5 条文档条目）
[写入] DhcpServerGetConfig（4 条文档条目）
[写入] DhcpScanDatabase（5 条文档条目）
[写入] DhcpRpcFreeMemory（5 条文档条目）
[写入] DhcpGetVersion（4 条文档条目）
[写入] DhcpAddSubnetElementV4（4 条文档条目）
[写入] DhcpEnumSubnetElementsV4（4 条文档条目）
[写入] DhcpRemoveSubnetElementV4（4 条文档条目）
[写入] DhcpCreateClientInfoV4（5 条文档条目）
[写入] DhcpSetClientInfoV4（4 条文档条目）
[写入] DhcpGetClientInfoV4（4 条文档条目）
[写入] DhcpEnumSubnetClientsV4（5 条文档条目）
[写入] DhcpServerSetConfigV4（4 条文档条目）
[写入] DhcpServerGetConfigV4（4 条文档条目）
[写入] DhcpSetSuperScopeV4（5 条文档条目）
[写入] DhcpDeleteSuperScopeV4（5 条文档条目）
[写入] DhcpGetSuperScopeInfoV4（5 条文档条目）
[写入] DhcpEnumSubnetClientsV5（5 条文档条目）
[写入] DhcpCreateOptionV5（4 条文档条目）
[写入] DhcpSetOptionInfoV5（4 条文档条目）
[写入] DhcpGetOptionInfoV5（4 条文档条目）
[写入] DhcpEnumOptionsV5（4 条文档条目）
[写入] DhcpRemoveOptionV5（4 条文档条目）
[写入] DhcpSetOptionValueV5（4 条文档条目）
[写入] DhcpSetOptionValuesV5（5 条文档条目）
[写入] DhcpGetOptionValueV5（4 条文档条目）
[写入] DhcpGetOptionValueV6（5 条文档条目）
[写入] DhcpEnumOptionValuesV5（4 条文档条目）
[写入] DhcpRemoveOptionValueV5（4 条文档条目）
[写入] DhcpCreateClass（4 条文档条目）
[写入] DhcpModifyClass（4 条文档条目）
[写入] DhcpDeleteClass（4 条文档条目）
[写入] DhcpGetClassInfo（5 条文档条目）
[写入] DhcpEnumClasses（4 条文档条目）
[写入] DhcpGetAllOptions（5 条文档条目）
[写入] DhcpGetAllOptionsV6（4 条文档条目）
[写入] DhcpGetAllOptionValues（5 条文档条目）
[写入] DhcpGetAllOptionValuesV6（4 条文档条目）
[写入] DhcpEnumServers（4 条文档条目）
[写入] DhcpAddServer（4 条文档条目）
[写入] DhcpDeleteServer（4 条文档条目）
[写入] DhcpGetServerBindingInfo（5 条文档条目）
[写入] DhcpSetServerBindingInfo（5 条文档条目）
[写入] DhcpAddSubnetElementV5（5 条文档条目）
[写入] DhcpEnumSubnetElementsV5（5 条文档条目）
[写入] DhcpRemoveSubnetElementV5（5 条文档条目）
[写入] DhcpV4EnumSubnetReservations（5 条文档条目）
[写入] DhcpCreateOptionV6（4 条文档条目）
[写入] DhcpRemoveOptionV6（4 条文档条目）
[写入] DhcpEnumOptionsV6（4 条文档条目）
[写入] DhcpRemoveOptionValueV6（4 条文档条目）
[写入] DhcpGetOptionInfoV6（4 条文档条目）
[写入] DhcpSetOptionInfoV6（4 条文档条目）
[写入] DhcpSetOptionValueV6（4 条文档条目）
[写入] DhcpGetSubnetInfoVQ（4 条文档条目）
[写入] DhcpCreateSubnetVQ（4 条文档条目）
[写入] DhcpSetSubnetInfoVQ（4 条文档条目）
[写入] DhcpEnumOptionValuesV6（4 条文档条目）
[写入] DhcpDsInit（4 条文档条目）
[写入] DhcpDsCleanup（3 条文档条目）
[写入] DhcpSetThreadOptions（5 条文档条目）
[写入] DhcpGetThreadOptions（4 条文档条目）
[写入] DhcpServerQueryAttribute（5 条文档条目）
[写入] DhcpServerQueryAttributes（5 条文档条目）
[写入] DhcpServerRedoAuthorization（5 条文档条目）
[写入] DhcpAuditLogSetParams（4 条文档条目）
[写入] DhcpAuditLogGetParams（4 条文档条目）
[写入] DhcpServerQueryDnsRegCredentials（5 条文档条目）
[跳过] DhcpServerSetDnsRegCredentials：Learn 索引中未找到
[写入] DhcpServerSetDnsRegCredentialsV5（4 条文档条目）
[写入] DhcpServerBackupDatabase（4 条文档条目）
[写入] DhcpServerRestoreDatabase（4 条文档条目）
[写入] DhcpServerSetConfigVQ（5 条文档条目）
[写入] DhcpServerGetConfigVQ（5 条文档条目）
[写入] DhcpGetServerSpecificStrings（4 条文档条目）
[跳过] DhcpServerAuditlogParamsFree：Learn 索引中未找到
[写入] DhcpCreateSubnetV6（4 条文档条目）
[写入] DhcpDeleteSubnetV6（4 条文档条目）
[写入] DhcpEnumSubnetsV6（4 条文档条目）
[写入] DhcpAddSubnetElementV6（4 条文档条目）
[写入] DhcpRemoveSubnetElementV6（4 条文档条目）
[写入] DhcpEnumSubnetElementsV6（4 条文档条目）
[写入] DhcpGetSubnetInfoV6（4 条文档条目）
[写入] DhcpEnumSubnetClientsV6（4 条文档条目）
[写入] DhcpServerGetConfigV6（4 条文档条目）
[写入] DhcpServerSetConfigV6（4 条文档条目）
[写入] DhcpSetSubnetInfoV6（4 条文档条目）
[写入] DhcpGetMibInfoV6（4 条文档条目）
[写入] DhcpGetServerBindingInfoV6（5 条文档条目）
[写入] DhcpSetServerBindingInfoV6（4 条文档条目）
[写入] DhcpSetClientInfoV6（5 条文档条目）
[写入] DhcpGetClientInfoV6（4 条文档条目）
[写入] DhcpDeleteClientInfoV6（4 条文档条目）
[写入] DhcpCreateClassV6（4 条文档条目）
[写入] DhcpModifyClassV6（4 条文档条目）
[写入] DhcpDeleteClassV6（4 条文档条目）
[写入] DhcpEnumClassesV6（5 条文档条目）
[写入] DhcpSetSubnetDelayOffer（4 条文档条目）
[写入] DhcpGetSubnetDelayOffer（4 条文档条目）
[写入] DhcpGetMibInfoV5（4 条文档条目）
[跳过] DhcpAddSecurityGroup：Learn 索引中未找到
[写入] DhcpV4GetOptionValue（5 条文档条目）
[写入] DhcpV4SetOptionValue（4 条文档条目）
[写入] DhcpV4SetOptionValues（5 条文档条目）
[写入] DhcpV4RemoveOptionValue（4 条文档条目）
[写入] DhcpV4GetAllOptionValues（5 条文档条目）
[写入] DhcpV4FailoverCreateRelationship（4 条文档条目）
[写入] DhcpV4FailoverSetRelationship（4 条文档条目）
[写入] DhcpV4FailoverDeleteRelationship（4 条文档条目）
[写入] DhcpV4FailoverGetRelationship（4 条文档条目）
[写入] DhcpV4FailoverEnumRelationship（4 条文档条目）
[写入] DhcpV4FailoverAddScopeToRelationship（4 条文档条目）
[写入] DhcpV4FailoverDeleteScopeFromRelationship（4 条文档条目）
[写入] DhcpV4FailoverGetScopeRelationship（4 条文档条目）
[写入] DhcpV4FailoverGetScopeStatistics（4 条文档条目）
[写入] DhcpV4FailoverGetClientInfo（4 条文档条目）
[写入] DhcpV4FailoverGetSystemTime（4 条文档条目）
