从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：229 个
[跳过] JetInit：Learn 索引中未找到
[跳过] JetInit2：Learn 索引中未找到
[跳过] JetInit3A：Learn 索引中未找到
[跳过] JetInit3W：Learn 索引中未找到
[跳过] JetCreateInstanceA：Learn 索引中未找到
[跳过] JetCreateInstanceW：Learn 索引中未找到
[跳过] JetCreateInstance2A：Learn 索引中未找到
[跳过] JetCreateInstance2W：Learn 索引中未找到
[跳过] JetGetInstanceMiscInfo：Learn 索引中未找到
[跳过] JetTerm：Learn 索引中未找到
[跳过] JetTerm2：Learn 索引中未找到
[跳过] JetStopService：Learn 索引中未找到
[跳过] JetStopServiceInstance：Learn 索引中未找到
[跳过] JetStopServiceInstance2：Learn 索引中未找到
[跳过] JetStopBackup：Learn 索引中未找到
[跳过] JetStopBackupInstance：Learn 索引中未找到
[跳过] JetSetSystemParameterA：Learn 索引中未找到
[跳过] JetSetSystemParameterW：Learn 索引中未找到
[跳过] JetGetSystemParameterA：Learn 索引中未找到
[跳过] JetGetSystemParameterW：Learn 索引中未找到
[跳过] JetEnableMultiInstanceA：Learn 索引中未找到
[跳过] JetEnableMultiInstanceW：Learn 索引中未找到
[跳过] JetGetThreadStats：Learn 索引中未找到
[跳过] JetBeginSessionA：Learn 索引中未找到
[跳过] JetBeginSessionW：Learn 索引中未找到
[跳过] JetDupSession：Learn 索引中未找到
[跳过] JetEndSession：Learn 索引中未找到
[跳过] JetGetVersion：Learn 索引中未找到
[跳过] JetIdle：Learn 索引中未找到
[跳过] JetCreateDatabaseA：Learn 索引中未找到
[跳过] JetCreateDatabaseW：Learn 索引中未找到
[跳过] JetCreateDatabase2A：Learn 索引中未找到
[跳过] JetCreateDatabase2W：Learn 索引中未找到
[跳过] JetAttachDatabaseA：Learn 索引中未找到
[跳过] JetAttachDatabaseW：Learn 索引中未找到
[跳过] JetAttachDatabase2A：Learn 索引中未找到
[跳过] JetAttachDatabase2W：Learn 索引中未找到
[跳过] JetDetachDatabaseA：Learn 索引中未找到
[跳过] JetDetachDatabaseW：Learn 索引中未找到
[跳过] JetDetachDatabase2A：Learn 索引中未找到
[跳过] JetDetachDatabase2W：Learn 索引中未找到
[跳过] JetGetObjectInfoA：Learn 索引中未找到
[跳过] JetGetObjectInfoW：Learn 索引中未找到
[跳过] JetGetTableInfoA：Learn 索引中未找到
[跳过] JetGetTableInfoW：Learn 索引中未找到
[跳过] JetCreateTableA：Learn 索引中未找到
[跳过] JetCreateTableW：Learn 索引中未找到
[跳过] JetCreateTableColumnIndexA：Learn 索引中未找到
[跳过] JetCreateTableColumnIndexW：Learn 索引中未找到
[跳过] JetCreateTableColumnIndex2A：Learn 索引中未找到
[跳过] JetCreateTableColumnIndex2W：Learn 索引中未找到
[跳过] JetCreateTableColumnIndex3A：Learn 索引中未找到
[跳过] JetCreateTableColumnIndex3W：Learn 索引中未找到
[跳过] JetCreateTableColumnIndex4A：Learn 索引中未找到
[跳过] JetCreateTableColumnIndex4W：Learn 索引中未找到
[跳过] JetDeleteTableA：Learn 索引中未找到
[跳过] JetDeleteTableW：Learn 索引中未找到
[跳过] JetRenameTableA：Learn 索引中未找到
[跳过] JetRenameTableW：Learn 索引中未找到
[跳过] JetGetTableColumnInfoA：Learn 索引中未找到
[跳过] JetGetTableColumnInfoW：Learn 索引中未找到
[跳过] JetGetColumnInfoA：Learn 索引中未找到
[跳过] JetGetColumnInfoW：Learn 索引中未找到
[跳过] JetAddColumnA：Learn 索引中未找到
[跳过] JetAddColumnW：Learn 索引中未找到
[跳过] JetDeleteColumnA：Learn 索引中未找到
[跳过] JetDeleteColumnW：Learn 索引中未找到
[跳过] JetDeleteColumn2A：Learn 索引中未找到
[跳过] JetDeleteColumn2W：Learn 索引中未找到
[跳过] JetRenameColumnA：Learn 索引中未找到
[跳过] JetRenameColumnW：Learn 索引中未找到
[跳过] JetSetColumnDefaultValueA：Learn 索引中未找到
[跳过] JetSetColumnDefaultValueW：Learn 索引中未找到
[跳过] JetGetTableIndexInfoA：Learn 索引中未找到
[跳过] JetGetTableIndexInfoW：Learn 索引中未找到
[跳过] JetGetIndexInfoA：Learn 索引中未找到
[跳过] JetGetIndexInfoW：Learn 索引中未找到
[跳过] JetCreateIndexA：Learn 索引中未找到
[跳过] JetCreateIndexW：Learn 索引中未找到
[跳过] JetCreateIndex2A：Learn 索引中未找到
[跳过] JetCreateIndex2W：Learn 索引中未找到
[跳过] JetCreateIndex3A：Learn 索引中未找到
[跳过] JetCreateIndex3W：Learn 索引中未找到
[跳过] JetCreateIndex4A：Learn 索引中未找到
[跳过] JetCreateIndex4W：Learn 索引中未找到
[跳过] JetDeleteIndexA：Learn 索引中未找到
[跳过] JetDeleteIndexW：Learn 索引中未找到
[跳过] JetBeginTransaction：Learn 索引中未找到
[跳过] JetBeginTransaction2：Learn 索引中未找到
[跳过] JetBeginTransaction3：Learn 索引中未找到
[跳过] JetCommitTransaction：Learn 索引中未找到
[跳过] JetCommitTransaction2：Learn 索引中未找到
[跳过] JetRollback：Learn 索引中未找到
[跳过] JetGetDatabaseInfoA：Learn 索引中未找到
[跳过] JetGetDatabaseInfoW：Learn 索引中未找到
[跳过] JetGetDatabaseFileInfoA：Learn 索引中未找到
[跳过] JetGetDatabaseFileInfoW：Learn 索引中未找到
[跳过] JetOpenDatabaseA：Learn 索引中未找到
[跳过] JetOpenDatabaseW：Learn 索引中未找到
[跳过] JetCloseDatabase：Learn 索引中未找到
[跳过] JetOpenTableA：Learn 索引中未找到
[跳过] JetOpenTableW：Learn 索引中未找到
[跳过] JetSetTableSequential：Learn 索引中未找到
[跳过] JetResetTableSequential：Learn 索引中未找到
[跳过] JetCloseTable：Learn 索引中未找到
[跳过] JetDelete：Learn 索引中未找到
[跳过] JetUpdate：Learn 索引中未找到
[跳过] JetUpdate2：Learn 索引中未找到
[跳过] JetEscrowUpdate：Learn 索引中未找到
[跳过] JetRetrieveColumn：Learn 索引中未找到
[跳过] JetRetrieveColumns：Learn 索引中未找到
[跳过] JetEnumerateColumns：Learn 索引中未找到
[跳过] JetGetRecordSize：Learn 索引中未找到
[跳过] JetGetRecordSize2：Learn 索引中未找到
[跳过] JetSetColumn：Learn 索引中未找到
[跳过] JetSetColumns：Learn 索引中未找到
[跳过] JetPrepareUpdate：Learn 索引中未找到
[跳过] JetGetRecordPosition：Learn 索引中未找到
[跳过] JetGotoPosition：Learn 索引中未找到
[跳过] JetGetCursorInfo：Learn 索引中未找到
[跳过] JetDupCursor：Learn 索引中未找到
[跳过] JetGetCurrentIndexA：Learn 索引中未找到
[跳过] JetGetCurrentIndexW：Learn 索引中未找到
[跳过] JetSetCurrentIndexA：Learn 索引中未找到
[跳过] JetSetCurrentIndexW：Learn 索引中未找到
[跳过] JetSetCurrentIndex2A：Learn 索引中未找到
[跳过] JetSetCurrentIndex2W：Learn 索引中未找到
[跳过] JetSetCurrentIndex3A：Learn 索引中未找到
[跳过] JetSetCurrentIndex3W：Learn 索引中未找到
[跳过] JetSetCurrentIndex4A：Learn 索引中未找到
[跳过] JetSetCurrentIndex4W：Learn 索引中未找到
[跳过] JetMove：Learn 索引中未找到
[跳过] JetSetCursorFilter：Learn 索引中未找到
[跳过] JetGetLock：Learn 索引中未找到
[跳过] JetMakeKey：Learn 索引中未找到
[跳过] JetSeek：Learn 索引中未找到
[跳过] JetPrereadKeys：Learn 索引中未找到
[跳过] JetPrereadIndexRanges：Learn 索引中未找到
[跳过] JetGetBookmark：Learn 索引中未找到
[跳过] JetGetSecondaryIndexBookmark：Learn 索引中未找到
[跳过] JetCompactA：Learn 索引中未找到
[跳过] JetCompactW：Learn 索引中未找到
[跳过] JetDefragmentA：Learn 索引中未找到
[跳过] JetDefragmentW：Learn 索引中未找到
[跳过] JetDefragment2A：Learn 索引中未找到
[跳过] JetDefragment2W：Learn 索引中未找到
[跳过] JetDefragment3A：Learn 索引中未找到
[跳过] JetDefragment3W：Learn 索引中未找到
[跳过] JetSetDatabaseSizeA：Learn 索引中未找到
[跳过] JetSetDatabaseSizeW：Learn 索引中未找到
[跳过] JetGrowDatabase：Learn 索引中未找到
[跳过] JetResizeDatabase：Learn 索引中未找到
[跳过] JetSetSessionContext：Learn 索引中未找到
[跳过] JetResetSessionContext：Learn 索引中未找到
[跳过] JetGotoBookmark：Learn 索引中未找到
[跳过] JetGotoSecondaryIndexBookmark：Learn 索引中未找到
[跳过] JetIntersectIndexes：Learn 索引中未找到
[跳过] JetComputeStats：Learn 索引中未找到
[跳过] JetOpenTempTable：Learn 索引中未找到
[跳过] JetOpenTempTable2：Learn 索引中未找到
[跳过] JetOpenTempTable3：Learn 索引中未找到
[跳过] JetOpenTemporaryTable：Learn 索引中未找到
[跳过] JetOpenTemporaryTable2：Learn 索引中未找到
[跳过] JetBackupA：Learn 索引中未找到
[跳过] JetBackupW：Learn 索引中未找到
[跳过] JetBackupInstanceA：Learn 索引中未找到
[跳过] JetBackupInstanceW：Learn 索引中未找到
[跳过] JetRestoreA：Learn 索引中未找到
[跳过] JetRestoreW：Learn 索引中未找到
[跳过] JetRestore2A：Learn 索引中未找到
[跳过] JetRestore2W：Learn 索引中未找到
[跳过] JetRestoreInstanceA：Learn 索引中未找到
[跳过] JetRestoreInstanceW：Learn 索引中未找到
[跳过] JetSetIndexRange：Learn 索引中未找到
[跳过] JetIndexRecordCount：Learn 索引中未找到
[跳过] JetRetrieveKey：Learn 索引中未找到
[跳过] JetBeginExternalBackup：Learn 索引中未找到
[跳过] JetBeginExternalBackupInstance：Learn 索引中未找到
[跳过] JetGetAttachInfoA：Learn 索引中未找到
[跳过] JetGetAttachInfoW：Learn 索引中未找到
[跳过] JetGetAttachInfoInstanceA：Learn 索引中未找到
[跳过] JetGetAttachInfoInstanceW：Learn 索引中未找到
[跳过] JetOpenFileA：Learn 索引中未找到
[跳过] JetOpenFileW：Learn 索引中未找到
[跳过] JetOpenFileInstanceA：Learn 索引中未找到
