从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：431 个
[写入] BRUSHOBJ_pvAllocRbrush（5 条文档条目）
[写入] BRUSHOBJ_pvGetRbrush（5 条文档条目）
[写入] BRUSHOBJ_ulGetBrushColor（5 条文档条目）
[写入] BRUSHOBJ_hGetColorTransform（5 条文档条目）
[写入] CLIPOBJ_cEnumStart（5 条文档条目）
[写入] CLIPOBJ_bEnum（5 条文档条目）
[写入] CLIPOBJ_ppoGetPath（5 条文档条目）
[写入] FONTOBJ_cGetAllGlyphHandles（5 条文档条目）
[写入] FONTOBJ_vGetInfo（4 条文档条目）
[写入] FONTOBJ_cGetGlyphs（5 条文档条目）
[写入] FONTOBJ_pxoGetXform（5 条文档条目）
[写入] FONTOBJ_pifi（4 条文档条目）
[写入] FONTOBJ_pfdg（5 条文档条目）
[写入] FONTOBJ_pvTrueTypeFontFile（5 条文档条目）
[写入] FONTOBJ_pQueryGlyphAttrs（5 条文档条目）
[写入] PATHOBJ_vEnumStart（5 条文档条目）
[写入] PATHOBJ_bEnum（5 条文档条目）
[写入] PATHOBJ_vEnumStartClipLines（5 条文档条目）
[写入] PATHOBJ_bEnumClipLines（5 条文档条目）
[写入] PATHOBJ_vGetBounds（4 条文档条目）
[写入] STROBJ_vEnumStart（5 条文档条目）
[写入] STROBJ_bEnum（5 条文档条目）
[写入] STROBJ_bEnumPositionsOnly（5 条文档条目）
[写入] STROBJ_dwGetCodePage（4 条文档条目）
[写入] STROBJ_bGetAdvanceWidths（5 条文档条目）
[写入] XFORMOBJ_iGetXform（4 条文档条目）
[写入] XFORMOBJ_bApplyXform（4 条文档条目）
[写入] XLATEOBJ_iXlate（4 条文档条目）
[写入] XLATEOBJ_piVector（5 条文档条目）
[写入] XLATEOBJ_cGetPalette（5 条文档条目）
[写入] XLATEOBJ_hGetColorTransform（5 条文档条目）
[写入] EngCreateBitmap（5 条文档条目）
[写入] EngCreateDeviceSurface（5 条文档条目）
[写入] EngCreateDeviceBitmap（5 条文档条目）
[写入] EngDeleteSurface（4 条文档条目）
[写入] EngLockSurface（5 条文档条目）
[写入] EngUnlockSurface（5 条文档条目）
[写入] EngEraseSurface（4 条文档条目）
[写入] EngAssociateSurface（5 条文档条目）
[写入] EngMarkBandingSurface（5 条文档条目）
[写入] EngCheckAbort（5 条文档条目）
[写入] EngDeletePath（4 条文档条目）
[写入] EngCreatePalette（5 条文档条目）
[写入] EngDeletePalette（4 条文档条目）
[写入] EngCreateClip（4 条文档条目）
[写入] EngDeleteClip（4 条文档条目）
[写入] EngBitBlt（5 条文档条目）
[写入] EngLineTo（5 条文档条目）
[写入] EngStretchBlt（5 条文档条目）
[写入] EngStretchBltROP（5 条文档条目）
[写入] EngAlphaBlend（5 条文档条目）
[写入] EngGradientFill（5 条文档条目）
[写入] EngTransparentBlt（5 条文档条目）
[写入] EngTextOut（5 条文档条目）
[写入] EngStrokePath（5 条文档条目）
[写入] EngFillPath（5 条文档条目）
[写入] EngStrokeAndFillPath（5 条文档条目）
[写入] EngPaint（5 条文档条目）
[写入] EngCopyBits（5 条文档条目）
[写入] EngPlgBlt（5 条文档条目）
[写入] HT_Get8BPPFormatPalette（5 条文档条目）
[写入] HT_Get8BPPMaskPalette（5 条文档条目）
[写入] EngGetPrinterDataFileName（4 条文档条目）
[写入] EngGetDriverName（4 条文档条目）
[写入] EngLoadModule（5 条文档条目）
[写入] EngFindResource（5 条文档条目）
[写入] EngFreeModule（4 条文档条目）
[写入] EngCreateSemaphore（4 条文档条目）
[写入] EngAcquireSemaphore（5 条文档条目）
[写入] EngReleaseSemaphore（5 条文档条目）
[写入] EngDeleteSemaphore（4 条文档条目）
[写入] EngMultiByteToUnicodeN（4 条文档条目）
[写入] EngUnicodeToMultiByteN（4 条文档条目）
[写入] EngQueryLocalTime（5 条文档条目）
[写入] EngComputeGlyphSet（5 条文档条目）
[写入] EngMultiByteToWideChar（4 条文档条目）
[写入] EngWideCharToMultiByte（4 条文档条目）
[写入] EngGetCurrentCodePage（5 条文档条目）
[跳过] EngQueryEMFInfo：Learn 索引中未找到
[写入] GetTextCharset（4 条文档条目）
