从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：82 个
[写入] ImmInstallIMEA（5 条文档条目）
[写入] ImmInstallIMEW（5 条文档条目）
[写入] ImmGetDefaultIMEWnd（5 条文档条目）
[写入] ImmGetDescriptionA（5 条文档条目）
[写入] ImmGetDescriptionW（5 条文档条目）
[写入] ImmGetIMEFileNameA（5 条文档条目）
[写入] ImmGetIMEFileNameW（5 条文档条目）
[写入] ImmGetProperty（4 条文档条目）
[写入] ImmIsIME（4 条文档条目）
[写入] ImmSimulateHotKey（4 条文档条目）
[写入] ImmCreateContext（3 条文档条目）
[写入] ImmDestroyContext（5 条文档条目）
[写入] ImmGetContext（5 条文档条目）
[写入] ImmReleaseContext（4 条文档条目）
[写入] ImmAssociateContext（5 条文档条目）
[写入] ImmAssociateContextEx（5 条文档条目）
[写入] ImmGetCompositionStringA（5 条文档条目）
[写入] ImmGetCompositionStringW（5 条文档条目）
[写入] ImmSetCompositionStringA（5 条文档条目）
[写入] ImmSetCompositionStringW（5 条文档条目）
[写入] ImmGetCandidateListCountA（5 条文档条目）
[写入] ImmGetCandidateListCountW（5 条文档条目）
[写入] ImmGetCandidateListA（5 条文档条目）
[写入] ImmGetCandidateListW（5 条文档条目）
[写入] ImmGetGuideLineA（5 条文档条目）
[写入] ImmGetGuideLineW（5 条文档条目）
[写入] ImmGetConversionStatus（5 条文档条目）
[写入] ImmSetConversionStatus（5 条文档条目）
[写入] ImmGetOpenStatus（4 条文档条目）
[写入] ImmSetOpenStatus（5 条文档条目）
[写入] ImmGetCompositionFontA（5 条文档条目）
[写入] ImmGetCompositionFontW（5 条文档条目）
[写入] ImmSetCompositionFontA（5 条文档条目）
[写入] ImmSetCompositionFontW（5 条文档条目）
[写入] ImmConfigureIMEA（5 条文档条目）
[写入] ImmConfigureIMEW（5 条文档条目）
[写入] ImmEscapeA（5 条文档条目）
[写入] ImmEscapeW（5 条文档条目）
[写入] ImmGetConversionListA（5 条文档条目）
[写入] ImmGetConversionListW（5 条文档条目）
[写入] ImmNotifyIME（4 条文档条目）
[写入] ImmGetStatusWindowPos（4 条文档条目）
[写入] ImmSetStatusWindowPos（5 条文档条目）
[写入] ImmGetCompositionWindow（4 条文档条目）
[写入] ImmSetCompositionWindow（5 条文档条目）
[写入] ImmGetCandidateWindow（4 条文档条目）
[写入] ImmSetCandidateWindow（5 条文档条目）
[写入] ImmIsUIMessageA（5 条文档条目）
[写入] ImmIsUIMessageW（5 条文档条目）
[写入] ImmGetVirtualKey（5 条文档条目）
[写入] ImmRegisterWordA（5 条文档条目）
[写入] ImmRegisterWordW（5 条文档条目）
[写入] ImmUnregisterWordA（5 条文档条目）
[写入] ImmUnregisterWordW（5 条文档条目）
[写入] ImmGetRegisterWordStyleA（5 条文档条目）
[写入] ImmGetRegisterWordStyleW（5 条文档条目）
[写入] ImmEnumRegisterWordA（5 条文档条目）
[写入] ImmEnumRegisterWordW（5 条文档条目）
[写入] ImmDisableIME（5 条文档条目）
[写入] ImmEnumInputContext（5 条文档条目）
[写入] ImmGetImeMenuItemsA（5 条文档条目）
[写入] ImmGetImeMenuItemsW（5 条文档条目）
[写入] ImmDisableTextFrameService（5 条文档条目）
[写入] ImmDisableLegacyIME（4 条文档条目）
[跳过] ImmGetHotKey：Learn 索引中未找到
[跳过] ImmSetHotKey：Learn 索引中未找到
[跳过] ImmGenerateMessage：Learn 索引中未找到
[写入] ImmRequestMessageA（5 条文档条目）
[写入] ImmRequestMessageW（5 条文档条目）
[跳过] ImmCreateSoftKeyboard：Learn 索引中未找到
[跳过] ImmDestroySoftKeyboard：Learn 索引中未找到
[跳过] ImmShowSoftKeyboard：Learn 索引中未找到
[跳过] ImmLockIMC：Learn 索引中未找到
[跳过] ImmUnlockIMC：Learn 索引中未找到
[跳过] ImmGetIMCLockCount：Learn 索引中未找到
[跳过] ImmCreateIMCC：Learn 索引中未找到
[跳过] ImmDestroyIMCC：Learn 索引中未找到
[跳过] ImmLockIMCC：Learn 索引中未找到
[跳过] ImmUnlockIMCC：Learn 索引中未找到
[跳过] ImmGetIMCCLockCount：Learn 索引中未找到
[跳过] ImmReSizeIMCC：Learn 索引中未找到
[跳过] ImmGetIMCCSize：Learn 索引中未找到

完成：处理 66，跳过(已存在) 0，索引缺失 16，失败 0
