从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：196 个
[写入] GetIfEntry2（6 条文档条目）
[写入] GetIfEntry2Ex（5 条文档条目）
[写入] GetIfTable2（5 条文档条目）
[写入] GetIfTable2Ex（5 条文档条目）
[写入] GetIfStackTable（5 条文档条目）
[写入] GetInvertedIfStackTable（5 条文档条目）
[写入] GetIpInterfaceEntry（5 条文档条目）
[写入] GetIpInterfaceTable（6 条文档条目）
[写入] InitializeIpInterfaceEntry（5 条文档条目）
[写入] NotifyIpInterfaceChange（5 条文档条目）
[写入] SetIpInterfaceEntry（5 条文档条目）
[写入] GetIpNetworkConnectionBandwidthEstimates（5 条文档条目）
[写入] CreateUnicastIpAddressEntry（6 条文档条目）
[写入] DeleteUnicastIpAddressEntry（5 条文档条目）
[写入] GetUnicastIpAddressEntry（6 条文档条目）
[写入] GetUnicastIpAddressTable（6 条文档条目）
[写入] InitializeUnicastIpAddressEntry（5 条文档条目）
[写入] NotifyUnicastIpAddressChange（5 条文档条目）
[写入] NotifyStableUnicastIpAddressTable（5 条文档条目）
[写入] SetUnicastIpAddressEntry（5 条文档条目）
[写入] CreateAnycastIpAddressEntry（5 条文档条目）
[写入] DeleteAnycastIpAddressEntry（5 条文档条目）
[写入] GetAnycastIpAddressEntry（5 条文档条目）
[写入] GetAnycastIpAddressTable（5 条文档条目）
[写入] GetMulticastIpAddressEntry（5 条文档条目）
[写入] GetMulticastIpAddressTable（5 条文档条目）
[写入] CreateIpForwardEntry2（5 条文档条目）
[写入] DeleteIpForwardEntry2（5 条文档条目）
[写入] GetBestRoute2（5 条文档条目）
[写入] GetIpForwardEntry2（5 条文档条目）
[写入] GetIpForwardTable2（5 条文档条目）
[写入] InitializeIpForwardEntry（5 条文档条目）
[写入] NotifyRouteChange2（5 条文档条目）
[写入] SetIpForwardEntry2（5 条文档条目）
[写入] FlushIpPathTable（5 条文档条目）
[写入] GetIpPathEntry（5 条文档条目）
[写入] GetIpPathTable（5 条文档条目）
[写入] CreateIpNetEntry2（5 条文档条目）
[写入] DeleteIpNetEntry2（5 条文档条目）
[写入] FlushIpNetTable2（5 条文档条目）
[写入] GetIpNetEntry2（5 条文档条目）
[写入] GetIpNetTable2（6 条文档条目）
[写入] ResolveIpNetEntry2（5 条文档条目）
[写入] SetIpNetEntry2（5 条文档条目）
[写入] NotifyTeredoPortChange（5 条文档条目）
[写入] GetTeredoPort（5 条文档条目）
[写入] CancelMibChangeNotify2（5 条文档条目）
[写入] FreeMibTable（5 条文档条目）
[写入] CreateSortedAddressPairs（5 条文档条目）
[跳过] ConvertCompartmentGuidToId：Learn 索引中未找到
[跳过] ConvertCompartmentIdToGuid：Learn 索引中未找到
[写入] ConvertInterfaceNameToLuidA（5 条文档条目）
[写入] ConvertInterfaceNameToLuidW（5 条文档条目）
[写入] ConvertInterfaceLuidToNameA（5 条文档条目）
[写入] ConvertInterfaceLuidToNameW（5 条文档条目）
[写入] ConvertInterfaceLuidToIndex（5 条文档条目）
[写入] ConvertInterfaceIndexToLuid（5 条文档条目）
[写入] ConvertInterfaceLuidToAlias（5 条文档条目）
[写入] ConvertInterfaceAliasToLuid（5 条文档条目）
[写入] ConvertInterfaceLuidToGuid（5 条文档条目）
[写入] ConvertInterfaceGuidToLuid（5 条文档条目）
[写入] if_nametoindex（5 条文档条目）
[写入] if_indextoname（5 条文档条目）
[写入] GetCurrentThreadCompartmentId（3 条文档条目）
[写入] SetCurrentThreadCompartmentId（4 条文档条目）
[跳过] GetCurrentThreadCompartmentScope：Learn 索引中未找到
[跳过] SetCurrentThreadCompartmentScope：Learn 索引中未找到
[跳过] GetJobCompartmentId：Learn 索引中未找到
[跳过] SetJobCompartmentId：Learn 索引中未找到
[写入] GetSessionCompartmentId（4 条文档条目）
[写入] SetSessionCompartmentId（4 条文档条目）
[写入] GetDefaultCompartmentId（3 条文档条目）
[写入] GetNetworkInformation（4 条文档条目）
[写入] SetNetworkInformation（4 条文档条目）
[写入] ConvertLengthToIpv4Mask（5 条文档条目）
[写入] ConvertIpv4MaskToLength（5 条文档条目）
[跳过] GetDnsSettings：Learn 索引中未找到
[跳过] FreeDnsSettings：Learn 索引中未找到
[跳过] SetDnsSettings：Learn 索引中未找到
[写入] GetInterfaceDnsSettings（4 条文档条目）
[写入] FreeInterfaceDnsSettings（3 条文档条目）
[写入] SetInterfaceDnsSettings（4 条文档条目）
[写入] GetNetworkConnectivityHint（4 条文档条目）
[写入] GetNetworkConnectivityHintForInterface（4 条文档条目）
[写入] NotifyNetworkConnectivityHintChange（5 条文档条目）
[写入] IcmpCreateFile（5 条文档条目）
[写入] Icmp6CreateFile（5 条文档条目）
[写入] IcmpCloseHandle（6 条文档条目）
[写入] IcmpSendEcho（6 条文档条目）
[写入] IcmpSendEcho2（5 条文档条目）
[写入] IcmpSendEcho2Ex（5 条文档条目）
[写入] Icmp6SendEcho2（5 条文档条目）
[写入] IcmpParseReplies（5 条文档条目）
[写入] Icmp6ParseReplies（5 条文档条目）
[写入] GetNumberOfInterfaces（5 条文档条目）
[写入] GetIfEntry（6 条文档条目）
[写入] GetIfTable（6 条文档条目）
[写入] GetIpAddrTable（6 条文档条目）
[写入] GetIpNetTable（5 条文档条目）
[写入] GetIpForwardTable（6 条文档条目）
[写入] GetTcpTable（6 条文档条目）
[写入] GetExtendedTcpTable（5 条文档条目）
[写入] GetOwnerModuleFromTcpEntry（5 条文档条目）
[写入] GetUdpTable（5 条文档条目）
[写入] GetExtendedUdpTable（5 条文档条目）
[写入] GetOwnerModuleFromUdpEntry（5 条文档条目）
[写入] GetTcpTable2（6 条文档条目）
[写入] GetTcp6Table（6 条文档条目）
[写入] GetTcp6Table2（5 条文档条目）
[写入] GetPerTcpConnectionEStats（5 条文档条目）
[写入] SetPerTcpConnectionEStats（5 条文档条目）
[写入] GetPerTcp6ConnectionEStats（6 条文档条目）
[写入] SetPerTcp6ConnectionEStats（5 条文档条目）
[写入] GetOwnerModuleFromTcp6Entry（5 条文档条目）
[写入] GetUdp6Table（5 条文档条目）
[写入] GetOwnerModuleFromUdp6Entry（5 条文档条目）
[跳过] GetOwnerModuleFromPidAndInfo：Learn 索引中未找到
[写入] GetIpStatistics（6 条文档条目）
[写入] GetIcmpStatistics（6 条文档条目）
[写入] GetTcpStatistics（6 条文档条目）
[写入] GetUdpStatistics（5 条文档条目）
[写入] SetIpStatisticsEx（5 条文档条目）
[写入] GetIpStatisticsEx（5 条文档条目）
[写入] GetIcmpStatisticsEx（5 条文档条目）
[写入] GetTcpStatisticsEx（4 条文档条目）
[写入] GetUdpStatisticsEx（4 条文档条目）
[写入] GetTcpStatisticsEx2（4 条文档条目）
[写入] GetUdpStatisticsEx2（4 条文档条目）
[写入] SetIfEntry（5 条文档条目）
[写入] CreateIpForwardEntry（6 条文档条目）
[写入] SetIpForwardEntry（6 条文档条目）
[写入] DeleteIpForwardEntry（6 条文档条目）
