从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：79 个
[跳过] GetIScsiVersionInformation：Learn 索引中未找到
[跳过] GetIScsiTargetInformationW：Learn 索引中未找到
[跳过] GetIScsiTargetInformationA：Learn 索引中未找到
[跳过] AddIScsiConnectionW：Learn 索引中未找到
[跳过] AddIScsiConnectionA：Learn 索引中未找到
[跳过] RemoveIScsiConnection：Learn 索引中未找到
[跳过] ReportIScsiTargetsW：Learn 索引中未找到
[跳过] ReportIScsiTargetsA：Learn 索引中未找到
[跳过] AddIScsiStaticTargetW：Learn 索引中未找到
[跳过] AddIScsiStaticTargetA：Learn 索引中未找到
[跳过] RemoveIScsiStaticTargetW：Learn 索引中未找到
[跳过] RemoveIScsiStaticTargetA：Learn 索引中未找到
[跳过] AddIScsiSendTargetPortalW：Learn 索引中未找到
[跳过] AddIScsiSendTargetPortalA：Learn 索引中未找到
[跳过] RemoveIScsiSendTargetPortalW：Learn 索引中未找到
[跳过] RemoveIScsiSendTargetPortalA：Learn 索引中未找到
[跳过] RefreshIScsiSendTargetPortalW：Learn 索引中未找到
[跳过] RefreshIScsiSendTargetPortalA：Learn 索引中未找到
[跳过] ReportIScsiSendTargetPortalsW：Learn 索引中未找到
[跳过] ReportIScsiSendTargetPortalsA：Learn 索引中未找到
[跳过] ReportIScsiSendTargetPortalsExW：Learn 索引中未找到
[跳过] ReportIScsiSendTargetPortalsExA：Learn 索引中未找到
[跳过] LoginIScsiTargetW：Learn 索引中未找到
[跳过] LoginIScsiTargetA：Learn 索引中未找到
[跳过] ReportIScsiPersistentLoginsW：Learn 索引中未找到
[跳过] ReportIScsiPersistentLoginsA：Learn 索引中未找到
[跳过] LogoutIScsiTarget：Learn 索引中未找到
[跳过] RemoveIScsiPersistentTargetW：Learn 索引中未找到
[跳过] RemoveIScsiPersistentTargetA：Learn 索引中未找到
[跳过] SendScsiInquiry：Learn 索引中未找到
[跳过] SendScsiReadCapacity：Learn 索引中未找到
[跳过] SendScsiReportLuns：Learn 索引中未找到
[跳过] ReportIScsiInitiatorListW：Learn 索引中未找到
[跳过] ReportIScsiInitiatorListA：Learn 索引中未找到
[跳过] ReportActiveIScsiTargetMappingsW：Learn 索引中未找到
[跳过] ReportActiveIScsiTargetMappingsA：Learn 索引中未找到
[跳过] SetIScsiTunnelModeOuterAddressW：Learn 索引中未找到
[跳过] SetIScsiTunnelModeOuterAddressA：Learn 索引中未找到
[跳过] SetIScsiIKEInfoW：Learn 索引中未找到
[跳过] SetIScsiIKEInfoA：Learn 索引中未找到
[跳过] GetIScsiIKEInfoW：Learn 索引中未找到
[跳过] GetIScsiIKEInfoA：Learn 索引中未找到
[跳过] SetIScsiGroupPresharedKey：Learn 索引中未找到
[跳过] SetIScsiInitiatorCHAPSharedSecret：Learn 索引中未找到
[跳过] SetIScsiInitiatorRADIUSSharedSecret：Learn 索引中未找到
[跳过] SetIScsiInitiatorNodeNameW：Learn 索引中未找到
[跳过] SetIScsiInitiatorNodeNameA：Learn 索引中未找到
[跳过] GetIScsiInitiatorNodeNameW：Learn 索引中未找到
[跳过] GetIScsiInitiatorNodeNameA：Learn 索引中未找到
[跳过] AddISNSServerW：Learn 索引中未找到
[跳过] AddISNSServerA：Learn 索引中未找到
[跳过] RemoveISNSServerW：Learn 索引中未找到
[跳过] RemoveISNSServerA：Learn 索引中未找到
[跳过] RefreshISNSServerW：Learn 索引中未找到
[跳过] RefreshISNSServerA：Learn 索引中未找到
[跳过] ReportISNSServerListW：Learn 索引中未找到
[跳过] ReportISNSServerListA：Learn 索引中未找到
[跳过] GetIScsiSessionListW：Learn 索引中未找到
[跳过] GetIScsiSessionListA：Learn 索引中未找到
[跳过] GetIScsiSessionListEx：Learn 索引中未找到
[跳过] GetDevicesForIScsiSessionW：Learn 索引中未找到
[跳过] GetDevicesForIScsiSessionA：Learn 索引中未找到
[跳过] SetupPersistentIScsiVolumes：Learn 索引中未找到
[跳过] SetupPersistentIScsiDevices：Learn 索引中未找到
[跳过] AddPersistentIScsiDeviceW：Learn 索引中未找到
[跳过] AddPersistentIScsiDeviceA：Learn 索引中未找到
[跳过] RemovePersistentIScsiDeviceW：Learn 索引中未找到
[跳过] RemovePersistentIScsiDeviceA：Learn 索引中未找到
[跳过] ClearPersistentIScsiDevices：Learn 索引中未找到
[跳过] ReportPersistentIScsiDevicesW：Learn 索引中未找到
[跳过] ReportPersistentIScsiDevicesA：Learn 索引中未找到
[跳过] ReportIScsiTargetPortalsW：Learn 索引中未找到
[跳过] ReportIScsiTargetPortalsA：Learn 索引中未找到
[跳过] AddRadiusServerW：Learn 索引中未找到
[跳过] AddRadiusServerA：Learn 索引中未找到
[跳过] RemoveRadiusServerW：Learn 索引中未找到
[跳过] RemoveRadiusServerA：Learn 索引中未找到
[跳过] ReportRadiusServerListW：Learn 索引中未找到
[跳过] ReportRadiusServerListA：Learn 索引中未找到

完成：处理 0，跳过(已存在) 0，索引缺失 79，失败 0
