从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：1343 个
[跳过] SetThreadPreferredUILanguages2：Learn 索引中未找到
[跳过] RestoreThreadPreferredUILanguages：Learn 索引中未找到
[跳过] GetStringTypeExA：Learn 索引中未找到
[跳过] LZStart：Learn 索引中未找到
[跳过] LZDone：Learn 索引中未找到
[跳过] CopyLZFile：Learn 索引中未找到
[跳过] CheckIsMSIXPackage：Learn 索引中未找到
[跳过] CreatePackageVirtualizationContext：Learn 索引中未找到
[跳过] ActivatePackageVirtualizationContext：Learn 索引中未找到
[跳过] ReleasePackageVirtualizationContext：Learn 索引中未找到
[跳过] DeactivatePackageVirtualizationContext：Learn 索引中未找到
[跳过] DuplicatePackageVirtualizationContext：Learn 索引中未找到
[跳过] GetCurrentPackageVirtualizationContext：Learn 索引中未找到
[跳过] GetProcessesInVirtualizationContext：Learn 索引中未找到
[跳过] AllocConsole：Learn 索引中未找到
[跳过] FreeConsole：Learn 索引中未找到
[跳过] AttachConsole：Learn 索引中未找到
[跳过] GetConsoleCP：Learn 索引中未找到
[跳过] GetConsoleOutputCP：Learn 索引中未找到
[跳过] GetConsoleMode：Learn 索引中未找到
[跳过] SetConsoleMode：Learn 索引中未找到
[跳过] GetNumberOfConsoleInputEvents：Learn 索引中未找到
[跳过] ReadConsoleInputA：Learn 索引中未找到
[跳过] ReadConsoleInputW：Learn 索引中未找到
[跳过] PeekConsoleInputA：Learn 索引中未找到
[跳过] PeekConsoleInputW：Learn 索引中未找到
[跳过] ReadConsoleA：Learn 索引中未找到
[跳过] ReadConsoleW：Learn 索引中未找到
[跳过] WriteConsoleA：Learn 索引中未找到
[跳过] WriteConsoleW：Learn 索引中未找到
[跳过] SetConsoleCtrlHandler：Learn 索引中未找到
[跳过] CreatePseudoConsole：Learn 索引中未找到
[跳过] ResizePseudoConsole：Learn 索引中未找到
[跳过] ClosePseudoConsole：Learn 索引中未找到
[跳过] FillConsoleOutputCharacterA：Learn 索引中未找到
[跳过] FillConsoleOutputCharacterW：Learn 索引中未找到
[跳过] FillConsoleOutputAttribute：Learn 索引中未找到
[跳过] GenerateConsoleCtrlEvent：Learn 索引中未找到
[跳过] CreateConsoleScreenBuffer：Learn 索引中未找到
[跳过] SetConsoleActiveScreenBuffer：Learn 索引中未找到
[跳过] FlushConsoleInputBuffer：Learn 索引中未找到
[跳过] SetConsoleCP：Learn 索引中未找到
[跳过] SetConsoleOutputCP：Learn 索引中未找到
[跳过] GetConsoleCursorInfo：Learn 索引中未找到
[跳过] SetConsoleCursorInfo：Learn 索引中未找到
[跳过] GetConsoleScreenBufferInfo：Learn 索引中未找到
[跳过] GetConsoleScreenBufferInfoEx：Learn 索引中未找到
[跳过] SetConsoleScreenBufferInfoEx：Learn 索引中未找到
[跳过] SetConsoleScreenBufferSize：Learn 索引中未找到
[跳过] SetConsoleCursorPosition：Learn 索引中未找到
[跳过] GetLargestConsoleWindowSize：Learn 索引中未找到
[跳过] SetConsoleTextAttribute：Learn 索引中未找到
[跳过] SetConsoleWindowInfo：Learn 索引中未找到
[跳过] WriteConsoleOutputCharacterA：Learn 索引中未找到
[跳过] WriteConsoleOutputCharacterW：Learn 索引中未找到
[跳过] WriteConsoleOutputAttribute：Learn 索引中未找到
[跳过] ReadConsoleOutputCharacterA：Learn 索引中未找到
[跳过] ReadConsoleOutputCharacterW：Learn 索引中未找到
[跳过] ReadConsoleOutputAttribute：Learn 索引中未找到
[跳过] WriteConsoleInputA：Learn 索引中未找到
[跳过] WriteConsoleInputW：Learn 索引中未找到
[跳过] ScrollConsoleScreenBufferA：Learn 索引中未找到
[跳过] ScrollConsoleScreenBufferW：Learn 索引中未找到
[跳过] WriteConsoleOutputA：Learn 索引中未找到
[跳过] WriteConsoleOutputW：Learn 索引中未找到
[跳过] ReadConsoleOutputA：Learn 索引中未找到
[跳过] ReadConsoleOutputW：Learn 索引中未找到
[跳过] GetConsoleTitleA：Learn 索引中未找到
[跳过] GetConsoleTitleW：Learn 索引中未找到
[跳过] GetConsoleOriginalTitleA：Learn 索引中未找到
[跳过] GetConsoleOriginalTitleW：Learn 索引中未找到
[跳过] SetConsoleTitleA：Learn 索引中未找到
[跳过] SetConsoleTitleW：Learn 索引中未找到
[跳过] GetNumberOfConsoleMouseButtons：Learn 索引中未找到
[跳过] GetConsoleFontSize：Learn 索引中未找到
[跳过] GetCurrentConsoleFont：Learn 索引中未找到
[跳过] GetCurrentConsoleFontEx：Learn 索引中未找到
[跳过] SetCurrentConsoleFontEx：Learn 索引中未找到
[跳过] GetConsoleSelectionInfo：Learn 索引中未找到
[跳过] GetConsoleHistoryInfo：Learn 索引中未找到
[跳过] SetConsoleHistoryInfo：Learn 索引中未找到
[跳过] GetConsoleDisplayMode：Learn 索引中未找到
[跳过] SetConsoleDisplayMode：Learn 索引中未找到
[跳过] GetConsoleWindow：Learn 索引中未找到
[跳过] AddConsoleAliasA：Learn 索引中未找到
[跳过] AddConsoleAliasW：Learn 索引中未找到
[跳过] GetConsoleAliasA：Learn 索引中未找到
[跳过] GetConsoleAliasW：Learn 索引中未找到
[跳过] GetConsoleAliasesLengthA：Learn 索引中未找到
[跳过] GetConsoleAliasesLengthW：Learn 索引中未找到
[跳过] GetConsoleAliasExesLengthA：Learn 索引中未找到
[跳过] GetConsoleAliasExesLengthW：Learn 索引中未找到
[跳过] GetConsoleAliasesA：Learn 索引中未找到
[跳过] GetConsoleAliasesW：Learn 索引中未找到
[跳过] GetConsoleAliasExesA：Learn 索引中未找到
[跳过] GetConsoleAliasExesW：Learn 索引中未找到
[跳过] ExpungeConsoleCommandHistoryA：Learn 索引中未找到
[跳过] ExpungeConsoleCommandHistoryW：Learn 索引中未找到
[跳过] SetConsoleNumberOfCommandsA：Learn 索引中未找到
[跳过] SetConsoleNumberOfCommandsW：Learn 索引中未找到
[跳过] GetConsoleCommandHistoryLengthA：Learn 索引中未找到
[跳过] GetConsoleCommandHistoryLengthW：Learn 索引中未找到
[跳过] GetConsoleCommandHistoryA：Learn 索引中未找到
[跳过] GetConsoleCommandHistoryW：Learn 索引中未找到
[跳过] GetConsoleProcessList：Learn 索引中未找到
[跳过] GetStdHandle：Learn 索引中未找到
[跳过] SetStdHandle：Learn 索引中未找到
[跳过] CeipIsOptedIn：Learn 索引中未找到
[跳过] RtlCaptureContext2：Learn 索引中未找到
[跳过] RtlRaiseException：Learn 索引中未找到
[跳过] EncodePointer：Learn 索引中未找到
[跳过] DecodePointer：Learn 索引中未找到
[跳过] EncodeSystemPointer：Learn 索引中未找到
[跳过] DecodeSystemPointer：Learn 索引中未找到
[跳过] Beep：Learn 索引中未找到
[跳过] PssCaptureSnapshot：Learn 索引中未找到
[跳过] PssFreeSnapshot：Learn 索引中未找到
[跳过] PssQuerySnapshot：Learn 索引中未找到
[跳过] PssWalkSnapshot：Learn 索引中未找到
[跳过] PssDuplicateSnapshot：Learn 索引中未找到
[跳过] PssWalkMarkerCreate：Learn 索引中未找到
[跳过] PssWalkMarkerFree：Learn 索引中未找到
[跳过] PssWalkMarkerGetPosition：Learn 索引中未找到
[跳过] PssWalkMarkerSetPosition：Learn 索引中未找到
