从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：66 个
[跳过] OpenTnefStream：Learn 索引中未找到
[跳过] OpenTnefStreamEx：Learn 索引中未找到
[跳过] GetTnefStreamCodepage：Learn 索引中未找到
[跳过] OpenIMsgSession：Learn 索引中未找到
[跳过] CloseIMsgSession：Learn 索引中未找到
[跳过] OpenIMsgOnIStg：Learn 索引中未找到
[跳过] GetAttribIMsgOnIStg：Learn 索引中未找到
[跳过] SetAttribIMsgOnIStg：Learn 索引中未找到
[跳过] MapStorageSCode：Learn 索引中未找到
[跳过] CreateIProp：Learn 索引中未找到
[跳过] MAPIInitIdle：Learn 索引中未找到
[跳过] MAPIDeinitIdle：Learn 索引中未找到
[跳过] FtgRegisterIdleRoutine：Learn 索引中未找到
[跳过] DeregisterIdleRoutine：Learn 索引中未找到
[跳过] EnableIdleRoutine：Learn 索引中未找到
[跳过] ChangeIdleRoutine：Learn 索引中未找到
[跳过] MAPIGetDefaultMalloc：Learn 索引中未找到
[跳过] OpenStreamOnFile：Learn 索引中未找到
[跳过] PropCopyMore：Learn 索引中未找到
[跳过] UlPropSize：Learn 索引中未找到
[跳过] FEqualNames：Learn 索引中未找到
[跳过] FPropContainsProp：Learn 索引中未找到
[跳过] FPropCompareProp：Learn 索引中未找到
[跳过] LPropCompareProp：Learn 索引中未找到
[跳过] HrAddColumns：Learn 索引中未找到
[跳过] HrAddColumnsEx：Learn 索引中未找到
[跳过] HrAllocAdviseSink：Learn 索引中未找到
[跳过] HrThisThreadAdviseSink：Learn 索引中未找到
[跳过] HrDispatchNotifications：Learn 索引中未找到
[跳过] BuildDisplayTable：Learn 索引中未找到
[跳过] ScCountNotifications：Learn 索引中未找到
[跳过] ScCopyNotifications：Learn 索引中未找到
[跳过] ScRelocNotifications：Learn 索引中未找到
[跳过] ScCountProps：Learn 索引中未找到
[跳过] LpValFindProp：Learn 索引中未找到
[跳过] ScCopyProps：Learn 索引中未找到
[跳过] ScRelocProps：Learn 索引中未找到
[跳过] ScDupPropset：Learn 索引中未找到
[跳过] UlAddRef：Learn 索引中未找到
[跳过] UlRelease：Learn 索引中未找到
[跳过] HrGetOneProp：Learn 索引中未找到
[跳过] HrSetOneProp：Learn 索引中未找到
[跳过] FPropExists：Learn 索引中未找到
[跳过] PpropFindProp：Learn 索引中未找到
[跳过] FreePadrlist：Learn 索引中未找到
[跳过] FreeProws：Learn 索引中未找到
[跳过] HrQueryAllRows：Learn 索引中未找到
[跳过] SzFindCh：Learn 索引中未找到
[跳过] SzFindLastCh：Learn 索引中未找到
[跳过] SzFindSz：Learn 索引中未找到
[跳过] UFromSz：Learn 索引中未找到
[跳过] ScUNCFromLocalPath：Learn 索引中未找到
[跳过] ScLocalPathFromUNC：Learn 索引中未找到
[跳过] FtAddFt：Learn 索引中未找到
[跳过] FtMulDwDw：Learn 索引中未找到
[跳过] FtMulDw：Learn 索引中未找到
[跳过] FtSubFt：Learn 索引中未找到
[跳过] FtNegFt：Learn 索引中未找到
[跳过] ScCreateConversationIndex：Learn 索引中未找到
[跳过] WrapStoreEntryID：Learn 索引中未找到
[跳过] RTFSync：Learn 索引中未找到
[跳过] WrapCompressedRTFStream：Learn 索引中未找到
[跳过] HrIStorageFromStream：Learn 索引中未找到
[跳过] ScInitMapiUtil：Learn 索引中未找到
[跳过] DeinitMapiUtil：Learn 索引中未找到
[跳过] MAPIFreeBuffer：Learn 索引中未找到

完成：处理 0，跳过(已存在) 0，索引缺失 66，失败 0
