从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：145 个
[写入] MFSerializeAttributesToStream（5 条文档条目）
[写入] MFDeserializeAttributesFromStream（5 条文档条目）
[写入] MFCreateTransformActivate（5 条文档条目）
[写入] MFCreateSourceResolver（5 条文档条目）
[写入] CreatePropertyStore（5 条文档条目）
[写入] MFGetSupportedSchemes（4 条文档条目）
[写入] MFGetSupportedMimeTypes（4 条文档条目）
[写入] MFGetSystemTime（3 条文档条目）
[写入] MFCreateSystemTimeSource（4 条文档条目）
[写入] MFCreatePresentationDescriptor（5 条文档条目）
[写入] MFSerializePresentationDescriptor（5 条文档条目）
[写入] MFDeserializePresentationDescriptor（4 条文档条目）
[写入] MFCreateStreamDescriptor（5 条文档条目）
[写入] MFCreateTrackedSample（4 条文档条目）
[写入] MFCreateMFByteStreamOnStream（5 条文档条目）
[写入] MFCreateStreamOnMFByteStream（5 条文档条目）
[写入] MFCreateMFByteStreamOnStreamEx（4 条文档条目）
[写入] MFCreateStreamOnMFByteStreamEx（5 条文档条目）
[写入] MFCreateMediaTypeFromProperties（4 条文档条目）
[写入] MFCreatePropertiesFromMediaType（4 条文档条目）
[写入] MFCreateContentProtectionDevice（4 条文档条目）
[写入] MFIsContentProtectionDeviceSupported（4 条文档条目）
[写入] MFCreateContentDecryptorContext（4 条文档条目）
[写入] MFCreateD3D12SynchronizationObject（4 条文档条目）
[写入] MFStartup（6 条文档条目）
[写入] MFShutdown（4 条文档条目）
[写入] MFLockPlatform（4 条文档条目）
[写入] MFUnlockPlatform（4 条文档条目）
[写入] MFPutWorkItem（5 条文档条目）
[写入] MFPutWorkItem2（4 条文档条目）
[写入] MFPutWorkItemEx（5 条文档条目）
[写入] MFPutWorkItemEx2（5 条文档条目）
[写入] MFPutWaitingWorkItem（5 条文档条目）
[写入] MFAllocateSerialWorkQueue（5 条文档条目）
[写入] MFScheduleWorkItemEx（5 条文档条目）
[写入] MFScheduleWorkItem（5 条文档条目）
[写入] MFCancelWorkItem（5 条文档条目）
[写入] MFGetTimerPeriodicity（4 条文档条目）
[写入] MFAddPeriodicCallback（5 条文档条目）
[写入] MFRemovePeriodicCallback（5 条文档条目）
[写入] MFAllocateWorkQueueEx（5 条文档条目）
[写入] MFAllocateWorkQueue（5 条文档条目）
[写入] MFLockWorkQueue（5 条文档条目）
[写入] MFUnlockWorkQueue（5 条文档条目）
[写入] MFBeginRegisterWorkQueueWithMMCSS（5 条文档条目）
[写入] MFBeginRegisterWorkQueueWithMMCSSEx（5 条文档条目）
[写入] MFEndRegisterWorkQueueWithMMCSS（5 条文档条目）
[写入] MFBeginUnregisterWorkQueueWithMMCSS（5 条文档条目）
[写入] MFEndUnregisterWorkQueueWithMMCSS（5 条文档条目）
[写入] MFGetWorkQueueMMCSSClass（5 条文档条目）
[写入] MFGetWorkQueueMMCSSTaskId（5 条文档条目）
[写入] MFRegisterPlatformWithMMCSS（5 条文档条目）
[写入] MFUnregisterPlatformFromMMCSS（3 条文档条目）
[写入] MFLockSharedWorkQueue（5 条文档条目）
[写入] MFGetWorkQueueMMCSSPriority（5 条文档条目）
[写入] MFCreateAsyncResult（5 条文档条目）
[写入] MFInvokeCallback（5 条文档条目）
[写入] MFCreateFile（5 条文档条目）
[写入] MFCreateTempFile（5 条文档条目）
[写入] MFBeginCreateFile（5 条文档条目）
[写入] MFEndCreateFile（5 条文档条目）
[写入] MFCancelCreateFile（5 条文档条目）
[写入] MFCreateMemoryBuffer（5 条文档条目）
[写入] MFCreateMediaBufferWrapper（5 条文档条目）
[写入] MFCreateLegacyMediaBufferOnMFMediaBuffer（5 条文档条目）
[写入] MFMapDX9FormatToDXGIFormat（4 条文档条目）
[写入] MFMapDXGIFormatToDX9Format（4 条文档条目）
[写入] MFLockDXGIDeviceManager（5 条文档条目）
[写入] MFUnlockDXGIDeviceManager（4 条文档条目）
[写入] MFCreateDXSurfaceBuffer（5 条文档条目）
[写入] MFCreateWICBitmapBuffer（4 条文档条目）
[写入] MFCreateDXGISurfaceBuffer（5 条文档条目）
[写入] MFCreateVideoSampleAllocatorEx（5 条文档条目）
[写入] MFCreateDXGIDeviceManager（5 条文档条目）
[写入] MFCreateAlignedMemoryBuffer（5 条文档条目）
[写入] MFCreateMediaEvent（5 条文档条目）
[写入] MFCreateEventQueue（5 条文档条目）
[写入] MFCreateSample（5 条文档条目）
[写入] MFCreateAttributes（5 条文档条目）
[写入] MFInitAttributesFromBlob（5 条文档条目）
[写入] MFGetAttributesAsBlobSize（5 条文档条目）
[写入] MFGetAttributesAsBlob（5 条文档条目）
[写入] MFTRegister（5 条文档条目）
[写入] MFTUnregister（5 条文档条目）
[写入] MFTRegisterLocal（5 条文档条目）
[写入] MFTUnregisterLocal（5 条文档条目）
[写入] MFTRegisterLocalByCLSID（5 条文档条目）
[写入] MFTUnregisterLocalByCLSID（5 条文档条目）
[写入] MFTEnum（7 条文档条目）
[写入] MFTEnumEx（8 条文档条目）
[写入] MFTEnum2（9 条文档条目）
[写入] MFTGetInfo（4 条文档条目）
[写入] MFGetPluginControl（4 条文档条目）
[写入] MFGetMFTMerit（5 条文档条目）
[写入] MFRegisterLocalSchemeHandler（5 条文档条目）
[写入] MFRegisterLocalByteStreamHandler（5 条文档条目）
[写入] MFCreateMFByteStreamWrapper（5 条文档条目）
[写入] MFCreateMediaExtensionActivate（5 条文档条目）
[写入] MFCreateMuxStreamAttributes（4 条文档条目）
[写入] MFCreateMuxStreamMediaType（4 条文档条目）
[写入] MFCreateMuxStreamSample（4 条文档条目）
[写入] MFValidateMediaTypeSize（5 条文档条目）
[写入] MFCreateMediaType（5 条文档条目）
[写入] MFCreateMFVideoFormatFromMFMediaType（4 条文档条目）
[写入] MFCreateWaveFormatExFromMFMediaType（5 条文档条目）
[写入] MFInitMediaTypeFromVideoInfoHeader（5 条文档条目）
[写入] MFInitMediaTypeFromVideoInfoHeader2（4 条文档条目）
[写入] MFInitMediaTypeFromMPEG1VideoInfo（4 条文档条目）
[写入] MFInitMediaTypeFromMPEG2VideoInfo（4 条文档条目）
[写入] MFCalculateBitmapImageSize（5 条文档条目）
[写入] MFCalculateImageSize（4 条文档条目）
[写入] MFFrameRateToAverageTimePerFrame（5 条文档条目）
[写入] MFAverageTimePerFrameToFrameRate（5 条文档条目）
[写入] MFInitMediaTypeFromMFVideoFormat（4 条文档条目）
[写入] MFInitMediaTypeFromWaveFormatEx（4 条文档条目）
[写入] MFInitMediaTypeFromAMMediaType（5 条文档条目）
[写入] MFInitAMMediaTypeFromMFMediaType（5 条文档条目）
[写入] MFCreateAMMediaTypeFromMFMediaType（5 条文档条目）
[写入] MFCompareFullToPartialMediaType（5 条文档条目）
[写入] MFWrapMediaType（5 条文档条目）
[写入] MFUnwrapMediaType（5 条文档条目）
[写入] MFCreateVideoMediaType（5 条文档条目）
[写入] MFCreateVideoMediaTypeFromSubtype（5 条文档条目）
[写入] MFCreateVideoMediaTypeFromBitMapInfoHeader（5 条文档条目）
[写入] MFGetStrideForBitmapInfoHeader（5 条文档条目）
[写入] MFCreateVideoMediaTypeFromBitMapInfoHeaderEx（4 条文档条目）
[写入] MFCreateMediaTypeFromRepresentation（5 条文档条目）
[写入] MFCreateAudioMediaType（5 条文档条目）
[写入] MFGetUncompressedVideoFormat（5 条文档条目）
[写入] MFInitVideoFormat（6 条文档条目）
[写入] MFInitVideoFormat_RGB（5 条文档条目）
[写入] MFConvertColorInfoToDXVA（5 条文档条目）
[写入] MFConvertColorInfoFromDXVA（5 条文档条目）
[写入] MFCopyImage（5 条文档条目）
[写入] MFConvertFromFP16Array（5 条文档条目）
[写入] MFConvertToFP16Array（5 条文档条目）
[写入] MFCreate2DMediaBuffer（5 条文档条目）
[写入] MFCreateMediaBufferFromMediaType（5 条文档条目）
[写入] MFCreateCollection（4 条文档条目）
[写入] MFHeapAlloc（5 条文档条目）
[写入] MFHeapFree（4 条文档条目）
[写入] MFllMulDiv（5 条文档条目）
[写入] MFGetContentProtectionSystemCLSID（5 条文档条目）
[写入] MFCombineSamples（5 条文档条目）
[写入] MFSplitSample（4 条文档条目）

完成：处理 145，跳过(已存在) 0，索引缺失 0，失败 0
