从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：112 个
[跳过] MprAdminConnectionEnumEx：Learn 索引中未找到
[跳过] MprAdminConnectionGetInfoEx：Learn 索引中未找到
[跳过] MprAdminServerGetInfoEx：Learn 索引中未找到
[跳过] MprAdminServerSetInfoEx：Learn 索引中未找到
[跳过] MprConfigServerGetInfoEx：Learn 索引中未找到
[跳过] MprConfigServerSetInfoEx：Learn 索引中未找到
[跳过] MprAdminUpdateConnection：Learn 索引中未找到
[跳过] MprAdminIsServiceInitialized：Learn 索引中未找到
[跳过] MprAdminInterfaceSetCustomInfoEx：Learn 索引中未找到
[跳过] MprAdminInterfaceGetCustomInfoEx：Learn 索引中未找到
[跳过] MprConfigInterfaceGetCustomInfoEx：Learn 索引中未找到
[跳过] MprConfigInterfaceSetCustomInfoEx：Learn 索引中未找到
[跳过] MprAdminConnectionEnum：Learn 索引中未找到
[跳过] MprAdminPortEnum：Learn 索引中未找到
[跳过] MprAdminConnectionGetInfo：Learn 索引中未找到
[跳过] MprAdminPortGetInfo：Learn 索引中未找到
[跳过] MprAdminConnectionClearStats：Learn 索引中未找到
[跳过] MprAdminPortClearStats：Learn 索引中未找到
[跳过] MprAdminPortReset：Learn 索引中未找到
[跳过] MprAdminPortDisconnect：Learn 索引中未找到
[跳过] MprAdminConnectionRemoveQuarantine：Learn 索引中未找到
[跳过] MprAdminUserGetInfo：Learn 索引中未找到
[跳过] MprAdminUserSetInfo：Learn 索引中未找到
[跳过] MprAdminSendUserMessage：Learn 索引中未找到
[跳过] MprAdminGetPDCServer：Learn 索引中未找到
[跳过] MprAdminIsServiceRunning：Learn 索引中未找到
[跳过] MprAdminServerConnect：Learn 索引中未找到
[跳过] MprAdminServerDisconnect：Learn 索引中未找到
[跳过] MprAdminServerGetCredentials：Learn 索引中未找到
[跳过] MprAdminServerSetCredentials：Learn 索引中未找到
[跳过] MprAdminBufferFree：Learn 索引中未找到
[跳过] MprAdminGetErrorString：Learn 索引中未找到
[跳过] MprAdminServerGetInfo：Learn 索引中未找到
[跳过] MprAdminServerSetInfo：Learn 索引中未找到
[跳过] MprAdminEstablishDomainRasServer：Learn 索引中未找到
[跳过] MprAdminIsDomainRasServer：Learn 索引中未找到
[跳过] MprAdminTransportCreate：Learn 索引中未找到
[跳过] MprAdminTransportSetInfo：Learn 索引中未找到
[跳过] MprAdminTransportGetInfo：Learn 索引中未找到
[跳过] MprAdminDeviceEnum：Learn 索引中未找到
[跳过] MprAdminInterfaceGetHandle：Learn 索引中未找到
[跳过] MprAdminInterfaceCreate：Learn 索引中未找到
[跳过] MprAdminInterfaceGetInfo：Learn 索引中未找到
[跳过] MprAdminInterfaceSetInfo：Learn 索引中未找到
[跳过] MprAdminInterfaceDelete：Learn 索引中未找到
[跳过] MprAdminInterfaceDeviceGetInfo：Learn 索引中未找到
[跳过] MprAdminInterfaceDeviceSetInfo：Learn 索引中未找到
[跳过] MprAdminInterfaceTransportRemove：Learn 索引中未找到
[跳过] MprAdminInterfaceTransportAdd：Learn 索引中未找到
[跳过] MprAdminInterfaceTransportGetInfo：Learn 索引中未找到
[跳过] MprAdminInterfaceTransportSetInfo：Learn 索引中未找到
[跳过] MprAdminInterfaceEnum：Learn 索引中未找到
[跳过] MprAdminInterfaceSetCredentials：Learn 索引中未找到
[跳过] MprAdminInterfaceGetCredentials：Learn 索引中未找到
[跳过] MprAdminInterfaceSetCredentialsEx：Learn 索引中未找到
[跳过] MprAdminInterfaceGetCredentialsEx：Learn 索引中未找到
[跳过] MprAdminInterfaceConnect：Learn 索引中未找到
[跳过] MprAdminInterfaceDisconnect：Learn 索引中未找到
[跳过] MprAdminInterfaceUpdateRoutes：Learn 索引中未找到
[跳过] MprAdminInterfaceQueryUpdateResult：Learn 索引中未找到
[跳过] MprAdminInterfaceUpdatePhonebookInfo：Learn 索引中未找到
[跳过] MprAdminRegisterConnectionNotification：Learn 索引中未找到
[跳过] MprAdminDeregisterConnectionNotification：Learn 索引中未找到
[跳过] MprAdminMIBServerConnect：Learn 索引中未找到
[跳过] MprAdminMIBServerDisconnect：Learn 索引中未找到
[跳过] MprAdminMIBEntryCreate：Learn 索引中未找到
[跳过] MprAdminMIBEntryDelete：Learn 索引中未找到
[跳过] MprAdminMIBEntrySet：Learn 索引中未找到
[跳过] MprAdminMIBEntryGet：Learn 索引中未找到
[跳过] MprAdminMIBEntryGetFirst：Learn 索引中未找到
[跳过] MprAdminMIBEntryGetNext：Learn 索引中未找到
[跳过] MprAdminMIBBufferFree：Learn 索引中未找到
[跳过] MprConfigServerInstall：Learn 索引中未找到
[跳过] MprConfigServerConnect：Learn 索引中未找到
[跳过] MprConfigServerDisconnect：Learn 索引中未找到
[跳过] MprConfigServerRefresh：Learn 索引中未找到
[跳过] MprConfigBufferFree：Learn 索引中未找到
[跳过] MprConfigServerGetInfo：Learn 索引中未找到
[跳过] MprConfigServerSetInfo：Learn 索引中未找到
[跳过] MprConfigServerBackup：Learn 索引中未找到
[跳过] MprConfigServerRestore：Learn 索引中未找到
[跳过] MprConfigTransportCreate：Learn 索引中未找到
[跳过] MprConfigTransportDelete：Learn 索引中未找到
[跳过] MprConfigTransportGetHandle：Learn 索引中未找到
[跳过] MprConfigTransportSetInfo：Learn 索引中未找到
[跳过] MprConfigTransportGetInfo：Learn 索引中未找到
[跳过] MprConfigTransportEnum：Learn 索引中未找到
[跳过] MprConfigInterfaceCreate：Learn 索引中未找到
[跳过] MprConfigInterfaceDelete：Learn 索引中未找到
[跳过] MprConfigInterfaceGetHandle：Learn 索引中未找到
[跳过] MprConfigInterfaceGetInfo：Learn 索引中未找到
[跳过] MprConfigInterfaceSetInfo：Learn 索引中未找到
[跳过] MprConfigInterfaceEnum：Learn 索引中未找到
[跳过] MprConfigInterfaceTransportAdd：Learn 索引中未找到
[跳过] MprConfigInterfaceTransportRemove：Learn 索引中未找到
[跳过] MprConfigInterfaceTransportGetHandle：Learn 索引中未找到
[跳过] MprConfigInterfaceTransportGetInfo：Learn 索引中未找到
