从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：547 个
[跳过] AllJoynConnectToBus：Learn 索引中未找到
[跳过] AllJoynCloseBusHandle：Learn 索引中未找到
[跳过] AllJoynSendToBus：Learn 索引中未找到
[跳过] AllJoynReceiveFromBus：Learn 索引中未找到
[跳过] AllJoynEventSelect：Learn 索引中未找到
[跳过] AllJoynEnumEvents：Learn 索引中未找到
[跳过] AllJoynCreateBus：Learn 索引中未找到
[跳过] AllJoynAcceptBusConnection：Learn 索引中未找到
[跳过] alljoyn_unity_deferred_callbacks_process：Learn 索引中未找到
[跳过] alljoyn_unity_set_deferred_callback_mainthread_only：Learn 索引中未找到
[跳过] QCC_StatusText：Learn 索引中未找到
[跳过] alljoyn_msgarg_create：Learn 索引中未找到
[跳过] alljoyn_msgarg_create_and_set：Learn 索引中未找到
[跳过] alljoyn_msgarg_destroy：Learn 索引中未找到
[跳过] alljoyn_msgarg_array_create：Learn 索引中未找到
[跳过] alljoyn_msgarg_array_element：Learn 索引中未找到
[跳过] alljoyn_msgarg_set：Learn 索引中未找到
[跳过] alljoyn_msgarg_get：Learn 索引中未找到
[跳过] alljoyn_msgarg_copy：Learn 索引中未找到
[跳过] alljoyn_msgarg_clone：Learn 索引中未找到
[跳过] alljoyn_msgarg_equal：Learn 索引中未找到
[跳过] alljoyn_msgarg_array_set：Learn 索引中未找到
[跳过] alljoyn_msgarg_array_get：Learn 索引中未找到
[跳过] alljoyn_msgarg_tostring：Learn 索引中未找到
[跳过] alljoyn_msgarg_array_tostring：Learn 索引中未找到
[跳过] alljoyn_msgarg_signature：Learn 索引中未找到
[跳过] alljoyn_msgarg_array_signature：Learn 索引中未找到
[跳过] alljoyn_msgarg_hassignature：Learn 索引中未找到
[跳过] alljoyn_msgarg_getdictelement：Learn 索引中未找到
[跳过] alljoyn_msgarg_gettype：Learn 索引中未找到
[跳过] alljoyn_msgarg_clear：Learn 索引中未找到
[跳过] alljoyn_msgarg_stabilize：Learn 索引中未找到
[跳过] alljoyn_msgarg_array_set_offset：Learn 索引中未找到
[跳过] alljoyn_msgarg_set_and_stabilize：Learn 索引中未找到
[跳过] alljoyn_msgarg_set_uint8：Learn 索引中未找到
[跳过] alljoyn_msgarg_set_bool：Learn 索引中未找到
[跳过] alljoyn_msgarg_set_int16：Learn 索引中未找到
[跳过] alljoyn_msgarg_set_uint16：Learn 索引中未找到
[跳过] alljoyn_msgarg_set_int32：Learn 索引中未找到
[跳过] alljoyn_msgarg_set_uint32：Learn 索引中未找到
[跳过] alljoyn_msgarg_set_int64：Learn 索引中未找到
[跳过] alljoyn_msgarg_set_uint64：Learn 索引中未找到
[跳过] alljoyn_msgarg_set_double：Learn 索引中未找到
[跳过] alljoyn_msgarg_set_string：Learn 索引中未找到
[跳过] alljoyn_msgarg_set_objectpath：Learn 索引中未找到
[跳过] alljoyn_msgarg_set_signature：Learn 索引中未找到
[跳过] alljoyn_msgarg_get_uint8：Learn 索引中未找到
[跳过] alljoyn_msgarg_get_bool：Learn 索引中未找到
[跳过] alljoyn_msgarg_get_int16：Learn 索引中未找到
[跳过] alljoyn_msgarg_get_uint16：Learn 索引中未找到
[跳过] alljoyn_msgarg_get_int32：Learn 索引中未找到
[跳过] alljoyn_msgarg_get_uint32：Learn 索引中未找到
[跳过] alljoyn_msgarg_get_int64：Learn 索引中未找到
[跳过] alljoyn_msgarg_get_uint64：Learn 索引中未找到
[跳过] alljoyn_msgarg_get_double：Learn 索引中未找到
[跳过] alljoyn_msgarg_get_string：Learn 索引中未找到
[跳过] alljoyn_msgarg_get_objectpath：Learn 索引中未找到
[跳过] alljoyn_msgarg_get_signature：Learn 索引中未找到
[跳过] alljoyn_msgarg_get_variant：Learn 索引中未找到
[跳过] alljoyn_msgarg_set_uint8_array：Learn 索引中未找到
[跳过] alljoyn_msgarg_set_bool_array：Learn 索引中未找到
[跳过] alljoyn_msgarg_set_int16_array：Learn 索引中未找到
[跳过] alljoyn_msgarg_set_uint16_array：Learn 索引中未找到
[跳过] alljoyn_msgarg_set_int32_array：Learn 索引中未找到
[跳过] alljoyn_msgarg_set_uint32_array：Learn 索引中未找到
