从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：206 个
[跳过] Netbios：Learn 索引中未找到
[跳过] I_NetLogonControl2：Learn 索引中未找到
[跳过] NetReplGetInfo：Learn 索引中未找到
[跳过] NetReplSetInfo：Learn 索引中未找到
[跳过] NetReplExportDirAdd：Learn 索引中未找到
[跳过] NetReplExportDirDel：Learn 索引中未找到
[跳过] NetReplExportDirEnum：Learn 索引中未找到
[跳过] NetReplExportDirGetInfo：Learn 索引中未找到
[跳过] NetReplExportDirSetInfo：Learn 索引中未找到
[跳过] NetReplExportDirLock：Learn 索引中未找到
[跳过] NetReplExportDirUnlock：Learn 索引中未找到
[跳过] NetReplImportDirAdd：Learn 索引中未找到
[跳过] NetReplImportDirDel：Learn 索引中未找到
[跳过] NetReplImportDirEnum：Learn 索引中未找到
[跳过] NetReplImportDirGetInfo：Learn 索引中未找到
[跳过] NetReplImportDirLock：Learn 索引中未找到
[跳过] NetReplImportDirUnlock：Learn 索引中未找到
[跳过] DavAddConnection：Learn 索引中未找到
[跳过] DavDeleteConnection：Learn 索引中未找到
[跳过] DavGetUNCFromHTTPPath：Learn 索引中未找到
[跳过] DavGetHTTPFromUNCPath：Learn 索引中未找到
[跳过] DavGetExtendedError：Learn 索引中未找到
[跳过] DavFlushFile：Learn 索引中未找到
[跳过] DsRoleGetPrimaryDomainInformation：Learn 索引中未找到
[跳过] DsRoleFreeMemory：Learn 索引中未找到
[跳过] DsGetDcNameA：Learn 索引中未找到
[跳过] DsGetDcNameW：Learn 索引中未找到
[跳过] DsGetSiteNameA：Learn 索引中未找到
[跳过] DsGetSiteNameW：Learn 索引中未找到
[跳过] DsValidateSubnetNameW：Learn 索引中未找到
[跳过] DsValidateSubnetNameA：Learn 索引中未找到
[跳过] DsAddressToSiteNamesW：Learn 索引中未找到
[跳过] DsAddressToSiteNamesA：Learn 索引中未找到
[跳过] DsAddressToSiteNamesExW：Learn 索引中未找到
[跳过] DsAddressToSiteNamesExA：Learn 索引中未找到
[跳过] DsEnumerateDomainTrustsW：Learn 索引中未找到
[跳过] DsEnumerateDomainTrustsA：Learn 索引中未找到
[跳过] DsGetForestTrustInformationW：Learn 索引中未找到
[跳过] DsMergeForestTrustInformationW：Learn 索引中未找到
[跳过] DsGetDcSiteCoverageW：Learn 索引中未找到
[跳过] DsGetDcSiteCoverageA：Learn 索引中未找到
[跳过] DsDeregisterDnsHostRecordsW：Learn 索引中未找到
[跳过] DsDeregisterDnsHostRecordsA：Learn 索引中未找到
[跳过] DsGetDcOpenW：Learn 索引中未找到
[跳过] DsGetDcOpenA：Learn 索引中未找到
[跳过] DsGetDcNextW：Learn 索引中未找到
[跳过] DsGetDcNextA：Learn 索引中未找到
[跳过] DsGetDcCloseW：Learn 索引中未找到
[跳过] NetDfsAdd：Learn 索引中未找到
[跳过] NetDfsAddStdRoot：Learn 索引中未找到
[跳过] NetDfsRemoveStdRoot：Learn 索引中未找到
[跳过] NetDfsAddFtRoot：Learn 索引中未找到
[跳过] NetDfsRemoveFtRoot：Learn 索引中未找到
[跳过] NetDfsRemoveFtRootForced：Learn 索引中未找到
[跳过] NetDfsRemove：Learn 索引中未找到
[跳过] NetDfsEnum：Learn 索引中未找到
[跳过] NetDfsGetInfo：Learn 索引中未找到
[跳过] NetDfsSetInfo：Learn 索引中未找到
[跳过] NetDfsGetClientInfo：Learn 索引中未找到
[跳过] NetDfsSetClientInfo：Learn 索引中未找到
[跳过] NetDfsMove：Learn 索引中未找到
[跳过] NetDfsAddRootTarget：Learn 索引中未找到
[跳过] NetDfsRemoveRootTarget：Learn 索引中未找到
[跳过] NetDfsGetSecurity：Learn 索引中未找到
[跳过] NetDfsSetSecurity：Learn 索引中未找到
[跳过] NetDfsGetStdContainerSecurity：Learn 索引中未找到
[跳过] NetDfsSetStdContainerSecurity：Learn 索引中未找到
[跳过] NetDfsGetFtContainerSecurity：Learn 索引中未找到
[跳过] NetDfsSetFtContainerSecurity：Learn 索引中未找到
[跳过] NetDfsGetSupportedNamespaceVersion：Learn 索引中未找到
[跳过] NetShareEnumSticky：Learn 索引中未找到
[跳过] NetShareDelSticky：Learn 索引中未找到
[跳过] NetServerAliasAdd：Learn 索引中未找到
[跳过] NetServerAliasDel：Learn 索引中未找到
[跳过] NetServerAliasEnum：Learn 索引中未找到

完成：处理 0，跳过(已存在) 131，索引缺失 75，失败 0
