从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：81 个
[跳过] DsBindW：Learn 索引中未找到
[跳过] DsBindA：Learn 索引中未找到
[跳过] DsBindWithCredW：Learn 索引中未找到
[跳过] DsBindWithCredA：Learn 索引中未找到
[跳过] DsBindWithSpnW：Learn 索引中未找到
[跳过] DsBindWithSpnA：Learn 索引中未找到
[跳过] DsBindWithSpnExW：Learn 索引中未找到
[跳过] DsBindWithSpnExA：Learn 索引中未找到
[跳过] DsBindByInstanceW：Learn 索引中未找到
[跳过] DsBindByInstanceA：Learn 索引中未找到
[跳过] DsBindToISTGW：Learn 索引中未找到
[跳过] DsBindToISTGA：Learn 索引中未找到
[跳过] DsBindingSetTimeout：Learn 索引中未找到
[跳过] DsUnBindW：Learn 索引中未找到
[跳过] DsUnBindA：Learn 索引中未找到
[跳过] DsMakePasswordCredentialsW：Learn 索引中未找到
[跳过] DsMakePasswordCredentialsA：Learn 索引中未找到
[跳过] DsFreePasswordCredentials：Learn 索引中未找到
[跳过] DsCrackNamesW：Learn 索引中未找到
[跳过] DsCrackNamesA：Learn 索引中未找到
[跳过] DsFreeNameResultW：Learn 索引中未找到
[跳过] DsFreeNameResultA：Learn 索引中未找到
[跳过] DsGetSpnA：Learn 索引中未找到
[跳过] DsGetSpnW：Learn 索引中未找到
[跳过] DsFreeSpnArrayA：Learn 索引中未找到
[跳过] DsFreeSpnArrayW：Learn 索引中未找到
[跳过] DsWriteAccountSpnA：Learn 索引中未找到
[跳过] DsWriteAccountSpnW：Learn 索引中未找到
[跳过] DsClientMakeSpnForTargetServerW：Learn 索引中未找到
[跳过] DsClientMakeSpnForTargetServerA：Learn 索引中未找到
[跳过] DsServerRegisterSpnA：Learn 索引中未找到
[跳过] DsServerRegisterSpnW：Learn 索引中未找到
[跳过] DsReplicaSyncA：Learn 索引中未找到
[跳过] DsReplicaSyncW：Learn 索引中未找到
[跳过] DsReplicaAddA：Learn 索引中未找到
[跳过] DsReplicaAddW：Learn 索引中未找到
[跳过] DsReplicaDelA：Learn 索引中未找到
[跳过] DsReplicaDelW：Learn 索引中未找到
[跳过] DsReplicaModifyA：Learn 索引中未找到
[跳过] DsReplicaModifyW：Learn 索引中未找到
[跳过] DsReplicaUpdateRefsA：Learn 索引中未找到
[跳过] DsReplicaUpdateRefsW：Learn 索引中未找到
[跳过] DsReplicaSyncAllA：Learn 索引中未找到
[跳过] DsReplicaSyncAllW：Learn 索引中未找到
[跳过] DsRemoveDsServerW：Learn 索引中未找到
[跳过] DsRemoveDsServerA：Learn 索引中未找到
[跳过] DsRemoveDsDomainW：Learn 索引中未找到
[跳过] DsRemoveDsDomainA：Learn 索引中未找到
[跳过] DsListSitesA：Learn 索引中未找到
[跳过] DsListSitesW：Learn 索引中未找到
[跳过] DsListServersInSiteA：Learn 索引中未找到
[跳过] DsListServersInSiteW：Learn 索引中未找到
[跳过] DsListDomainsInSiteA：Learn 索引中未找到
[跳过] DsListDomainsInSiteW：Learn 索引中未找到
[跳过] DsListServersForDomainInSiteA：Learn 索引中未找到
[跳过] DsListServersForDomainInSiteW：Learn 索引中未找到
[跳过] DsListInfoForServerA：Learn 索引中未找到
[跳过] DsListInfoForServerW：Learn 索引中未找到
[跳过] DsListRolesA：Learn 索引中未找到
[跳过] DsListRolesW：Learn 索引中未找到
[跳过] DsQuerySitesByCostW：Learn 索引中未找到
[跳过] DsQuerySitesByCostA：Learn 索引中未找到
[跳过] DsQuerySitesFree：Learn 索引中未找到
[跳过] DsMapSchemaGuidsA：Learn 索引中未找到
[跳过] DsFreeSchemaGuidMapA：Learn 索引中未找到
[跳过] DsMapSchemaGuidsW：Learn 索引中未找到
[跳过] DsFreeSchemaGuidMapW：Learn 索引中未找到
[跳过] DsGetDomainControllerInfoA：Learn 索引中未找到
[跳过] DsGetDomainControllerInfoW：Learn 索引中未找到
[跳过] DsFreeDomainControllerInfoA：Learn 索引中未找到
[跳过] DsFreeDomainControllerInfoW：Learn 索引中未找到
[跳过] DsReplicaConsistencyCheck：Learn 索引中未找到
[跳过] DsReplicaVerifyObjectsW：Learn 索引中未找到
[跳过] DsReplicaVerifyObjectsA：Learn 索引中未找到
[跳过] DsReplicaGetInfoW：Learn 索引中未找到
[跳过] DsReplicaGetInfo2W：Learn 索引中未找到
[跳过] DsReplicaFreeInfo：Learn 索引中未找到
[跳过] DsAddSidHistoryW：Learn 索引中未找到
[跳过] DsAddSidHistoryA：Learn 索引中未找到
[跳过] DsInheritSecurityIdentityW：Learn 索引中未找到
[跳过] DsInheritSecurityIdentityA：Learn 索引中未找到

完成：处理 0，跳过(已存在) 0，索引缺失 81，失败 0
