从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：184 个
[跳过] SQLAllocConnect：Learn 索引中未找到
[跳过] SQLAllocEnv：Learn 索引中未找到
[跳过] SQLAllocHandle：Learn 索引中未找到
[跳过] SQLAllocStmt：Learn 索引中未找到
[跳过] SQLBindCol：Learn 索引中未找到
[跳过] SQLBindParam：Learn 索引中未找到
[跳过] SQLCancel：Learn 索引中未找到
[跳过] SQLCancelHandle：Learn 索引中未找到
[跳过] SQLCloseCursor：Learn 索引中未找到
[跳过] SQLColAttribute：Learn 索引中未找到
[跳过] SQLColumns：Learn 索引中未找到
[跳过] SQLCompleteAsync：Learn 索引中未找到
[跳过] SQLConnect：Learn 索引中未找到
[跳过] SQLCopyDesc：Learn 索引中未找到
[跳过] SQLDataSources：Learn 索引中未找到
[跳过] SQLDescribeCol：Learn 索引中未找到
[跳过] SQLDisconnect：Learn 索引中未找到
[跳过] SQLEndTran：Learn 索引中未找到
[跳过] SQLError：Learn 索引中未找到
[跳过] SQLExecDirect：Learn 索引中未找到
[跳过] SQLExecute：Learn 索引中未找到
[跳过] SQLFetch：Learn 索引中未找到
[跳过] SQLFetchScroll：Learn 索引中未找到
[跳过] SQLFreeConnect：Learn 索引中未找到
[跳过] SQLFreeEnv：Learn 索引中未找到
[跳过] SQLFreeHandle：Learn 索引中未找到
[跳过] SQLFreeStmt：Learn 索引中未找到
[跳过] SQLGetConnectAttr：Learn 索引中未找到
[跳过] SQLGetConnectOption：Learn 索引中未找到
[跳过] SQLGetCursorName：Learn 索引中未找到
[跳过] SQLGetData：Learn 索引中未找到
[跳过] SQLGetDescField：Learn 索引中未找到
[跳过] SQLGetDescRec：Learn 索引中未找到
[跳过] SQLGetDiagField：Learn 索引中未找到
[跳过] SQLGetDiagRec：Learn 索引中未找到
[跳过] SQLGetEnvAttr：Learn 索引中未找到
[跳过] SQLGetFunctions：Learn 索引中未找到
[跳过] SQLGetInfo：Learn 索引中未找到
[跳过] SQLGetStmtAttr：Learn 索引中未找到
[跳过] SQLGetStmtOption：Learn 索引中未找到
[跳过] SQLGetTypeInfo：Learn 索引中未找到
[跳过] SQLNumResultCols：Learn 索引中未找到
[跳过] SQLParamData：Learn 索引中未找到
[跳过] SQLPrepare：Learn 索引中未找到
[跳过] SQLPutData：Learn 索引中未找到
[跳过] SQLRowCount：Learn 索引中未找到
[跳过] SQLSetConnectAttr：Learn 索引中未找到
[跳过] SQLSetConnectOption：Learn 索引中未找到
[跳过] SQLSetCursorName：Learn 索引中未找到
[跳过] SQLSetDescField：Learn 索引中未找到
[跳过] SQLSetDescRec：Learn 索引中未找到
[跳过] SQLSetEnvAttr：Learn 索引中未找到
[跳过] SQLSetParam：Learn 索引中未找到
[跳过] SQLSetStmtAttr：Learn 索引中未找到
[跳过] SQLSetStmtOption：Learn 索引中未找到
[跳过] SQLSpecialColumns：Learn 索引中未找到
[跳过] SQLStatistics：Learn 索引中未找到
[跳过] SQLTables：Learn 索引中未找到
[跳过] SQLTransact：Learn 索引中未找到
[跳过] SQLDriverConnect：Learn 索引中未找到
[跳过] SQLBrowseConnect：Learn 索引中未找到
[跳过] SQLBulkOperations：Learn 索引中未找到
[跳过] SQLColAttributes：Learn 索引中未找到
[跳过] SQLColumnPrivileges：Learn 索引中未找到
[跳过] SQLDescribeParam：Learn 索引中未找到
[跳过] SQLExtendedFetch：Learn 索引中未找到
[跳过] SQLForeignKeys：Learn 索引中未找到
[跳过] SQLMoreResults：Learn 索引中未找到
[跳过] SQLNativeSql：Learn 索引中未找到
[跳过] SQLNumParams：Learn 索引中未找到
[跳过] SQLParamOptions：Learn 索引中未找到
[跳过] SQLPrimaryKeys：Learn 索引中未找到
[跳过] SQLProcedureColumns：Learn 索引中未找到
[跳过] SQLProcedures：Learn 索引中未找到
[跳过] SQLSetPos：Learn 索引中未找到
[跳过] SQLTablePrivileges：Learn 索引中未找到
[跳过] SQLDrivers：Learn 索引中未找到
[跳过] SQLBindParameter：Learn 索引中未找到
[跳过] SQLAllocHandleStd：Learn 索引中未找到
[跳过] SQLSetScrollOptions：Learn 索引中未找到
[跳过] ODBCSetTryWaitValue：Learn 索引中未找到
[跳过] ODBCGetTryWaitValue：Learn 索引中未找到
[跳过] SQLColAttributeW：Learn 索引中未找到
[跳过] SQLColAttributesW：Learn 索引中未找到
[跳过] SQLConnectW：Learn 索引中未找到
[跳过] SQLDescribeColW：Learn 索引中未找到
[跳过] SQLErrorW：Learn 索引中未找到
[跳过] SQLExecDirectW：Learn 索引中未找到
[跳过] SQLGetConnectAttrW：Learn 索引中未找到
[跳过] SQLGetCursorNameW：Learn 索引中未找到
[跳过] SQLSetDescFieldW：Learn 索引中未找到
[跳过] SQLGetDescFieldW：Learn 索引中未找到
[跳过] SQLGetDescRecW：Learn 索引中未找到
[跳过] SQLGetDiagFieldW：Learn 索引中未找到
[跳过] SQLGetDiagRecW：Learn 索引中未找到
[跳过] SQLPrepareW：Learn 索引中未找到
[跳过] SQLSetConnectAttrW：Learn 索引中未找到
[跳过] SQLSetCursorNameW：Learn 索引中未找到
[跳过] SQLColumnsW：Learn 索引中未找到
[跳过] SQLGetConnectOptionW：Learn 索引中未找到
[跳过] SQLGetInfoW：Learn 索引中未找到
[跳过] SQLGetTypeInfoW：Learn 索引中未找到
[跳过] SQLSetConnectOptionW：Learn 索引中未找到
[跳过] SQLSpecialColumnsW：Learn 索引中未找到
[跳过] SQLStatisticsW：Learn 索引中未找到
[跳过] SQLTablesW：Learn 索引中未找到
[跳过] SQLDataSourcesW：Learn 索引中未找到
[跳过] SQLDriverConnectW：Learn 索引中未找到
[跳过] SQLBrowseConnectW：Learn 索引中未找到
[跳过] SQLColumnPrivilegesW：Learn 索引中未找到
[跳过] SQLGetStmtAttrW：Learn 索引中未找到
[跳过] SQLSetStmtAttrW：Learn 索引中未找到
[跳过] SQLForeignKeysW：Learn 索引中未找到
[跳过] SQLNativeSqlW：Learn 索引中未找到
[跳过] SQLPrimaryKeysW：Learn 索引中未找到
[跳过] SQLProcedureColumnsW：Learn 索引中未找到
[跳过] SQLProceduresW：Learn 索引中未找到
[跳过] SQLTablePrivilegesW：Learn 索引中未找到
[跳过] SQLDriversW：Learn 索引中未找到
[跳过] SQLColAttributeA：Learn 索引中未找到
[跳过] SQLColAttributesA：Learn 索引中未找到
[跳过] SQLConnectA：Learn 索引中未找到
[跳过] SQLDescribeColA：Learn 索引中未找到
[跳过] SQLErrorA：Learn 索引中未找到
[跳过] SQLExecDirectA：Learn 索引中未找到
[跳过] SQLGetConnectAttrA：Learn 索引中未找到
[跳过] SQLGetCursorNameA：Learn 索引中未找到
[跳过] SQLGetDescFieldA：Learn 索引中未找到
[跳过] SQLGetDescRecA：Learn 索引中未找到
[跳过] SQLGetDiagFieldA：Learn 索引中未找到
[跳过] SQLGetDiagRecA：Learn 索引中未找到
[跳过] SQLGetStmtAttrA：Learn 索引中未找到
[跳过] SQLGetTypeInfoA：Learn 索引中未找到
[跳过] SQLPrepareA：Learn 索引中未找到
[跳过] SQLSetConnectAttrA：Learn 索引中未找到
[跳过] SQLSetCursorNameA：Learn 索引中未找到
[跳过] SQLColumnsA：Learn 索引中未找到
[跳过] SQLGetConnectOptionA：Learn 索引中未找到
[跳过] SQLGetInfoA：Learn 索引中未找到
[跳过] SQLSetConnectOptionA：Learn 索引中未找到
[跳过] SQLSpecialColumnsA：Learn 索引中未找到
[跳过] SQLStatisticsA：Learn 索引中未找到
[跳过] SQLTablesA：Learn 索引中未找到
[跳过] SQLDataSourcesA：Learn 索引中未找到
[跳过] SQLDriverConnectA：Learn 索引中未找到
[跳过] SQLBrowseConnectA：Learn 索引中未找到
[跳过] SQLColumnPrivilegesA：Learn 索引中未找到
[跳过] SQLForeignKeysA：Learn 索引中未找到
[跳过] SQLNativeSqlA：Learn 索引中未找到
[跳过] SQLPrimaryKeysA：Learn 索引中未找到
[跳过] SQLProcedureColumnsA：Learn 索引中未找到
[跳过] SQLProceduresA：Learn 索引中未找到
[跳过] SQLTablePrivilegesA：Learn 索引中未找到
[跳过] SQLDriversA：Learn 索引中未找到
[跳过] SQLBindCol：Learn 索引中未找到
[跳过] SQLBindParam：Learn 索引中未找到
[跳过] SQLColAttribute：Learn 索引中未找到
[跳过] SQLDescribeCol：Learn 索引中未找到
[跳过] SQLFetchScroll：Learn 索引中未找到
[跳过] SQLGetData：Learn 索引中未找到
[跳过] SQLGetDescRec：Learn 索引中未找到
[跳过] SQLPutData：Learn 索引中未找到
[跳过] SQLRowCount：Learn 索引中未找到
[跳过] SQLSetConnectOption：Learn 索引中未找到
[跳过] SQLSetDescRec：Learn 索引中未找到
[跳过] SQLSetParam：Learn 索引中未找到
[跳过] SQLSetStmtOption：Learn 索引中未找到
[跳过] SQLColAttributes：Learn 索引中未找到
[跳过] SQLDescribeParam：Learn 索引中未找到
[跳过] SQLExtendedFetch：Learn 索引中未找到
[跳过] SQLParamOptions：Learn 索引中未找到
[跳过] SQLSetPos：Learn 索引中未找到
[跳过] SQLBindParameter：Learn 索引中未找到
[跳过] SQLSetScrollOptions：Learn 索引中未找到
[跳过] SQLColAttributeW：Learn 索引中未找到
[跳过] SQLColAttributesW：Learn 索引中未找到
[跳过] SQLDescribeColW：Learn 索引中未找到
[跳过] SQLGetDescRecW：Learn 索引中未找到
[跳过] SQLSetConnectOptionW：Learn 索引中未找到
[跳过] SQLColAttributeA：Learn 索引中未找到
[跳过] SQLColAttributesA：Learn 索引中未找到
[跳过] SQLDescribeColA：Learn 索引中未找到
[跳过] SQLGetDescRecA：Learn 索引中未找到
[跳过] SQLSetConnectOptionA：Learn 索引中未找到

完成：处理 0，跳过(已存在) 0，索引缺失 184，失败 0
