从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：405 个
[写入] SysAllocString（5 条文档条目）
[写入] SysReAllocString（5 条文档条目）
[写入] SysAllocStringLen（5 条文档条目）
[写入] SysReAllocStringLen（5 条文档条目）
[写入] SysAddRefString（5 条文档条目）
[写入] SysReleaseString（5 条文档条目）
[写入] SysFreeString（4 条文档条目）
[写入] SysStringLen（5 条文档条目）
[写入] SysStringByteLen（5 条文档条目）
[写入] SysAllocStringByteLen（5 条文档条目）
[写入] BSTR_UserSize（4 条文档条目）
[写入] BSTR_UserMarshal（4 条文档条目）
[写入] BSTR_UserUnmarshal（4 条文档条目）
[写入] BSTR_UserFree（4 条文档条目）
[写入] VARIANT_UserSize（4 条文档条目）
[写入] VARIANT_UserMarshal（4 条文档条目）
[写入] VARIANT_UserUnmarshal（4 条文档条目）
[写入] VARIANT_UserFree（4 条文档条目）
[写入] BSTR_UserSize64（4 条文档条目）
[写入] BSTR_UserMarshal64（4 条文档条目）
[写入] BSTR_UserUnmarshal64（4 条文档条目）
[写入] BSTR_UserFree64（4 条文档条目）
[写入] VARIANT_UserSize64（4 条文档条目）
[写入] VARIANT_UserMarshal64（4 条文档条目）
[写入] VARIANT_UserUnmarshal64（4 条文档条目）
[写入] VARIANT_UserFree64（4 条文档条目）
[跳过] LPSAFEARRAY_UserSize：Learn 索引中未找到
[跳过] LPSAFEARRAY_UserMarshal：Learn 索引中未找到
[跳过] LPSAFEARRAY_UserUnmarshal：Learn 索引中未找到
[跳过] LPSAFEARRAY_UserFree：Learn 索引中未找到
[跳过] LPSAFEARRAY_UserSize64：Learn 索引中未找到
[跳过] LPSAFEARRAY_UserMarshal64：Learn 索引中未找到
[跳过] LPSAFEARRAY_UserUnmarshal64：Learn 索引中未找到
[跳过] LPSAFEARRAY_UserFree64：Learn 索引中未找到
[写入] SetErrorInfo（6 条文档条目）
[写入] GetErrorInfo（5 条文档条目）
[写入] DosDateTimeToVariantTime（5 条文档条目）
[写入] VariantTimeToDosDateTime（5 条文档条目）
[写入] SystemTimeToVariantTime（5 条文档条目）
[写入] VariantTimeToSystemTime（5 条文档条目）
[写入] SafeArrayAllocDescriptor（6 条文档条目）
[写入] SafeArrayAllocDescriptorEx（5 条文档条目）
[写入] SafeArrayAllocData（4 条文档条目）
[写入] SafeArrayCreate（4 条文档条目）
[写入] SafeArrayCreateEx（6 条文档条目）
[写入] SafeArrayCopyData（4 条文档条目）
[写入] SafeArrayReleaseDescriptor（5 条文档条目）
[写入] SafeArrayDestroyDescriptor（5 条文档条目）
[写入] SafeArrayReleaseData（5 条文档条目）
[写入] SafeArrayDestroyData（5 条文档条目）
[写入] SafeArrayAddRef（5 条文档条目）
[写入] SafeArrayDestroy（6 条文档条目）
[写入] SafeArrayRedim（5 条文档条目）
[写入] SafeArrayGetDim（4 条文档条目）
[写入] SafeArrayGetElemsize（4 条文档条目）
[写入] SafeArrayGetUBound（4 条文档条目）
[写入] SafeArrayGetLBound（4 条文档条目）
[写入] SafeArrayLock（5 条文档条目）
[写入] SafeArrayUnlock（5 条文档条目）
[写入] SafeArrayAccessData（6 条文档条目）
[写入] SafeArrayUnaccessData（4 条文档条目）
[写入] SafeArrayGetElement（6 条文档条目）
[写入] SafeArrayPutElement（5 条文档条目）
[写入] SafeArrayCopy（5 条文档条目）
[写入] SafeArrayPtrOfIndex（5 条文档条目）
[写入] SafeArraySetRecordInfo（4 条文档条目）
[写入] SafeArrayGetRecordInfo（4 条文档条目）
[写入] SafeArraySetIID（4 条文档条目）
[写入] SafeArrayGetIID（4 条文档条目）
[写入] SafeArrayGetVartype（5 条文档条目）
[写入] SafeArrayCreateVector（4 条文档条目）
[写入] SafeArrayCreateVectorEx（4 条文档条目）
[写入] VariantInit（6 条文档条目）
[写入] VariantClear（6 条文档条目）
[写入] VariantCopy（5 条文档条目）
[写入] VariantCopyInd（5 条文档条目）
[写入] VariantChangeType（5 条文档条目）
[写入] VariantChangeTypeEx（5 条文档条目）
[写入] VectorFromBstr（4 条文档条目）
[写入] BstrFromVector（4 条文档条目）
[写入] VarUI1FromI2（4 条文档条目）
[写入] VarUI1FromI4（4 条文档条目）
[写入] VarUI1FromI8（4 条文档条目）
