从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：355 个
[跳过] wglSwapMultipleBuffers：Learn 索引中未找到
[跳过] glAccum：Learn 索引中未找到
[跳过] glAlphaFunc：Learn 索引中未找到
[跳过] glAreTexturesResident：Learn 索引中未找到
[跳过] glArrayElement：Learn 索引中未找到
[跳过] glBegin：Learn 索引中未找到
[跳过] glBindTexture：Learn 索引中未找到
[跳过] glBitmap：Learn 索引中未找到
[跳过] glBlendFunc：Learn 索引中未找到
[跳过] glCallList：Learn 索引中未找到
[跳过] glCallLists：Learn 索引中未找到
[跳过] glClear：Learn 索引中未找到
[跳过] glClearAccum：Learn 索引中未找到
[跳过] glClearColor：Learn 索引中未找到
[跳过] glClearDepth：Learn 索引中未找到
[跳过] glClearIndex：Learn 索引中未找到
[跳过] glClearStencil：Learn 索引中未找到
[跳过] glClipPlane：Learn 索引中未找到
[跳过] glColor3b：Learn 索引中未找到
[跳过] glColor3bv：Learn 索引中未找到
[跳过] glColor3d：Learn 索引中未找到
[跳过] glColor3dv：Learn 索引中未找到
[跳过] glColor3f：Learn 索引中未找到
[跳过] glColor3fv：Learn 索引中未找到
[跳过] glColor3i：Learn 索引中未找到
[跳过] glColor3iv：Learn 索引中未找到
[跳过] glColor3s：Learn 索引中未找到
[跳过] glColor3sv：Learn 索引中未找到
[跳过] glColor3ub：Learn 索引中未找到
[跳过] glColor3ubv：Learn 索引中未找到
[跳过] glColor3ui：Learn 索引中未找到
[跳过] glColor3uiv：Learn 索引中未找到
[跳过] glColor3us：Learn 索引中未找到
[跳过] glColor3usv：Learn 索引中未找到
[跳过] glColor4b：Learn 索引中未找到
[跳过] glColor4bv：Learn 索引中未找到
[跳过] glColor4d：Learn 索引中未找到
[跳过] glColor4dv：Learn 索引中未找到
[跳过] glColor4f：Learn 索引中未找到
[跳过] glColor4fv：Learn 索引中未找到
[跳过] glColor4i：Learn 索引中未找到
[跳过] glColor4iv：Learn 索引中未找到
[跳过] glColor4s：Learn 索引中未找到
[跳过] glColor4sv：Learn 索引中未找到
[跳过] glColor4ub：Learn 索引中未找到
[跳过] glColor4ubv：Learn 索引中未找到
[跳过] glColor4ui：Learn 索引中未找到
[跳过] glColor4uiv：Learn 索引中未找到
[跳过] glColor4us：Learn 索引中未找到
[跳过] glColor4usv：Learn 索引中未找到
[跳过] glColorMask：Learn 索引中未找到
[跳过] glColorMaterial：Learn 索引中未找到
[跳过] glColorPointer：Learn 索引中未找到
[跳过] glCopyPixels：Learn 索引中未找到
[跳过] glCopyTexImage1D：Learn 索引中未找到
[跳过] glCopyTexImage2D：Learn 索引中未找到
[跳过] glCopyTexSubImage1D：Learn 索引中未找到
[跳过] glCopyTexSubImage2D：Learn 索引中未找到
[跳过] glCullFace：Learn 索引中未找到
[跳过] glDeleteLists：Learn 索引中未找到
[跳过] glDeleteTextures：Learn 索引中未找到
[跳过] glDepthFunc：Learn 索引中未找到
[跳过] glDepthMask：Learn 索引中未找到
[跳过] glDepthRange：Learn 索引中未找到
[跳过] glDisable：Learn 索引中未找到
[跳过] glDisableClientState：Learn 索引中未找到
[跳过] glDrawArrays：Learn 索引中未找到
[跳过] glDrawBuffer：Learn 索引中未找到
[跳过] glDrawElements：Learn 索引中未找到
[跳过] glDrawPixels：Learn 索引中未找到
[跳过] glEdgeFlag：Learn 索引中未找到
[跳过] glEdgeFlagPointer：Learn 索引中未找到
[跳过] glEdgeFlagv：Learn 索引中未找到
[跳过] glEnable：Learn 索引中未找到
[跳过] glEnableClientState：Learn 索引中未找到
[跳过] glEnd：Learn 索引中未找到
[跳过] glEndList：Learn 索引中未找到
[跳过] glEvalCoord1d：Learn 索引中未找到
[跳过] glEvalCoord1dv：Learn 索引中未找到
[跳过] glEvalCoord1f：Learn 索引中未找到
[跳过] glEvalCoord1fv：Learn 索引中未找到
[跳过] glEvalCoord2d：Learn 索引中未找到
[跳过] glEvalCoord2dv：Learn 索引中未找到
[跳过] glEvalCoord2f：Learn 索引中未找到
[跳过] glEvalCoord2fv：Learn 索引中未找到
[跳过] glEvalMesh1：Learn 索引中未找到
[跳过] glEvalMesh2：Learn 索引中未找到
[跳过] glEvalPoint1：Learn 索引中未找到
