从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：108 个
[跳过] PeerFreeData：Learn 索引中未找到
[跳过] PeerGetItemCount：Learn 索引中未找到
[跳过] PeerGetNextItem：Learn 索引中未找到
[跳过] PeerEndEnumeration：Learn 索引中未找到
[跳过] PeerGroupStartup：Learn 索引中未找到
[跳过] PeerGroupShutdown：Learn 索引中未找到
[跳过] PeerGroupCreate：Learn 索引中未找到
[跳过] PeerGroupOpen：Learn 索引中未找到
[跳过] PeerGroupJoin：Learn 索引中未找到
[跳过] PeerGroupPasswordJoin：Learn 索引中未找到
[跳过] PeerGroupConnect：Learn 索引中未找到
[跳过] PeerGroupConnectByAddress：Learn 索引中未找到
[跳过] PeerGroupClose：Learn 索引中未找到
[跳过] PeerGroupDelete：Learn 索引中未找到
[跳过] PeerGroupCreateInvitation：Learn 索引中未找到
[跳过] PeerGroupCreatePasswordInvitation：Learn 索引中未找到
[跳过] PeerGroupParseInvitation：Learn 索引中未找到
[跳过] PeerGroupGetStatus：Learn 索引中未找到
[跳过] PeerGroupGetProperties：Learn 索引中未找到
[跳过] PeerGroupSetProperties：Learn 索引中未找到
[跳过] PeerGroupEnumMembers：Learn 索引中未找到
[跳过] PeerGroupOpenDirectConnection：Learn 索引中未找到
[跳过] PeerGroupCloseDirectConnection：Learn 索引中未找到
[跳过] PeerGroupEnumConnections：Learn 索引中未找到
[跳过] PeerGroupSendData：Learn 索引中未找到
[跳过] PeerGroupRegisterEvent：Learn 索引中未找到
[跳过] PeerGroupUnregisterEvent：Learn 索引中未找到
[跳过] PeerGroupGetEventData：Learn 索引中未找到
[跳过] PeerGroupGetRecord：Learn 索引中未找到
[跳过] PeerGroupAddRecord：Learn 索引中未找到
[跳过] PeerGroupUpdateRecord：Learn 索引中未找到
[跳过] PeerGroupDeleteRecord：Learn 索引中未找到
[跳过] PeerGroupEnumRecords：Learn 索引中未找到
[跳过] PeerGroupSearchRecords：Learn 索引中未找到
[跳过] PeerGroupExportDatabase：Learn 索引中未找到
[跳过] PeerGroupImportDatabase：Learn 索引中未找到
[跳过] PeerGroupIssueCredentials：Learn 索引中未找到
[跳过] PeerGroupExportConfig：Learn 索引中未找到
[跳过] PeerGroupImportConfig：Learn 索引中未找到
[跳过] PeerGroupPeerTimeToUniversalTime：Learn 索引中未找到
[跳过] PeerGroupUniversalTimeToPeerTime：Learn 索引中未找到
[跳过] PeerGroupResumePasswordAuthentication：Learn 索引中未找到
[跳过] PeerIdentityCreate：Learn 索引中未找到
[跳过] PeerIdentityGetFriendlyName：Learn 索引中未找到
[跳过] PeerIdentitySetFriendlyName：Learn 索引中未找到
[跳过] PeerIdentityGetCryptKey：Learn 索引中未找到
[跳过] PeerIdentityDelete：Learn 索引中未找到
[跳过] PeerEnumIdentities：Learn 索引中未找到
[跳过] PeerEnumGroups：Learn 索引中未找到
[跳过] PeerCreatePeerName：Learn 索引中未找到
[跳过] PeerIdentityGetXML：Learn 索引中未找到
[跳过] PeerIdentityExport：Learn 索引中未找到
[跳过] PeerIdentityImport：Learn 索引中未找到
[跳过] PeerIdentityGetDefault：Learn 索引中未找到
[跳过] PeerCollabStartup：Learn 索引中未找到
[跳过] PeerCollabShutdown：Learn 索引中未找到
[跳过] PeerCollabSignin：Learn 索引中未找到
[跳过] PeerCollabSignout：Learn 索引中未找到
[跳过] PeerCollabGetSigninOptions：Learn 索引中未找到
[跳过] PeerCollabAsyncInviteContact：Learn 索引中未找到
[跳过] PeerCollabGetInvitationResponse：Learn 索引中未找到
[跳过] PeerCollabCancelInvitation：Learn 索引中未找到
[跳过] PeerCollabCloseHandle：Learn 索引中未找到
[跳过] PeerCollabInviteContact：Learn 索引中未找到
[跳过] PeerCollabAsyncInviteEndpoint：Learn 索引中未找到
[跳过] PeerCollabInviteEndpoint：Learn 索引中未找到
[跳过] PeerCollabGetAppLaunchInfo：Learn 索引中未找到
[跳过] PeerCollabRegisterApplication：Learn 索引中未找到
[跳过] PeerCollabUnregisterApplication：Learn 索引中未找到
[跳过] PeerCollabGetApplicationRegistrationInfo：Learn 索引中未找到
[跳过] PeerCollabEnumApplicationRegistrationInfo：Learn 索引中未找到
[跳过] PeerCollabGetPresenceInfo：Learn 索引中未找到
[跳过] PeerCollabEnumApplications：Learn 索引中未找到
[跳过] PeerCollabEnumObjects：Learn 索引中未找到
[跳过] PeerCollabEnumEndpoints：Learn 索引中未找到
[跳过] PeerCollabRefreshEndpointData：Learn 索引中未找到
[跳过] PeerCollabDeleteEndpointData：Learn 索引中未找到
[跳过] PeerCollabQueryContactData：Learn 索引中未找到
[跳过] PeerCollabSubscribeEndpointData：Learn 索引中未找到
[跳过] PeerCollabUnsubscribeEndpointData：Learn 索引中未找到
[跳过] PeerCollabSetPresenceInfo：Learn 索引中未找到
[跳过] PeerCollabGetEndpointName：Learn 索引中未找到
[跳过] PeerCollabSetEndpointName：Learn 索引中未找到
[跳过] PeerCollabSetObject：Learn 索引中未找到
[跳过] PeerCollabDeleteObject：Learn 索引中未找到
[跳过] PeerCollabRegisterEvent：Learn 索引中未找到
[跳过] PeerCollabGetEventData：Learn 索引中未找到
[跳过] PeerCollabUnregisterEvent：Learn 索引中未找到
[跳过] PeerCollabEnumPeopleNearMe：Learn 索引中未找到
[跳过] PeerCollabAddContact：Learn 索引中未找到
[跳过] PeerCollabDeleteContact：Learn 索引中未找到
[跳过] PeerCollabGetContact：Learn 索引中未找到
[跳过] PeerCollabUpdateContact：Learn 索引中未找到
[跳过] PeerCollabEnumContacts：Learn 索引中未找到
[跳过] PeerCollabExportContact：Learn 索引中未找到
[跳过] PeerCollabParseContact：Learn 索引中未找到
[跳过] PeerNameToPeerHostName：Learn 索引中未找到
[跳过] PeerHostNameToPeerName：Learn 索引中未找到
[跳过] PeerPnrpStartup：Learn 索引中未找到
[跳过] PeerPnrpShutdown：Learn 索引中未找到
[跳过] PeerPnrpRegister：Learn 索引中未找到
[跳过] PeerPnrpUpdateRegistration：Learn 索引中未找到
[跳过] PeerPnrpUnregister：Learn 索引中未找到
[跳过] PeerPnrpResolve：Learn 索引中未找到
[跳过] PeerPnrpStartResolve：Learn 索引中未找到
[跳过] PeerPnrpGetCloudInfo：Learn 索引中未找到
[跳过] PeerPnrpGetEndpoint：Learn 索引中未找到
[跳过] PeerPnrpEndResolve：Learn 索引中未找到

完成：处理 0，跳过(已存在) 0，索引缺失 108，失败 0
