从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：84 个
[跳过] CallNtPowerInformation：Learn 索引中未找到
[跳过] GetPwrCapabilities：Learn 索引中未找到
[跳过] PowerDeterminePlatformRoleEx：Learn 索引中未找到
[跳过] PowerRegisterSuspendResumeNotification：Learn 索引中未找到
[跳过] PowerUnregisterSuspendResumeNotification：Learn 索引中未找到
[跳过] PowerReadACValue：Learn 索引中未找到
[跳过] PowerReadDCValue：Learn 索引中未找到
[跳过] PowerWriteACValueIndex：Learn 索引中未找到
[跳过] PowerWriteDCValueIndex：Learn 索引中未找到
[跳过] PowerGetActiveScheme：Learn 索引中未找到
[跳过] PowerSetActiveScheme：Learn 索引中未找到
[跳过] PowerSettingRegisterNotification：Learn 索引中未找到
[跳过] PowerSettingUnregisterNotification：Learn 索引中未找到
[跳过] PowerRegisterForEffectivePowerModeNotifications：Learn 索引中未找到
[跳过] PowerUnregisterFromEffectivePowerModeNotifications：Learn 索引中未找到
[跳过] GetPwrDiskSpindownRange：Learn 索引中未找到
[跳过] EnumPwrSchemes：Learn 索引中未找到
[跳过] ReadGlobalPwrPolicy：Learn 索引中未找到
[跳过] ReadPwrScheme：Learn 索引中未找到
[跳过] WritePwrScheme：Learn 索引中未找到
[跳过] WriteGlobalPwrPolicy：Learn 索引中未找到
[跳过] DeletePwrScheme：Learn 索引中未找到
[跳过] GetActivePwrScheme：Learn 索引中未找到
[跳过] SetActivePwrScheme：Learn 索引中未找到
[跳过] IsPwrSuspendAllowed：Learn 索引中未找到
[跳过] IsPwrHibernateAllowed：Learn 索引中未找到
[跳过] IsPwrShutdownAllowed：Learn 索引中未找到
[跳过] IsAdminOverrideActive：Learn 索引中未找到
[跳过] SetSuspendState：Learn 索引中未找到
[跳过] GetCurrentPowerPolicies：Learn 索引中未找到
[跳过] CanUserWritePwrScheme：Learn 索引中未找到
[跳过] ReadProcessorPwrScheme：Learn 索引中未找到
[跳过] WriteProcessorPwrScheme：Learn 索引中未找到
[跳过] ValidatePowerPolicies：Learn 索引中未找到
[跳过] PowerIsSettingRangeDefined：Learn 索引中未找到
[跳过] PowerSettingAccessCheckEx：Learn 索引中未找到
[跳过] PowerSettingAccessCheck：Learn 索引中未找到
[跳过] PowerReadACValueIndex：Learn 索引中未找到
[跳过] PowerReadDCValueIndex：Learn 索引中未找到
[跳过] PowerReadFriendlyName：Learn 索引中未找到
[跳过] PowerReadDescription：Learn 索引中未找到
[跳过] PowerReadPossibleValue：Learn 索引中未找到
[跳过] PowerReadPossibleFriendlyName：Learn 索引中未找到
[跳过] PowerReadPossibleDescription：Learn 索引中未找到
[跳过] PowerReadValueMin：Learn 索引中未找到
[跳过] PowerReadValueMax：Learn 索引中未找到
[跳过] PowerReadValueIncrement：Learn 索引中未找到
[跳过] PowerReadValueUnitsSpecifier：Learn 索引中未找到
[跳过] PowerReadACDefaultIndex：Learn 索引中未找到
[跳过] PowerReadDCDefaultIndex：Learn 索引中未找到
[跳过] PowerReadIconResourceSpecifier：Learn 索引中未找到
[跳过] PowerReadSettingAttributes：Learn 索引中未找到
[跳过] PowerWriteFriendlyName：Learn 索引中未找到
[跳过] PowerWriteDescription：Learn 索引中未找到
[跳过] PowerWritePossibleValue：Learn 索引中未找到
[跳过] PowerWritePossibleFriendlyName：Learn 索引中未找到
[跳过] PowerWritePossibleDescription：Learn 索引中未找到
[跳过] PowerWriteValueMin：Learn 索引中未找到
[跳过] PowerWriteValueMax：Learn 索引中未找到
[跳过] PowerWriteValueIncrement：Learn 索引中未找到
[跳过] PowerWriteValueUnitsSpecifier：Learn 索引中未找到
[跳过] PowerWriteACDefaultIndex：Learn 索引中未找到
[跳过] PowerWriteDCDefaultIndex：Learn 索引中未找到
[跳过] PowerWriteIconResourceSpecifier：Learn 索引中未找到
[跳过] PowerWriteSettingAttributes：Learn 索引中未找到
[跳过] PowerDuplicateScheme：Learn 索引中未找到
[跳过] PowerImportPowerScheme：Learn 索引中未找到
[跳过] PowerDeleteScheme：Learn 索引中未找到
[跳过] PowerRemovePowerSetting：Learn 索引中未找到
[跳过] PowerCreateSetting：Learn 索引中未找到
[跳过] PowerCreatePossibleSetting：Learn 索引中未找到
[跳过] PowerEnumerate：Learn 索引中未找到
[跳过] PowerOpenUserPowerKey：Learn 索引中未找到
[跳过] PowerOpenSystemPowerKey：Learn 索引中未找到
[跳过] PowerCanRestoreIndividualDefaultPowerScheme：Learn 索引中未找到
[跳过] PowerRestoreIndividualDefaultPowerScheme：Learn 索引中未找到
[跳过] PowerRestoreDefaultPowerSchemes：Learn 索引中未找到
[跳过] PowerReplaceDefaultPowerSchemes：Learn 索引中未找到
[跳过] PowerDeterminePlatformRole：Learn 索引中未找到
[跳过] DevicePowerEnumDevices：Learn 索引中未找到
[跳过] DevicePowerSetDeviceState：Learn 索引中未找到
[跳过] DevicePowerOpen：Learn 索引中未找到
[跳过] DevicePowerClose：Learn 索引中未找到
[跳过] PowerReportThermalEvent：Learn 索引中未找到

完成：处理 0，跳过(已存在) 0，索引缺失 84，失败 0
