从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：218 个
[跳过] PropVariantToWinRTPropertyValue：Learn 索引中未找到
[跳过] WinRTPropertyValueToPropVariant：Learn 索引中未找到
[跳过] PSFormatForDisplay：Learn 索引中未找到
[跳过] PSFormatForDisplayAlloc：Learn 索引中未找到
[跳过] PSFormatPropertyValue：Learn 索引中未找到
[跳过] PSGetImageReferenceForValue：Learn 索引中未找到
[跳过] PSStringFromPropertyKey：Learn 索引中未找到
[跳过] PSPropertyKeyFromString：Learn 索引中未找到
[跳过] PSCreateMemoryPropertyStore：Learn 索引中未找到
[跳过] PSCreateDelayedMultiplexPropertyStore：Learn 索引中未找到
[跳过] PSCreateMultiplexPropertyStore：Learn 索引中未找到
[跳过] PSCreatePropertyChangeArray：Learn 索引中未找到
[跳过] PSCreateSimplePropertyChange：Learn 索引中未找到
[跳过] PSGetPropertyDescription：Learn 索引中未找到
[跳过] PSGetPropertyDescriptionByName：Learn 索引中未找到
[跳过] PSLookupPropertyHandlerCLSID：Learn 索引中未找到
[跳过] PSGetItemPropertyHandler：Learn 索引中未找到
[跳过] PSGetItemPropertyHandlerWithCreateObject：Learn 索引中未找到
[跳过] PSGetPropertyValue：Learn 索引中未找到
[跳过] PSSetPropertyValue：Learn 索引中未找到
[跳过] PSRegisterPropertySchema：Learn 索引中未找到
[跳过] PSUnregisterPropertySchema：Learn 索引中未找到
[跳过] PSRefreshPropertySchema：Learn 索引中未找到
[跳过] PSEnumeratePropertyDescriptions：Learn 索引中未找到
[跳过] PSGetPropertyKeyFromName：Learn 索引中未找到
[跳过] PSGetNameFromPropertyKey：Learn 索引中未找到
[跳过] PSCoerceToCanonicalValue：Learn 索引中未找到
[跳过] PSGetPropertyDescriptionListFromString：Learn 索引中未找到
[跳过] PSCreatePropertyStoreFromPropertySetStorage：Learn 索引中未找到
[跳过] PSCreatePropertyStoreFromObject：Learn 索引中未找到
[跳过] PSCreateAdapterFromPropertyStore：Learn 索引中未找到
[跳过] PSGetPropertySystem：Learn 索引中未找到
[跳过] PSGetPropertyFromPropertyStorage：Learn 索引中未找到
[跳过] PSGetNamedPropertyFromPropertyStorage：Learn 索引中未找到
[跳过] PSPropertyBag_ReadType：Learn 索引中未找到
[跳过] PSPropertyBag_ReadStr：Learn 索引中未找到
[跳过] PSPropertyBag_ReadStrAlloc：Learn 索引中未找到
[跳过] PSPropertyBag_ReadBSTR：Learn 索引中未找到
[跳过] PSPropertyBag_WriteStr：Learn 索引中未找到
[跳过] PSPropertyBag_WriteBSTR：Learn 索引中未找到
[跳过] PSPropertyBag_ReadInt：Learn 索引中未找到
[跳过] PSPropertyBag_WriteInt：Learn 索引中未找到
[跳过] PSPropertyBag_ReadSHORT：Learn 索引中未找到
[跳过] PSPropertyBag_WriteSHORT：Learn 索引中未找到
[跳过] PSPropertyBag_ReadLONG：Learn 索引中未找到
[跳过] PSPropertyBag_WriteLONG：Learn 索引中未找到
[跳过] PSPropertyBag_ReadDWORD：Learn 索引中未找到
[跳过] PSPropertyBag_WriteDWORD：Learn 索引中未找到
[跳过] PSPropertyBag_ReadBOOL：Learn 索引中未找到
[跳过] PSPropertyBag_WriteBOOL：Learn 索引中未找到
[跳过] PSPropertyBag_ReadPOINTL：Learn 索引中未找到
[跳过] PSPropertyBag_WritePOINTL：Learn 索引中未找到
[跳过] PSPropertyBag_ReadPOINTS：Learn 索引中未找到
[跳过] PSPropertyBag_WritePOINTS：Learn 索引中未找到
[跳过] PSPropertyBag_ReadRECTL：Learn 索引中未找到
[跳过] PSPropertyBag_WriteRECTL：Learn 索引中未找到
[跳过] PSPropertyBag_ReadStream：Learn 索引中未找到
[跳过] PSPropertyBag_WriteStream：Learn 索引中未找到
[跳过] PSPropertyBag_Delete：Learn 索引中未找到
[跳过] PSPropertyBag_ReadULONGLONG：Learn 索引中未找到
[跳过] PSPropertyBag_WriteULONGLONG：Learn 索引中未找到
[跳过] PSPropertyBag_ReadUnknown：Learn 索引中未找到
[跳过] PSPropertyBag_WriteUnknown：Learn 索引中未找到
[跳过] PSPropertyBag_ReadGUID：Learn 索引中未找到
[跳过] PSPropertyBag_WriteGUID：Learn 索引中未找到
[跳过] PSPropertyBag_ReadPropertyKey：Learn 索引中未找到
[跳过] PSPropertyBag_WritePropertyKey：Learn 索引中未找到
[跳过] InitPropVariantFromResource：Learn 索引中未找到
[跳过] InitPropVariantFromBuffer：Learn 索引中未找到
[跳过] InitPropVariantFromCLSID：Learn 索引中未找到
[跳过] InitPropVariantFromGUIDAsString：Learn 索引中未找到
[跳过] InitPropVariantFromFileTime：Learn 索引中未找到
[跳过] InitPropVariantFromPropVariantVectorElem：Learn 索引中未找到
[跳过] InitPropVariantVectorFromPropVariant：Learn 索引中未找到
[跳过] InitPropVariantFromStrRet：Learn 索引中未找到
[跳过] InitPropVariantFromBooleanVector：Learn 索引中未找到
[跳过] InitPropVariantFromInt16Vector：Learn 索引中未找到
[跳过] InitPropVariantFromUInt16Vector：Learn 索引中未找到
[跳过] InitPropVariantFromInt32Vector：Learn 索引中未找到
[跳过] InitPropVariantFromUInt32Vector：Learn 索引中未找到
[跳过] InitPropVariantFromInt64Vector：Learn 索引中未找到
[跳过] InitPropVariantFromUInt64Vector：Learn 索引中未找到
[跳过] InitPropVariantFromDoubleVector：Learn 索引中未找到
[跳过] InitPropVariantFromFileTimeVector：Learn 索引中未找到
[跳过] InitPropVariantFromStringVector：Learn 索引中未找到
[跳过] InitPropVariantFromStringAsVector：Learn 索引中未找到
[跳过] PropVariantToBooleanWithDefault：Learn 索引中未找到
[跳过] PropVariantToInt16WithDefault：Learn 索引中未找到
[跳过] PropVariantToUInt16WithDefault：Learn 索引中未找到
[跳过] PropVariantToInt32WithDefault：Learn 索引中未找到
[跳过] PropVariantToUInt32WithDefault：Learn 索引中未找到
[跳过] PropVariantToInt64WithDefault：Learn 索引中未找到
[跳过] PropVariantToUInt64WithDefault：Learn 索引中未找到
[跳过] PropVariantToDoubleWithDefault：Learn 索引中未找到
[跳过] PropVariantToStringWithDefault：Learn 索引中未找到
[跳过] PropVariantToBoolean：Learn 索引中未找到
[跳过] PropVariantToInt16：Learn 索引中未找到
[跳过] PropVariantToUInt16：Learn 索引中未找到
[跳过] PropVariantToInt32：Learn 索引中未找到
[跳过] PropVariantToUInt32：Learn 索引中未找到
[跳过] PropVariantToInt64：Learn 索引中未找到
[跳过] PropVariantToUInt64：Learn 索引中未找到
[跳过] PropVariantToDouble：Learn 索引中未找到
[跳过] PropVariantToBuffer：Learn 索引中未找到
[跳过] PropVariantToString：Learn 索引中未找到
[跳过] PropVariantToGUID：Learn 索引中未找到
[跳过] PropVariantToStringAlloc：Learn 索引中未找到
[跳过] PropVariantToBSTR：Learn 索引中未找到
[跳过] PropVariantToStrRet：Learn 索引中未找到
[跳过] PropVariantToFileTime：Learn 索引中未找到
[跳过] PropVariantGetElementCount：Learn 索引中未找到
[跳过] PropVariantToBooleanVector：Learn 索引中未找到
[跳过] PropVariantToInt16Vector：Learn 索引中未找到
[跳过] PropVariantToUInt16Vector：Learn 索引中未找到
[跳过] PropVariantToInt32Vector：Learn 索引中未找到
[跳过] PropVariantToUInt32Vector：Learn 索引中未找到
[跳过] PropVariantToInt64Vector：Learn 索引中未找到
[跳过] PropVariantToUInt64Vector：Learn 索引中未找到
[跳过] PropVariantToDoubleVector：Learn 索引中未找到
[跳过] PropVariantToFileTimeVector：Learn 索引中未找到
[跳过] PropVariantToStringVector：Learn 索引中未找到
[跳过] PropVariantToBooleanVectorAlloc：Learn 索引中未找到
[跳过] PropVariantToInt16VectorAlloc：Learn 索引中未找到
[跳过] PropVariantToUInt16VectorAlloc：Learn 索引中未找到
