从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：84 个
[跳过] RasDialA：Learn 索引中未找到
[跳过] RasDialW：Learn 索引中未找到
[跳过] RasEnumConnectionsA：Learn 索引中未找到
[跳过] RasEnumConnectionsW：Learn 索引中未找到
[跳过] RasEnumEntriesA：Learn 索引中未找到
[跳过] RasEnumEntriesW：Learn 索引中未找到
[跳过] RasGetConnectStatusA：Learn 索引中未找到
[跳过] RasGetConnectStatusW：Learn 索引中未找到
[跳过] RasGetErrorStringA：Learn 索引中未找到
[跳过] RasGetErrorStringW：Learn 索引中未找到
[跳过] RasHangUpA：Learn 索引中未找到
[跳过] RasHangUpW：Learn 索引中未找到
[跳过] RasGetProjectionInfoA：Learn 索引中未找到
[跳过] RasGetProjectionInfoW：Learn 索引中未找到
[跳过] RasCreatePhonebookEntryA：Learn 索引中未找到
[跳过] RasCreatePhonebookEntryW：Learn 索引中未找到
[跳过] RasEditPhonebookEntryA：Learn 索引中未找到
[跳过] RasEditPhonebookEntryW：Learn 索引中未找到
[跳过] RasSetEntryDialParamsA：Learn 索引中未找到
[跳过] RasSetEntryDialParamsW：Learn 索引中未找到
[跳过] RasGetEntryDialParamsA：Learn 索引中未找到
[跳过] RasGetEntryDialParamsW：Learn 索引中未找到
[跳过] RasEnumDevicesA：Learn 索引中未找到
[跳过] RasEnumDevicesW：Learn 索引中未找到
[跳过] RasGetCountryInfoA：Learn 索引中未找到
[跳过] RasGetCountryInfoW：Learn 索引中未找到
[跳过] RasGetEntryPropertiesA：Learn 索引中未找到
[跳过] RasGetEntryPropertiesW：Learn 索引中未找到
[跳过] RasSetEntryPropertiesA：Learn 索引中未找到
[跳过] RasSetEntryPropertiesW：Learn 索引中未找到
[跳过] RasRenameEntryA：Learn 索引中未找到
[跳过] RasRenameEntryW：Learn 索引中未找到
[跳过] RasDeleteEntryA：Learn 索引中未找到
[跳过] RasDeleteEntryW：Learn 索引中未找到
[跳过] RasValidateEntryNameA：Learn 索引中未找到
[跳过] RasValidateEntryNameW：Learn 索引中未找到
[跳过] RasConnectionNotificationA：Learn 索引中未找到
[跳过] RasConnectionNotificationW：Learn 索引中未找到
[跳过] RasGetSubEntryHandleA：Learn 索引中未找到
[跳过] RasGetSubEntryHandleW：Learn 索引中未找到
[跳过] RasGetCredentialsA：Learn 索引中未找到
[跳过] RasGetCredentialsW：Learn 索引中未找到
[跳过] RasSetCredentialsA：Learn 索引中未找到
[跳过] RasSetCredentialsW：Learn 索引中未找到
[跳过] RasGetSubEntryPropertiesA：Learn 索引中未找到
[跳过] RasGetSubEntryPropertiesW：Learn 索引中未找到
[跳过] RasSetSubEntryPropertiesA：Learn 索引中未找到
[跳过] RasSetSubEntryPropertiesW：Learn 索引中未找到
[跳过] RasGetAutodialAddressA：Learn 索引中未找到
[跳过] RasGetAutodialAddressW：Learn 索引中未找到
[跳过] RasSetAutodialAddressA：Learn 索引中未找到
[跳过] RasSetAutodialAddressW：Learn 索引中未找到
[跳过] RasEnumAutodialAddressesA：Learn 索引中未找到
[跳过] RasEnumAutodialAddressesW：Learn 索引中未找到
[跳过] RasGetAutodialEnableA：Learn 索引中未找到
[跳过] RasGetAutodialEnableW：Learn 索引中未找到
[跳过] RasSetAutodialEnableA：Learn 索引中未找到
[跳过] RasSetAutodialEnableW：Learn 索引中未找到
[跳过] RasGetAutodialParamA：Learn 索引中未找到
[跳过] RasGetAutodialParamW：Learn 索引中未找到
[跳过] RasSetAutodialParamA：Learn 索引中未找到
[跳过] RasSetAutodialParamW：Learn 索引中未找到
[跳过] RasGetPCscf：Learn 索引中未找到
[跳过] RasInvokeEapUI：Learn 索引中未找到
[跳过] RasGetLinkStatistics：Learn 索引中未找到
[跳过] RasGetConnectionStatistics：Learn 索引中未找到
[跳过] RasClearLinkStatistics：Learn 索引中未找到
[跳过] RasClearConnectionStatistics：Learn 索引中未找到
[跳过] RasGetEapUserDataA：Learn 索引中未找到
[跳过] RasGetEapUserDataW：Learn 索引中未找到
[跳过] RasSetEapUserDataA：Learn 索引中未找到
[跳过] RasSetEapUserDataW：Learn 索引中未找到
[跳过] RasGetCustomAuthDataA：Learn 索引中未找到
[跳过] RasGetCustomAuthDataW：Learn 索引中未找到
[跳过] RasSetCustomAuthDataA：Learn 索引中未找到
[跳过] RasSetCustomAuthDataW：Learn 索引中未找到
[跳过] RasGetEapUserIdentityW：Learn 索引中未找到
[跳过] RasGetEapUserIdentityA：Learn 索引中未找到
[跳过] RasFreeEapUserIdentityW：Learn 索引中未找到
[跳过] RasFreeEapUserIdentityA：Learn 索引中未找到
[跳过] RasDeleteSubEntryA：Learn 索引中未找到
[跳过] RasDeleteSubEntryW：Learn 索引中未找到
[跳过] RasUpdateConnection：Learn 索引中未找到
[跳过] RasGetProjectionInfoEx：Learn 索引中未找到

完成：处理 0，跳过(已存在) 0，索引缺失 84，失败 0
