从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：120 个
[跳过] InitializeClusterHealthFault：Learn 索引中未找到
[跳过] InitializeClusterHealthFaultArray：Learn 索引中未找到
[跳过] FreeClusterHealthFault：Learn 索引中未找到
[跳过] FreeClusterHealthFaultArray：Learn 索引中未找到
[跳过] ClusGetClusterHealthFaults：Learn 索引中未找到
[跳过] ClusRemoveClusterHealthFault：Learn 索引中未找到
[跳过] ClusAddClusterHealthFault：Learn 索引中未找到
[跳过] ResUtilStartResourceService：Learn 索引中未找到
[跳过] ResUtilVerifyResourceService：Learn 索引中未找到
[跳过] ResUtilStopResourceService：Learn 索引中未找到
[跳过] ResUtilVerifyService：Learn 索引中未找到
[跳过] ResUtilStopService：Learn 索引中未找到
[跳过] ResUtilCreateDirectoryTree：Learn 索引中未找到
[跳过] ResUtilIsPathValid：Learn 索引中未找到
[跳过] ResUtilEnumProperties：Learn 索引中未找到
[跳过] ResUtilEnumPrivateProperties：Learn 索引中未找到
[跳过] ResUtilGetProperties：Learn 索引中未找到
[跳过] ResUtilGetAllProperties：Learn 索引中未找到
[跳过] ResUtilGetPrivateProperties：Learn 索引中未找到
[跳过] ResUtilGetPropertySize：Learn 索引中未找到
[跳过] ResUtilGetProperty：Learn 索引中未找到
[跳过] ResUtilVerifyPropertyTable：Learn 索引中未找到
[跳过] ResUtilSetPropertyTable：Learn 索引中未找到
[跳过] ResUtilSetPropertyTableEx：Learn 索引中未找到
[跳过] ResUtilSetPropertyParameterBlock：Learn 索引中未找到
[跳过] ResUtilSetPropertyParameterBlockEx：Learn 索引中未找到
[跳过] ResUtilSetUnknownProperties：Learn 索引中未找到
[跳过] ResUtilGetPropertiesToParameterBlock：Learn 索引中未找到
[跳过] ResUtilPropertyListFromParameterBlock：Learn 索引中未找到
[跳过] ResUtilDupParameterBlock：Learn 索引中未找到
[跳过] ResUtilFreeParameterBlock：Learn 索引中未找到
[跳过] ResUtilAddUnknownProperties：Learn 索引中未找到
[跳过] ResUtilSetPrivatePropertyList：Learn 索引中未找到
[跳过] ResUtilVerifyPrivatePropertyList：Learn 索引中未找到
[跳过] ResUtilDupString：Learn 索引中未找到
[跳过] ResUtilGetBinaryValue：Learn 索引中未找到
[跳过] ResUtilGetSzValue：Learn 索引中未找到
[跳过] ResUtilGetDwordValue：Learn 索引中未找到
[跳过] ResUtilGetQwordValue：Learn 索引中未找到
[跳过] ResUtilSetBinaryValue：Learn 索引中未找到
[跳过] ResUtilSetSzValue：Learn 索引中未找到
[跳过] ResUtilSetExpandSzValue：Learn 索引中未找到
[跳过] ResUtilSetMultiSzValue：Learn 索引中未找到
[跳过] ResUtilSetDwordValue：Learn 索引中未找到
[跳过] ResUtilSetQwordValue：Learn 索引中未找到
[跳过] ResUtilSetValueEx：Learn 索引中未找到
[跳过] ResUtilGetBinaryProperty：Learn 索引中未找到
[跳过] ResUtilGetSzProperty：Learn 索引中未找到
[跳过] ResUtilGetMultiSzProperty：Learn 索引中未找到
[跳过] ResUtilGetDwordProperty：Learn 索引中未找到
[跳过] ResUtilGetLongProperty：Learn 索引中未找到
[跳过] ResUtilGetFileTimeProperty：Learn 索引中未找到
