从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：447 个
[跳过] RpcSsGetContextBinding：Learn 索引中未找到
[跳过] RpcBindingInqMaxCalls：Learn 索引中未找到
[跳过] RpcServerInqBindingsEx：Learn 索引中未找到
[跳过] RpcServerYield：Learn 索引中未找到
[跳过] RpcImpersonateClient2：Learn 索引中未找到
[跳过] I_RpcNegotiateTransferSyntax：Learn 索引中未找到
[跳过] I_RpcGetBuffer：Learn 索引中未找到
[跳过] I_RpcGetBufferWithObject：Learn 索引中未找到
[跳过] I_RpcSendReceive：Learn 索引中未找到
[跳过] I_RpcFreeBuffer：Learn 索引中未找到
[跳过] I_RpcSend：Learn 索引中未找到
[跳过] I_RpcReceive：Learn 索引中未找到
[跳过] I_RpcFreePipeBuffer：Learn 索引中未找到
[跳过] I_RpcReallocPipeBuffer：Learn 索引中未找到
[跳过] I_RpcRequestMutex：Learn 索引中未找到
[跳过] I_RpcClearMutex：Learn 索引中未找到
[跳过] I_RpcDeleteMutex：Learn 索引中未找到
[跳过] I_RpcAllocate：Learn 索引中未找到
[跳过] I_RpcFree：Learn 索引中未找到
[跳过] I_RpcPauseExecution：Learn 索引中未找到
[跳过] I_RpcGetExtendedError：Learn 索引中未找到
[跳过] I_RpcSystemHandleTypeSpecificWork：Learn 索引中未找到
[跳过] I_RpcGetCurrentCallHandle：Learn 索引中未找到
[跳过] I_RpcNsInterfaceExported：Learn 索引中未找到
[跳过] I_RpcNsInterfaceUnexported：Learn 索引中未找到
[跳过] I_RpcBindingToStaticStringBindingW：Learn 索引中未找到
[跳过] I_RpcBindingInqSecurityContext：Learn 索引中未找到
[跳过] I_RpcBindingInqSecurityContextKeyInfo：Learn 索引中未找到
[跳过] I_RpcBindingInqWireIdForSnego：Learn 索引中未找到
[跳过] I_RpcBindingInqMarshalledTargetInfo：Learn 索引中未找到
[跳过] I_RpcBindingHandleToAsyncHandle：Learn 索引中未找到
[跳过] I_RpcNsBindingSetEntryNameW：Learn 索引中未找到
[跳过] I_RpcNsBindingSetEntryNameA：Learn 索引中未找到
[跳过] I_RpcServerUseProtseqEp2A：Learn 索引中未找到
[跳过] I_RpcServerUseProtseqEp2W：Learn 索引中未找到
[跳过] I_RpcServerUseProtseq2W：Learn 索引中未找到
