从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：89 个
[写入] LsaRegisterLogonProcess（5 条文档条目）
[写入] LsaLogonUser（5 条文档条目）
[写入] LsaLookupAuthenticationPackage（5 条文档条目）
[写入] LsaFreeReturnBuffer（5 条文档条目）
[写入] LsaCallAuthenticationPackage（5 条文档条目）
[写入] LsaDeregisterLogonProcess（5 条文档条目）
[写入] LsaConnectUntrusted（5 条文档条目）
[写入] LsaEnumerateLogonSessions（5 条文档条目）
[写入] LsaGetLogonSessionData（5 条文档条目）
[写入] LsaRegisterPolicyChangeNotification（5 条文档条目）
[写入] LsaUnregisterPolicyChangeNotification（5 条文档条目）
[写入] AcquireCredentialsHandleW（5 条文档条目）
[写入] AcquireCredentialsHandleA（5 条文档条目）
[写入] FreeCredentialsHandle（4 条文档条目）
[写入] AddCredentialsW（4 条文档条目）
[写入] AddCredentialsA（4 条文档条目）
[写入] ChangeAccountPasswordW（5 条文档条目）
[写入] ChangeAccountPasswordA（5 条文档条目）
[写入] InitializeSecurityContextW（5 条文档条目）
[写入] InitializeSecurityContextA（5 条文档条目）
[写入] AcceptSecurityContext（5 条文档条目）
[写入] CompleteAuthToken（5 条文档条目）
[写入] ImpersonateSecurityContext（5 条文档条目）
[写入] RevertSecurityContext（5 条文档条目）
[写入] QuerySecurityContextToken（5 条文档条目）
[写入] DeleteSecurityContext（5 条文档条目）
[写入] ApplyControlToken（5 条文档条目）
[写入] QueryContextAttributesW（5 条文档条目）
[写入] QueryContextAttributesA（5 条文档条目）
[写入] SetContextAttributesW（5 条文档条目）
[写入] SetContextAttributesA（5 条文档条目）
[写入] QueryCredentialsAttributesW（5 条文档条目）
[写入] QueryCredentialsAttributesA（5 条文档条目）
[写入] SetCredentialsAttributesW（5 条文档条目）
[写入] SetCredentialsAttributesA（5 条文档条目）
[写入] FreeContextBuffer（5 条文档条目）
[写入] MakeSignature（5 条文档条目）
[写入] VerifySignature（5 条文档条目）
[写入] EncryptMessage（5 条文档条目）
[写入] DecryptMessage（5 条文档条目）
[写入] EnumerateSecurityPackagesW（5 条文档条目）
[写入] EnumerateSecurityPackagesA（5 条文档条目）
[写入] QuerySecurityPackageInfoW（5 条文档条目）
[写入] QuerySecurityPackageInfoA（5 条文档条目）
[写入] ExportSecurityContext（4 条文档条目）
[写入] ImportSecurityContextW（5 条文档条目）
[写入] ImportSecurityContextA（5 条文档条目）
[写入] InitSecurityInterfaceA（4 条文档条目）
[写入] InitSecurityInterfaceW（4 条文档条目）
[写入] SaslEnumerateProfilesA（5 条文档条目）
[写入] SaslEnumerateProfilesW（5 条文档条目）
[写入] SaslGetProfilePackageA（5 条文档条目）
[写入] SaslGetProfilePackageW（5 条文档条目）
[写入] SaslIdentifyPackageA（5 条文档条目）
[写入] SaslIdentifyPackageW（5 条文档条目）
[写入] SaslInitializeSecurityContextW（5 条文档条目）
[写入] SaslInitializeSecurityContextA（5 条文档条目）
[写入] SaslAcceptSecurityContext（5 条文档条目）
[写入] SaslSetContextOption（4 条文档条目）
[写入] SaslGetContextOption（4 条文档条目）
[写入] SspiPrepareForCredRead（4 条文档条目）
[写入] SspiPrepareForCredWrite（4 条文档条目）
[写入] SspiEncryptAuthIdentity（4 条文档条目）
[写入] SspiDecryptAuthIdentity（4 条文档条目）
[写入] SspiIsAuthIdentityEncrypted（4 条文档条目）
[写入] SspiEncodeAuthIdentityAsStrings（4 条文档条目）
[写入] SspiValidateAuthIdentity（4 条文档条目）
[写入] SspiCopyAuthIdentity（4 条文档条目）
[写入] SspiFreeAuthIdentity（4 条文档条目）
[写入] SspiZeroAuthIdentity（4 条文档条目）
[写入] SspiLocalFree（4 条文档条目）
[写入] SspiEncodeStringsAsAuthIdentity（4 条文档条目）
[写入] SspiCompareAuthIdentities（4 条文档条目）
[写入] SspiMarshalAuthIdentity（4 条文档条目）
[写入] SspiUnmarshalAuthIdentity（4 条文档条目）
[写入] SspiGetTargetHostName（4 条文档条目）
[写入] SspiExcludePackage（4 条文档条目）
[写入] AddSecurityPackageA（5 条文档条目）
[写入] AddSecurityPackageW（5 条文档条目）
[写入] DeleteSecurityPackageA（5 条文档条目）
[写入] DeleteSecurityPackageW（5 条文档条目）
[写入] CredMarshalTargetInfo（4 条文档条目）
[跳过] CredUnmarshalTargetInfo：Learn 索引中未找到
[写入] GetUserNameExA（5 条文档条目）
[写入] GetUserNameExW（5 条文档条目）
[写入] GetComputerObjectNameA（5 条文档条目）
[写入] GetComputerObjectNameW（5 条文档条目）
[写入] TranslateNameA（5 条文档条目）
[写入] TranslateNameW（5 条文档条目）

完成：处理 88，跳过(已存在) 0，索引缺失 1，失败 0
