从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：334 个
[写入] SetupGetInfInformationA（5 条文档条目）
[写入] SetupGetInfInformationW（5 条文档条目）
[写入] SetupQueryInfFileInformationA（5 条文档条目）
[写入] SetupQueryInfFileInformationW（5 条文档条目）
[写入] SetupQueryInfOriginalFileInformationA（5 条文档条目）
[写入] SetupQueryInfOriginalFileInformationW（5 条文档条目）
[写入] SetupQueryInfVersionInformationA（5 条文档条目）
[写入] SetupQueryInfVersionInformationW（5 条文档条目）
[写入] SetupGetInfDriverStoreLocationA（5 条文档条目）
[写入] SetupGetInfDriverStoreLocationW（5 条文档条目）
[写入] SetupGetInfPublishedNameA（5 条文档条目）
[写入] SetupGetInfPublishedNameW（5 条文档条目）
[写入] SetupGetInfFileListA（5 条文档条目）
[写入] SetupGetInfFileListW（5 条文档条目）
[写入] SetupOpenInfFileW（5 条文档条目）
[写入] SetupOpenInfFileA（5 条文档条目）
[写入] SetupOpenMasterInf（3 条文档条目）
[写入] SetupOpenAppendInfFileW（5 条文档条目）
[写入] SetupOpenAppendInfFileA（5 条文档条目）
[写入] SetupCloseInfFile（4 条文档条目）
[写入] SetupFindFirstLineA（5 条文档条目）
[写入] SetupFindFirstLineW（5 条文档条目）
[写入] SetupFindNextLine（5 条文档条目）
[写入] SetupFindNextMatchLineA（5 条文档条目）
[写入] SetupFindNextMatchLineW（5 条文档条目）
[写入] SetupGetLineByIndexA（5 条文档条目）
[写入] SetupGetLineByIndexW（5 条文档条目）
[写入] SetupGetLineCountA（5 条文档条目）
[写入] SetupGetLineCountW（5 条文档条目）
[写入] SetupGetLineTextA（5 条文档条目）
[写入] SetupGetLineTextW（5 条文档条目）
[写入] SetupGetFieldCount（4 条文档条目）
[写入] SetupGetStringFieldA（5 条文档条目）
[写入] SetupGetStringFieldW（5 条文档条目）
[写入] SetupGetIntField（5 条文档条目）
[写入] SetupGetMultiSzFieldA（5 条文档条目）
[写入] SetupGetMultiSzFieldW（5 条文档条目）
[写入] SetupGetBinaryField（5 条文档条目）
[写入] SetupGetFileCompressionInfoA（5 条文档条目）
[写入] SetupGetFileCompressionInfoW（5 条文档条目）
[写入] SetupGetFileCompressionInfoExA（5 条文档条目）
[写入] SetupGetFileCompressionInfoExW（5 条文档条目）
[写入] SetupDecompressOrCopyFileA（5 条文档条目）
[写入] SetupDecompressOrCopyFileW（5 条文档条目）
[写入] SetupGetSourceFileLocationA（5 条文档条目）
[写入] SetupGetSourceFileLocationW（5 条文档条目）
[写入] SetupGetSourceFileSizeA（5 条文档条目）
[写入] SetupGetSourceFileSizeW（5 条文档条目）
[写入] SetupGetTargetPathA（5 条文档条目）
[写入] SetupGetTargetPathW（5 条文档条目）
[写入] SetupSetSourceListA（5 条文档条目）
[写入] SetupSetSourceListW（5 条文档条目）
[写入] SetupCancelTemporarySourceList（3 条文档条目）
[写入] SetupAddToSourceListA（5 条文档条目）
[写入] SetupAddToSourceListW（5 条文档条目）
[写入] SetupRemoveFromSourceListA（5 条文档条目）
[写入] SetupRemoveFromSourceListW（5 条文档条目）
[写入] SetupQuerySourceListA（5 条文档条目）
[写入] SetupQuerySourceListW（5 条文档条目）
[写入] SetupFreeSourceListA（5 条文档条目）
[写入] SetupFreeSourceListW（5 条文档条目）
[写入] SetupPromptForDiskA（5 条文档条目）
[写入] SetupPromptForDiskW（5 条文档条目）
[写入] SetupCopyErrorA（5 条文档条目）
[写入] SetupCopyErrorW（5 条文档条目）
[写入] SetupRenameErrorA（5 条文档条目）
[写入] SetupRenameErrorW（5 条文档条目）
[写入] SetupDeleteErrorA（5 条文档条目）
[写入] SetupDeleteErrorW（5 条文档条目）
[写入] SetupBackupErrorA（5 条文档条目）
[写入] SetupBackupErrorW（5 条文档条目）
[写入] SetupSetDirectoryIdA（5 条文档条目）
[写入] SetupSetDirectoryIdW（5 条文档条目）
[写入] SetupSetDirectoryIdExA（5 条文档条目）
[写入] SetupSetDirectoryIdExW（5 条文档条目）
[写入] SetupGetSourceInfoA（5 条文档条目）
[写入] SetupGetSourceInfoW（5 条文档条目）
[写入] SetupInstallFileA（5 条文档条目）
[写入] SetupInstallFileW（5 条文档条目）
[写入] SetupInstallFileExA（5 条文档条目）
[写入] SetupInstallFileExW（5 条文档条目）
[写入] SetupOpenFileQueue（4 条文档条目）
[写入] SetupCloseFileQueue（5 条文档条目）
[写入] SetupSetFileQueueAlternatePlatformA（5 条文档条目）
[写入] SetupSetFileQueueAlternatePlatformW（5 条文档条目）
[写入] SetupSetPlatformPathOverrideA（5 条文档条目）
