从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：243 个
[跳过] SHGetPropertyStoreFromIDList：Learn 索引中未找到
[跳过] SHGetPropertyStoreFromParsingName：Learn 索引中未找到
[跳过] SHAddDefaultPropertiesByExt：Learn 索引中未找到
[写入] PifMgr_OpenProperties（5 条文档条目）
[写入] PifMgr_GetProperties（5 条文档条目）
[写入] PifMgr_SetProperties（4 条文档条目）
[写入] PifMgr_CloseProperties（4 条文档条目）
[写入] SHPropStgCreate（4 条文档条目）
[写入] SHPropStgReadMultiple（4 条文档条目）
[写入] SHPropStgWriteMultiple（4 条文档条目）
[写入] SHGetPropertyStoreForWindow（5 条文档条目）
[写入] SHSimpleIDListFromPath（5 条文档条目）
[写入] SHCreateItemFromIDList（4 条文档条目）
[写入] SHCreateItemFromParsingName（5 条文档条目）
[写入] SHCreateItemWithParent（4 条文档条目）
[写入] SHCreateItemFromRelativeName（4 条文档条目）
[写入] SHCreateItemInKnownFolder（4 条文档条目）
[写入] SHGetIDListFromObject（4 条文档条目）
[写入] SHGetItemFromObject（5 条文档条目）
[写入] SHGetNameFromIDList（5 条文档条目）
[写入] SHGetItemFromDataObject（5 条文档条目）
[写入] SHCreateShellItemArray（4 条文档条目）
[写入] SHCreateShellItemArrayFromDataObject（5 条文档条目）
[写入] SHCreateShellItemArrayFromIDLists（4 条文档条目）
[写入] SHCreateShellItemArrayFromShellItem（5 条文档条目）
[写入] SHCreateAssociationRegistration（4 条文档条目）
[写入] SHCreateDefaultExtractIcon（5 条文档条目）
[写入] SetCurrentProcessExplicitAppUserModelID（5 条文档条目）
[写入] GetCurrentProcessExplicitAppUserModelID（5 条文档条目）
[写入] SHGetTemporaryPropertyForItem（4 条文档条目）
[写入] SHSetTemporaryPropertyForItem（5 条文档条目）
[写入] SHShowManageLibraryUI（4 条文档条目）
[写入] SHResolveLibrary（5 条文档条目）
[写入] SHAssocEnumHandlers（4 条文档条目）
[写入] SHAssocEnumHandlersForProtocolByApplication（5 条文档条目）
[写入] SHCreateDefaultPropertiesOp（5 条文档条目）
[写入] SHSetDefaultProperties（5 条文档条目）
[写入] SHGetMalloc（5 条文档条目）
[写入] SHAlloc（5 条文档条目）
[写入] SHFree（4 条文档条目）
[写入] SHGetIconOverlayIndexA（5 条文档条目）
[写入] SHGetIconOverlayIndexW（5 条文档条目）
[写入] ILClone（5 条文档条目）
[写入] ILCloneFirst（4 条文档条目）
[写入] ILCombine（4 条文档条目）
[写入] ILFree（5 条文档条目）
[写入] ILGetNext（4 条文档条目）
[写入] ILGetSize（4 条文档条目）
[写入] ILFindChild（4 条文档条目）
[写入] ILFindLastID（5 条文档条目）
[写入] ILRemoveLastID（4 条文档条目）
[写入] ILIsEqual（5 条文档条目）
[写入] ILIsParent（4 条文档条目）
[写入] ILSaveToStream（5 条文档条目）
[写入] ILLoadFromStreamEx（5 条文档条目）
[写入] ILCreateFromPathA（5 条文档条目）
[写入] ILCreateFromPathW（5 条文档条目）
[写入] SHILCreateFromPath（4 条文档条目）
[写入] ILAppendID（4 条文档条目）
[写入] SHGetPathFromIDListEx（5 条文档条目）
[写入] SHGetPathFromIDListA（5 条文档条目）
[写入] SHGetPathFromIDListW（5 条文档条目）
[写入] SHCreateDirectory（5 条文档条目）
[写入] SHCreateDirectoryExA（5 条文档条目）
[写入] SHCreateDirectoryExW（5 条文档条目）
[写入] SHOpenFolderAndSelectItems（5 条文档条目）
[写入] SHCreateShellItem（5 条文档条目）
[写入] SHGetSpecialFolderLocation（4 条文档条目）
[写入] SHCloneSpecialIDList（5 条文档条目）
[写入] SHGetSpecialFolderPathA（5 条文档条目）
[写入] SHGetSpecialFolderPathW（5 条文档条目）
[写入] SHFlushSFCache（4 条文档条目）
[写入] SHGetFolderPathA（6 条文档条目）
[写入] SHGetFolderPathW（6 条文档条目）
[写入] SHGetFolderLocation（5 条文档条目）
[写入] SHSetFolderPathA（5 条文档条目）
[写入] SHSetFolderPathW（5 条文档条目）
[写入] SHGetFolderPathAndSubDirA（5 条文档条目）
[写入] SHGetFolderPathAndSubDirW（5 条文档条目）
[写入] SHGetKnownFolderIDList（5 条文档条目）
[写入] SHSetKnownFolderPath（5 条文档条目）
[写入] SHGetKnownFolderPath（5 条文档条目）
[写入] SHGetKnownFolderItem（5 条文档条目）
[写入] SHGetSetFolderCustomSettings（5 条文档条目）
[写入] SHBrowseForFolderA（5 条文档条目）
[写入] SHBrowseForFolderW（5 条文档条目）
[写入] SHLoadInProc（5 条文档条目）
[写入] SHGetDesktopFolder（4 条文档条目）
[写入] SHChangeNotify（5 条文档条目）
[写入] SHAddToRecentDocs（5 条文档条目）
[写入] SHHandleUpdateImage（6 条文档条目）
[写入] SHUpdateImageA（5 条文档条目）
[写入] SHUpdateImageW（5 条文档条目）
