从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：360 个
[写入] ShellMessageBoxA（5 条文档条目）
[写入] ShellMessageBoxW（5 条文档条目）
[写入] StrChrA（5 条文档条目）
[写入] StrChrW（5 条文档条目）
[写入] StrChrIA（5 条文档条目）
[写入] StrChrIW（5 条文档条目）
[写入] StrChrNW（5 条文档条目）
[写入] StrChrNIW（5 条文档条目）
[写入] StrCmpNA（5 条文档条目）
[写入] StrCmpNW（5 条文档条目）
[写入] StrCmpNIA（5 条文档条目）
[写入] StrCmpNIW（5 条文档条目）
[写入] StrCSpnA（5 条文档条目）
[写入] StrCSpnW（5 条文档条目）
[写入] StrCSpnIA（5 条文档条目）
[写入] StrCSpnIW（5 条文档条目）
[写入] StrDupA（6 条文档条目）
[写入] StrDupW（6 条文档条目）
[写入] StrFormatByteSizeEx（5 条文档条目）
[写入] StrFormatByteSizeA（5 条文档条目）
[写入] StrFormatByteSize64A（5 条文档条目）
[写入] StrFormatByteSizeW（5 条文档条目）
[写入] StrFormatKBSizeW（5 条文档条目）
[写入] StrFormatKBSizeA（5 条文档条目）
[写入] StrFromTimeIntervalA（6 条文档条目）
[写入] StrFromTimeIntervalW（6 条文档条目）
[写入] StrIsIntlEqualA（5 条文档条目）
[写入] StrIsIntlEqualW（5 条文档条目）
[写入] StrNCatA（5 条文档条目）
[写入] StrNCatW（5 条文档条目）
[写入] StrPBrkA（5 条文档条目）
[写入] StrPBrkW（5 条文档条目）
[写入] StrRChrA（5 条文档条目）
[写入] StrRChrW（5 条文档条目）
[写入] StrRChrIA（5 条文档条目）
[写入] StrRChrIW（5 条文档条目）
[写入] StrRStrIA（5 条文档条目）
[写入] StrRStrIW（5 条文档条目）
[写入] StrSpnA（5 条文档条目）
[写入] StrSpnW（5 条文档条目）
[写入] StrStrA（5 条文档条目）
[写入] StrStrW（5 条文档条目）
[写入] StrStrIA（5 条文档条目）
[写入] StrStrIW（5 条文档条目）
[写入] StrStrNW（4 条文档条目）
[写入] StrStrNIW（4 条文档条目）
[写入] StrToIntA（5 条文档条目）
[写入] StrToIntW（5 条文档条目）
[写入] StrToIntExA（5 条文档条目）
[写入] StrToIntExW（5 条文档条目）
[写入] StrToInt64ExA（5 条文档条目）
[写入] StrToInt64ExW（5 条文档条目）
[写入] StrTrimA（5 条文档条目）
[写入] StrTrimW（5 条文档条目）
[写入] StrCatW（5 条文档条目）
[写入] StrCmpW（4 条文档条目）
[写入] StrCmpIW（4 条文档条目）
[写入] StrCpyW（5 条文档条目）
[写入] StrCpyNW（5 条文档条目）
[写入] StrCatBuffW（5 条文档条目）
[写入] StrCatBuffA（5 条文档条目）
[写入] ChrCmpIA（5 条文档条目）
[写入] ChrCmpIW（5 条文档条目）
[写入] wvnsprintfA（5 条文档条目）
[写入] wvnsprintfW（5 条文档条目）
[写入] wnsprintfA（5 条文档条目）
[写入] wnsprintfW（5 条文档条目）
[写入] StrRetToStrA（5 条文档条目）
[写入] StrRetToStrW（5 条文档条目）
[写入] StrRetToBufA（5 条文档条目）
[写入] StrRetToBufW（5 条文档条目）
[写入] SHStrDupA（5 条文档条目）
[写入] SHStrDupW（5 条文档条目）
[写入] StrCmpLogicalW（5 条文档条目）
[写入] StrCatChainW（5 条文档条目）
[写入] StrRetToBSTR（5 条文档条目）
[写入] SHLoadIndirectString（5 条文档条目）
[写入] IsCharSpaceA（5 条文档条目）
[写入] IsCharSpaceW（5 条文档条目）
[写入] StrCmpCA（5 条文档条目）
[写入] StrCmpCW（5 条文档条目）
[写入] StrCmpICA（5 条文档条目）
[写入] StrCmpICW（5 条文档条目）
[写入] StrCmpNCA（5 条文档条目）
[写入] StrCmpNCW（5 条文档条目）
[写入] StrCmpNICA（5 条文档条目）
[写入] StrCmpNICW（5 条文档条目）
[写入] IntlStrEqWorkerA（5 条文档条目）
[写入] IntlStrEqWorkerW（5 条文档条目）
[写入] PathAddBackslashA（5 条文档条目）
[写入] PathAddBackslashW（5 条文档条目）
[写入] PathAddExtensionA（6 条文档条目）
[写入] PathAddExtensionW（6 条文档条目）
[写入] PathAppendA（6 条文档条目）
[写入] PathAppendW（6 条文档条目）
[写入] PathBuildRootA（5 条文档条目）
[写入] PathBuildRootW（5 条文档条目）
[写入] PathCanonicalizeA（6 条文档条目）
[写入] PathCanonicalizeW（6 条文档条目）
[写入] PathCombineA（6 条文档条目）
[写入] PathCombineW（6 条文档条目）
[写入] PathCompactPathA（6 条文档条目）
[写入] PathCompactPathW（6 条文档条目）
[写入] PathCompactPathExA（5 条文档条目）
[写入] PathCompactPathExW（5 条文档条目）
[写入] PathCommonPrefixA（5 条文档条目）
[写入] PathCommonPrefixW（5 条文档条目）
[写入] PathFileExistsA（6 条文档条目）
[写入] PathFileExistsW（6 条文档条目）
[写入] PathFindExtensionA（5 条文档条目）
[写入] PathFindExtensionW（5 条文档条目）
[写入] PathFindFileNameA（5 条文档条目）
[写入] PathFindFileNameW（5 条文档条目）
[写入] PathFindNextComponentA（6 条文档条目）
[写入] PathFindNextComponentW（6 条文档条目）
[写入] PathFindOnPathA（5 条文档条目）
[写入] PathFindOnPathW（5 条文档条目）
[写入] PathFindSuffixArrayA（5 条文档条目）
[写入] PathFindSuffixArrayW（5 条文档条目）
