从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：32 个
[写入] SLOpen（4 条文档条目）
[写入] SLClose（4 条文档条目）
[写入] SLInstallProofOfPurchase（4 条文档条目）
[写入] SLUninstallProofOfPurchase（4 条文档条目）
[写入] SLInstallLicense（4 条文档条目）
[写入] SLUninstallLicense（4 条文档条目）
[写入] SLConsumeRight（4 条文档条目）
[写入] SLGetProductSkuInformation（4 条文档条目）
[写入] SLGetPKeyInformation（4 条文档条目）
[写入] SLGetLicenseInformation（4 条文档条目）
[写入] SLGetLicensingStatusInformation（4 条文档条目）
[写入] SLGetPolicyInformation（4 条文档条目）
[写入] SLGetPolicyInformationDWORD（4 条文档条目）
[写入] SLGetServiceInformation（4 条文档条目）
[写入] SLGetApplicationInformation（4 条文档条目）
[写入] SLGenerateOfflineInstallationId（4 条文档条目）
[写入] SLGenerateOfflineInstallationIdEx（4 条文档条目）
[写入] SLDepositOfflineConfirmationId（4 条文档条目）
[写入] SLDepositOfflineConfirmationIdEx（4 条文档条目）
[写入] SLGetPKeyId（4 条文档条目）
[写入] SLGetInstalledProductKeyIds（4 条文档条目）
[写入] SLSetCurrentProductKey（4 条文档条目）
[写入] SLGetSLIDList（5 条文档条目）
[写入] SLGetLicenseFileId（4 条文档条目）
[写入] SLGetLicense（4 条文档条目）
[写入] SLFireEvent（4 条文档条目）
[写入] SLRegisterEvent（4 条文档条目）
[写入] SLUnregisterEvent（4 条文档条目）
[写入] SLGetWindowsInformation（4 条文档条目）
[写入] SLGetWindowsInformationDWORD（4 条文档条目）
[写入] SLSetGenuineInformation（4 条文档条目）
[写入] SLGetGenuineInformation（4 条文档条目）

完成：处理 32，跳过(已存在) 0，索引缺失 0，失败 0
