从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：249 个
[跳过] lineAccept：Learn 索引中未找到
[跳过] lineAddProvider：Learn 索引中未找到
[跳过] lineAddProviderA：Learn 索引中未找到
[跳过] lineAddProviderW：Learn 索引中未找到
[跳过] lineAddToConference：Learn 索引中未找到
[跳过] lineAgentSpecific：Learn 索引中未找到
[跳过] lineAnswer：Learn 索引中未找到
[跳过] lineBlindTransfer：Learn 索引中未找到
[跳过] lineBlindTransferA：Learn 索引中未找到
[跳过] lineBlindTransferW：Learn 索引中未找到
[跳过] lineClose：Learn 索引中未找到
[跳过] lineCompleteCall：Learn 索引中未找到
[跳过] lineCompleteTransfer：Learn 索引中未找到
[跳过] lineConfigDialog：Learn 索引中未找到
[跳过] lineConfigDialogA：Learn 索引中未找到
[跳过] lineConfigDialogW：Learn 索引中未找到
[跳过] lineConfigDialogEdit：Learn 索引中未找到
[跳过] lineConfigDialogEditA：Learn 索引中未找到
[跳过] lineConfigDialogEditW：Learn 索引中未找到
[跳过] lineConfigProvider：Learn 索引中未找到
[跳过] lineCreateAgentW：Learn 索引中未找到
[跳过] lineCreateAgentA：Learn 索引中未找到
[跳过] lineCreateAgentSessionW：Learn 索引中未找到
[跳过] lineCreateAgentSessionA：Learn 索引中未找到
[跳过] lineDeallocateCall：Learn 索引中未找到
[跳过] lineDevSpecific：Learn 索引中未找到
[跳过] lineDevSpecificFeature：Learn 索引中未找到
[跳过] lineDial：Learn 索引中未找到
[跳过] lineDialA：Learn 索引中未找到
[跳过] lineDialW：Learn 索引中未找到
[跳过] lineDrop：Learn 索引中未找到
[跳过] lineForward：Learn 索引中未找到
[跳过] lineForwardA：Learn 索引中未找到
[跳过] lineForwardW：Learn 索引中未找到
[跳过] lineGatherDigits：Learn 索引中未找到
[跳过] lineGatherDigitsA：Learn 索引中未找到
[跳过] lineGatherDigitsW：Learn 索引中未找到
[跳过] lineGenerateDigits：Learn 索引中未找到
[跳过] lineGenerateDigitsA：Learn 索引中未找到
[跳过] lineGenerateDigitsW：Learn 索引中未找到
[跳过] lineGenerateTone：Learn 索引中未找到
[跳过] lineGetAddressCaps：Learn 索引中未找到
[跳过] lineGetAddressCapsA：Learn 索引中未找到
[跳过] lineGetAddressCapsW：Learn 索引中未找到
[跳过] lineGetAddressID：Learn 索引中未找到
[跳过] lineGetAddressIDA：Learn 索引中未找到
[跳过] lineGetAddressIDW：Learn 索引中未找到
[跳过] lineGetAddressStatus：Learn 索引中未找到
[跳过] lineGetAddressStatusA：Learn 索引中未找到
[跳过] lineGetAddressStatusW：Learn 索引中未找到
[跳过] lineGetAgentActivityListA：Learn 索引中未找到
[跳过] lineGetAgentActivityListW：Learn 索引中未找到
[跳过] lineGetAgentCapsA：Learn 索引中未找到
[跳过] lineGetAgentCapsW：Learn 索引中未找到
[跳过] lineGetAgentGroupListA：Learn 索引中未找到
[跳过] lineGetAgentGroupListW：Learn 索引中未找到
[跳过] lineGetAgentInfo：Learn 索引中未找到
[跳过] lineGetAgentSessionInfo：Learn 索引中未找到
[跳过] lineGetAgentSessionList：Learn 索引中未找到
[跳过] lineGetAgentStatusA：Learn 索引中未找到
[跳过] lineGetAgentStatusW：Learn 索引中未找到
[跳过] lineGetAppPriority：Learn 索引中未找到
[跳过] lineGetAppPriorityA：Learn 索引中未找到
[跳过] lineGetAppPriorityW：Learn 索引中未找到
[跳过] lineGetCallInfo：Learn 索引中未找到
[跳过] lineGetCallInfoA：Learn 索引中未找到
[跳过] lineGetCallInfoW：Learn 索引中未找到
[跳过] lineGetCallStatus：Learn 索引中未找到
[跳过] lineGetConfRelatedCalls：Learn 索引中未找到
[跳过] lineGetCountry：Learn 索引中未找到
[跳过] lineGetCountryA：Learn 索引中未找到
[跳过] lineGetCountryW：Learn 索引中未找到
[跳过] lineGetDevCaps：Learn 索引中未找到
[跳过] lineGetDevCapsA：Learn 索引中未找到
[跳过] lineGetDevCapsW：Learn 索引中未找到
[跳过] lineGetDevConfig：Learn 索引中未找到
[跳过] lineGetDevConfigA：Learn 索引中未找到
[跳过] lineGetDevConfigW：Learn 索引中未找到
[跳过] lineGetGroupListA：Learn 索引中未找到
[跳过] lineGetGroupListW：Learn 索引中未找到
[跳过] lineGetIcon：Learn 索引中未找到
[跳过] lineGetIconA：Learn 索引中未找到
[跳过] lineGetIconW：Learn 索引中未找到
[跳过] lineGetID：Learn 索引中未找到
[跳过] lineGetIDA：Learn 索引中未找到
[跳过] lineGetIDW：Learn 索引中未找到
[跳过] lineGetLineDevStatus：Learn 索引中未找到
[跳过] lineGetLineDevStatusA：Learn 索引中未找到
[跳过] lineGetLineDevStatusW：Learn 索引中未找到
[跳过] lineGetMessage：Learn 索引中未找到
[跳过] lineGetNewCalls：Learn 索引中未找到
[跳过] lineGetNumRings：Learn 索引中未找到
[跳过] lineGetProviderList：Learn 索引中未找到
[跳过] lineGetProviderListA：Learn 索引中未找到
[跳过] lineGetProviderListW：Learn 索引中未找到
[跳过] lineGetProxyStatus：Learn 索引中未找到
[跳过] lineGetQueueInfo：Learn 索引中未找到
[跳过] lineGetQueueListA：Learn 索引中未找到
[跳过] lineGetQueueListW：Learn 索引中未找到
[跳过] lineGetRequest：Learn 索引中未找到
[跳过] lineGetRequestA：Learn 索引中未找到
[跳过] lineGetRequestW：Learn 索引中未找到
