从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：98 个
[写入] UiaGetErrorDescription（4 条文档条目）
[写入] UiaHUiaNodeFromVariant（4 条文档条目）
[写入] UiaHPatternObjectFromVariant（4 条文档条目）
[写入] UiaHTextRangeFromVariant（4 条文档条目）
[写入] UiaNodeRelease（4 条文档条目）
[写入] UiaGetPropertyValue（4 条文档条目）
[写入] UiaGetPatternProvider（4 条文档条目）
[写入] UiaGetRuntimeId（5 条文档条目）
[写入] UiaSetFocus（4 条文档条目）
[写入] UiaNavigate（5 条文档条目）
[写入] UiaGetUpdatedCache（5 条文档条目）
[写入] UiaFind（5 条文档条目）
[写入] UiaNodeFromPoint（5 条文档条目）
[写入] UiaNodeFromFocus（5 条文档条目）
[写入] UiaNodeFromHandle（4 条文档条目）
[写入] UiaNodeFromProvider（4 条文档条目）
[写入] UiaGetRootNode（4 条文档条目）
[写入] UiaRegisterProviderCallback（4 条文档条目）
[写入] UiaLookupId（4 条文档条目）
[写入] UiaGetReservedNotSupportedValue（4 条文档条目）
[写入] UiaGetReservedMixedAttributeValue（4 条文档条目）
[写入] UiaClientsAreListening（3 条文档条目）
[写入] UiaRaiseAutomationPropertyChangedEvent（4 条文档条目）
[写入] UiaRaiseAutomationEvent（5 条文档条目）
[写入] UiaRaiseStructureChangedEvent（5 条文档条目）
[写入] UiaRaiseAsyncContentLoadedEvent（4 条文档条目）
[写入] UiaRaiseTextEditTextChangedEvent（5 条文档条目）
[写入] UiaRaiseChangesEvent（4 条文档条目）
[写入] UiaRaiseNotificationEvent（5 条文档条目）
[写入] UiaRaiseActiveTextPositionChangedEvent（4 条文档条目）
[写入] UiaAddEvent（4 条文档条目）
[写入] UiaRemoveEvent（5 条文档条目）
[写入] UiaEventAddWindow（4 条文档条目）
[写入] UiaEventRemoveWindow（4 条文档条目）
[写入] DockPattern_SetDockPosition（4 条文档条目）
[写入] ExpandCollapsePattern_Collapse（4 条文档条目）
[写入] ExpandCollapsePattern_Expand（4 条文档条目）
[写入] GridPattern_GetItem（5 条文档条目）
[写入] InvokePattern_Invoke（4 条文档条目）
[写入] MultipleViewPattern_GetViewName（4 条文档条目）
[写入] MultipleViewPattern_SetCurrentView（4 条文档条目）
[写入] RangeValuePattern_SetValue（4 条文档条目）
[写入] ScrollItemPattern_ScrollIntoView（5 条文档条目）
[写入] ScrollPattern_Scroll（4 条文档条目）
[写入] ScrollPattern_SetScrollPercent（5 条文档条目）
[写入] SelectionItemPattern_AddToSelection（5 条文档条目）
[写入] SelectionItemPattern_RemoveFromSelection（5 条文档条目）
[写入] SelectionItemPattern_Select（5 条文档条目）
[写入] TogglePattern_Toggle（4 条文档条目）
[写入] TransformPattern_Move（4 条文档条目）
[写入] TransformPattern_Resize（4 条文档条目）
[写入] TransformPattern_Rotate（4 条文档条目）
[写入] ValuePattern_SetValue（4 条文档条目）
[写入] WindowPattern_Close（4 条文档条目）
[写入] WindowPattern_SetWindowVisualState（4 条文档条目）
[写入] WindowPattern_WaitForInputIdle（5 条文档条目）
[写入] TextPattern_GetSelection（4 条文档条目）
[写入] TextPattern_GetVisibleRanges（4 条文档条目）
[写入] TextPattern_RangeFromChild（5 条文档条目）
[写入] TextPattern_RangeFromPoint（5 条文档条目）
[写入] TextPattern_get_DocumentRange（4 条文档条目）
[写入] TextPattern_get_SupportedTextSelection（4 条文档条目）
[写入] TextRange_Clone（5 条文档条目）
[写入] TextRange_Compare（4 条文档条目）
[写入] TextRange_CompareEndpoints（5 条文档条目）
[写入] TextRange_ExpandToEnclosingUnit（5 条文档条目）
[写入] TextRange_GetAttributeValue（4 条文档条目）
[写入] TextRange_FindAttribute（4 条文档条目）
[写入] TextRange_FindText（4 条文档条目）
[写入] TextRange_GetBoundingRectangles（4 条文档条目）
[写入] TextRange_GetEnclosingElement（5 条文档条目）
[写入] TextRange_GetText（5 条文档条目）
[写入] TextRange_Move（4 条文档条目）
[写入] TextRange_MoveEndpointByUnit（4 条文档条目）
[写入] TextRange_MoveEndpointByRange（4 条文档条目）
[写入] TextRange_Select（4 条文档条目）
[写入] TextRange_AddToSelection（4 条文档条目）
[写入] TextRange_RemoveFromSelection（5 条文档条目）
[写入] TextRange_ScrollIntoView（4 条文档条目）
[写入] TextRange_GetChildren（4 条文档条目）
[写入] ItemContainerPattern_FindItemByProperty（4 条文档条目）
[写入] LegacyIAccessiblePattern_Select（4 条文档条目）
[写入] LegacyIAccessiblePattern_DoDefaultAction（4 条文档条目）
[写入] LegacyIAccessiblePattern_SetValue（4 条文档条目）
[写入] LegacyIAccessiblePattern_GetIAccessible（4 条文档条目）
[写入] SynchronizedInputPattern_StartListening（4 条文档条目）
[写入] SynchronizedInputPattern_Cancel（4 条文档条目）
[写入] VirtualizedItemPattern_Realize（4 条文档条目）
[写入] UiaPatternRelease（4 条文档条目）
[写入] UiaTextRangeRelease（4 条文档条目）
[写入] UiaReturnRawElementProvider（5 条文档条目）
[写入] UiaHostProviderFromHwnd（6 条文档条目）
[写入] UiaProviderForNonClient（5 条文档条目）
[写入] UiaIAccessibleFromProvider（5 条文档条目）
[写入] UiaProviderFromIAccessible（5 条文档条目）
[写入] UiaDisconnectAllProviders（4 条文档条目）
[写入] UiaDisconnectProvider（5 条文档条目）
[写入] UiaHasServerSideProvider（4 条文档条目）

完成：处理 98，跳过(已存在) 0，索引缺失 0，失败 0
