从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：77 个
[跳过] CreateURLMoniker：Learn 索引中未找到
[跳过] CreateURLMonikerEx：Learn 索引中未找到
[跳过] GetClassURL：Learn 索引中未找到
[跳过] CreateURLMonikerEx2：Learn 索引中未找到
[跳过] CreateAsyncBindCtxEx：Learn 索引中未找到
[跳过] MkParseDisplayNameEx：Learn 索引中未找到
[跳过] RegisterBindStatusCallback：Learn 索引中未找到
[跳过] RevokeBindStatusCallback：Learn 索引中未找到
[跳过] GetClassFileOrMime：Learn 索引中未找到
[跳过] IsValidURL：Learn 索引中未找到
[跳过] CoGetClassObjectFromURL：Learn 索引中未找到
[跳过] IEInstallScope：Learn 索引中未找到
[跳过] FaultInIEFeature：Learn 索引中未找到
[跳过] GetComponentIDFromCLSSPEC：Learn 索引中未找到
[跳过] IsAsyncMoniker：Learn 索引中未找到
[跳过] RegisterMediaTypes：Learn 索引中未找到
[跳过] FindMediaType：Learn 索引中未找到
[跳过] RegisterFormatEnumerator：Learn 索引中未找到
[跳过] RevokeFormatEnumerator：Learn 索引中未找到
[跳过] RegisterMediaTypeClass：Learn 索引中未找到
[跳过] FindMediaTypeClass：Learn 索引中未找到
[跳过] UrlMkSetSessionOption：Learn 索引中未找到
[跳过] UrlMkGetSessionOption：Learn 索引中未找到
[跳过] FindMimeFromData：Learn 索引中未找到
[跳过] ObtainUserAgentString：Learn 索引中未找到
[跳过] CompareSecurityIds：Learn 索引中未找到
[跳过] CompatFlagsFromClsid：Learn 索引中未找到
[跳过] SetAccessForIEAppContainer：Learn 索引中未找到
[跳过] HlinkSimpleNavigateToString：Learn 索引中未找到
[跳过] HlinkSimpleNavigateToMoniker：Learn 索引中未找到
[跳过] URLOpenStreamA：Learn 索引中未找到
[跳过] URLOpenStreamW：Learn 索引中未找到
[跳过] URLOpenPullStreamA：Learn 索引中未找到
[跳过] URLOpenPullStreamW：Learn 索引中未找到
[跳过] URLDownloadToFileA：Learn 索引中未找到
[跳过] URLDownloadToFileW：Learn 索引中未找到
[跳过] URLDownloadToCacheFileA：Learn 索引中未找到
[跳过] URLDownloadToCacheFileW：Learn 索引中未找到
[跳过] URLOpenBlockingStreamA：Learn 索引中未找到
[跳过] URLOpenBlockingStreamW：Learn 索引中未找到
[跳过] HlinkGoBack：Learn 索引中未找到
[跳过] HlinkGoForward：Learn 索引中未找到
[跳过] HlinkNavigateString：Learn 索引中未找到
[跳过] HlinkNavigateMoniker：Learn 索引中未找到
[跳过] CoInternetParseUrl：Learn 索引中未找到
[跳过] CoInternetParseIUri：Learn 索引中未找到
[跳过] CoInternetCombineUrl：Learn 索引中未找到
[跳过] CoInternetCombineUrlEx：Learn 索引中未找到
[跳过] CoInternetCombineIUri：Learn 索引中未找到
[跳过] CoInternetCompareUrl：Learn 索引中未找到
[跳过] CoInternetGetProtocolFlags：Learn 索引中未找到
[跳过] CoInternetQueryInfo：Learn 索引中未找到
[跳过] CoInternetGetSession：Learn 索引中未找到
[跳过] CoInternetGetSecurityUrl：Learn 索引中未找到
[跳过] CoInternetGetSecurityUrlEx：Learn 索引中未找到
[跳过] CoInternetSetFeatureEnabled：Learn 索引中未找到
[跳过] CoInternetIsFeatureEnabled：Learn 索引中未找到
[跳过] CoInternetIsFeatureEnabledForUrl：Learn 索引中未找到
[跳过] CoInternetIsFeatureEnabledForIUri：Learn 索引中未找到
[跳过] CoInternetIsFeatureZoneElevationEnabled：Learn 索引中未找到
[跳过] CopyStgMedium：Learn 索引中未找到
[跳过] CopyBindInfo：Learn 索引中未找到
[跳过] ReleaseBindInfo：Learn 索引中未找到
[跳过] IEGetUserPrivateNamespaceName：Learn 索引中未找到
[跳过] CoInternetCreateSecurityManager：Learn 索引中未找到
[跳过] CoInternetCreateZoneManager：Learn 索引中未找到
[跳过] GetSoftwareUpdateInfo：Learn 索引中未找到
[跳过] SetSoftwareUpdateAdvertisementState：Learn 索引中未找到
[跳过] IsLoggingEnabledA：Learn 索引中未找到
[跳过] IsLoggingEnabledW：Learn 索引中未找到
[跳过] WriteHitLogging：Learn 索引中未找到
[跳过] CreateUri：Learn 索引中未找到
[跳过] CreateUriWithFragment：Learn 索引中未找到
[跳过] CreateUriFromMultiByteString：Learn 索引中未找到
[跳过] CreateIUriBuilder：Learn 索引中未找到

完成：处理 0，跳过(已存在) 2，索引缺失 75，失败 0
