从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：757 个
[写入] GetDisplayConfigBufferSizes（5 条文档条目）
[写入] SetDisplayConfig（5 条文档条目）
[写入] QueryDisplayConfig（6 条文档条目）
[写入] DisplayConfigGetDeviceInfo（5 条文档条目）
[写入] DisplayConfigSetDeviceInfo（5 条文档条目）
[写入] GetAutoRotationState（4 条文档条目）
[写入] GetDisplayAutoRotationPreferences（4 条文档条目）
[写入] SetDisplayAutoRotationPreferences（4 条文档条目）
[写入] SetLastErrorEx（5 条文档条目）
[写入] DrawEdge（4 条文档条目）
[写入] DrawFrameControl（5 条文档条目）
[写入] DrawCaption（4 条文档条目）
[写入] DrawAnimatedRects（4 条文档条目）
[写入] DrawTextA（5 条文档条目）
[写入] DrawTextW（5 条文档条目）
[写入] DrawTextExA（5 条文档条目）
[写入] DrawTextExW（5 条文档条目）
[写入] GrayStringA（5 条文档条目）
[写入] GrayStringW（5 条文档条目）
[写入] DrawStateA（5 条文档条目）
[写入] DrawStateW（5 条文档条目）
[写入] TabbedTextOutA（5 条文档条目）
[写入] TabbedTextOutW（5 条文档条目）
[写入] GetTabbedTextExtentA（5 条文档条目）
[写入] GetTabbedTextExtentW（5 条文档条目）
[写入] UpdateWindow（3 条文档条目）
[写入] PaintDesktop（4 条文档条目）
[写入] WindowFromDC（4 条文档条目）
[写入] GetDC（5 条文档条目）
[写入] GetDCEx（5 条文档条目）
[写入] GetWindowDC（5 条文档条目）
[写入] ReleaseDC（5 条文档条目）
[写入] BeginPaint（5 条文档条目）
[写入] EndPaint（5 条文档条目）
[写入] GetUpdateRect（5 条文档条目）
[写入] GetUpdateRgn（5 条文档条目）
[写入] SetWindowRgn（5 条文档条目）
[写入] GetWindowRgn（6 条文档条目）
[写入] GetWindowRgnBox（5 条文档条目）
[写入] ExcludeUpdateRgn（4 条文档条目）
[写入] InvalidateRect（5 条文档条目）
[写入] ValidateRect（5 条文档条目）
[写入] InvalidateRgn（5 条文档条目）
[写入] ValidateRgn（5 条文档条目）
[写入] RedrawWindow（5 条文档条目）
[写入] LockWindowUpdate（5 条文档条目）
[写入] ClientToScreen（5 条文档条目）
[写入] ScreenToClient（5 条文档条目）
[写入] MapWindowPoints（5 条文档条目）
[写入] GetSysColorBrush（5 条文档条目）
[写入] DrawFocusRect（5 条文档条目）
[写入] FillRect（5 条文档条目）
[写入] FrameRect（5 条文档条目）
[写入] InvertRect（5 条文档条目）
[写入] SetRect（5 条文档条目）
[写入] SetRectEmpty（5 条文档条目）
[写入] CopyRect（5 条文档条目）
[写入] InflateRect（5 条文档条目）
[写入] IntersectRect（5 条文档条目）
[写入] UnionRect（5 条文档条目）
[写入] SubtractRect（5 条文档条目）
[写入] OffsetRect（5 条文档条目）
[写入] IsRectEmpty（5 条文档条目）
[写入] EqualRect（5 条文档条目）
[写入] PtInRect（5 条文档条目）
[写入] LoadBitmapA（5 条文档条目）
[写入] LoadBitmapW（5 条文档条目）
[写入] ChangeDisplaySettingsA（5 条文档条目）
[写入] ChangeDisplaySettingsW（5 条文档条目）
[写入] ChangeDisplaySettingsExA（5 条文档条目）
[写入] ChangeDisplaySettingsExW（5 条文档条目）
[写入] EnumDisplaySettingsA（5 条文档条目）
[写入] EnumDisplaySettingsW（5 条文档条目）
[写入] EnumDisplaySettingsExA（5 条文档条目）
[写入] EnumDisplaySettingsExW（5 条文档条目）
[写入] EnumDisplayDevicesA（5 条文档条目）
[写入] EnumDisplayDevicesW（5 条文档条目）
[写入] MonitorFromPoint（4 条文档条目）
[写入] MonitorFromRect（4 条文档条目）
[写入] MonitorFromWindow（5 条文档条目）
[写入] GetMonitorInfoA（5 条文档条目）
[写入] GetMonitorInfoW（5 条文档条目）
[写入] EnumDisplayMonitors（9 条文档条目）
[写入] SetUserObjectSecurity（5 条文档条目）
[写入] GetUserObjectSecurity（5 条文档条目）
[写入] PrintWindow（5 条文档条目）
[写入] DdeSetQualityOfService（5 条文档条目）
[写入] ImpersonateDdeClientWindow（5 条文档条目）
[写入] PackDDElParam（5 条文档条目）
[写入] UnpackDDElParam（5 条文档条目）
[写入] FreeDDElParam（5 条文档条目）
[写入] ReuseDDElParam（5 条文档条目）
[写入] DdeInitializeA（5 条文档条目）
[写入] DdeInitializeW（5 条文档条目）
[写入] DdeUninitialize（5 条文档条目）
[写入] DdeConnectList（5 条文档条目）
[写入] DdeQueryNextServer（4 条文档条目）
[写入] DdeDisconnectList（5 条文档条目）
[写入] DdeConnect（5 条文档条目）
[写入] DdeDisconnect（5 条文档条目）
[写入] DdeReconnect（4 条文档条目）
[写入] DdeQueryConvInfo（5 条文档条目）
[写入] DdeSetUserHandle（4 条文档条目）
[写入] DdeAbandonTransaction（5 条文档条目）
[写入] DdePostAdvise（5 条文档条目）
[写入] DdeEnableCallback（5 条文档条目）
[写入] DdeImpersonateClient（5 条文档条目）
[写入] DdeNameService（5 条文档条目）
[写入] DdeClientTransaction（5 条文档条目）
[写入] DdeCreateDataHandle（5 条文档条目）
