从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：77 个
[写入] BeginPanningFeedback（5 条文档条目）
[写入] UpdatePanningFeedback（5 条文档条目）
[写入] EndPanningFeedback（5 条文档条目）
[写入] GetThemeAnimationProperty（4 条文档条目）
[写入] GetThemeAnimationTransform（4 条文档条目）
[写入] GetThemeTimingFunction（4 条文档条目）
[写入] OpenThemeData（5 条文档条目）
[写入] OpenThemeDataEx（5 条文档条目）
[写入] CloseThemeData（5 条文档条目）
[写入] DrawThemeBackground（6 条文档条目）
[写入] DrawThemeBackgroundEx（5 条文档条目）
[写入] DrawThemeText（6 条文档条目）
[写入] GetThemeBackgroundContentRect（6 条文档条目）
[写入] GetThemeBackgroundExtent（5 条文档条目）
[写入] GetThemeBackgroundRegion（5 条文档条目）
[写入] GetThemePartSize（4 条文档条目）
[写入] GetThemeTextExtent（4 条文档条目）
[写入] GetThemeTextMetrics（4 条文档条目）
[写入] HitTestThemeBackground（5 条文档条目）
[写入] DrawThemeEdge（4 条文档条目）
[写入] DrawThemeIcon（4 条文档条目）
[写入] IsThemePartDefined（4 条文档条目）
[写入] IsThemeBackgroundPartiallyTransparent（4 条文档条目）
[写入] GetThemeColor（4 条文档条目）
[写入] GetThemeMetric（4 条文档条目）
[写入] GetThemeString（4 条文档条目）
[写入] GetThemeBool（4 条文档条目）
[写入] GetThemeInt（4 条文档条目）
[写入] GetThemeEnumValue（4 条文档条目）
[写入] GetThemePosition（5 条文档条目）
[写入] GetThemeFont（5 条文档条目）
[写入] GetThemeRect（4 条文档条目）
[写入] GetThemeMargins（4 条文档条目）
[写入] GetThemeIntList（4 条文档条目）
[写入] GetThemePropertyOrigin（4 条文档条目）
[写入] SetWindowTheme（6 条文档条目）
[写入] GetThemeFilename（4 条文档条目）
[写入] GetThemeSysColor（5 条文档条目）
[写入] GetThemeSysColorBrush（5 条文档条目）
[写入] GetThemeSysBool（5 条文档条目）
[写入] GetThemeSysSize（5 条文档条目）
[写入] GetThemeSysFont（5 条文档条目）
[写入] GetThemeSysString（5 条文档条目）
[写入] GetThemeSysInt（4 条文档条目）
[写入] IsThemeActive（4 条文档条目）
[写入] IsAppThemed（4 条文档条目）
[写入] GetWindowTheme（5 条文档条目）
[写入] EnableThemeDialogTexture（5 条文档条目）
[写入] IsThemeDialogTextureEnabled（4 条文档条目）
[写入] GetThemeAppProperties（5 条文档条目）
[写入] SetThemeAppProperties（6 条文档条目）
[写入] GetCurrentThemeName（4 条文档条目）
[写入] GetThemeDocumentationProperty（5 条文档条目）
[写入] DrawThemeParentBackground（4 条文档条目）
[写入] EnableTheming（4 条文档条目）
[写入] DrawThemeParentBackgroundEx（4 条文档条目）
[写入] SetWindowThemeAttribute（4 条文档条目）
[写入] DrawThemeTextEx（5 条文档条目）
[写入] GetThemeBitmap（5 条文档条目）
[写入] GetThemeStream（5 条文档条目）
[写入] BufferedPaintInit（4 条文档条目）
[写入] BufferedPaintUnInit（3 条文档条目）
[写入] BeginBufferedPaint（4 条文档条目）
[写入] EndBufferedPaint（4 条文档条目）
[写入] GetBufferedPaintTargetRect（5 条文档条目）
[写入] GetBufferedPaintTargetDC（5 条文档条目）
[写入] GetBufferedPaintDC（4 条文档条目）
[写入] GetBufferedPaintBits（5 条文档条目）
[写入] BufferedPaintClear（5 条文档条目）
[写入] BufferedPaintSetAlpha（5 条文档条目）
[写入] BufferedPaintStopAllAnimations（4 条文档条目）
[写入] BeginBufferedAnimation（7 条文档条目）
[写入] EndBufferedAnimation（4 条文档条目）
[写入] BufferedPaintRenderAnimation（5 条文档条目）
[写入] IsCompositionActive（4 条文档条目）
[写入] GetThemeTransitionDuration（4 条文档条目）
[写入] OpenThemeDataForDpi（5 条文档条目）

完成：处理 77，跳过(已存在) 0，索引缺失 0，失败 0
