从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：296 个
[跳过] FtpGetFileEx：Learn 索引中未找到
[跳过] FtpPutFileEx：Learn 索引中未找到
[跳过] ReadUrlCacheEntryStreamEx：Learn 索引中未找到
[跳过] DeleteWpadCacheForNetworks：Learn 索引中未找到
[跳过] HttpIsHostHstsEnabled：Learn 索引中未找到
[跳过] InternetAlgIdToStringA：Learn 索引中未找到
[跳过] InternetAlgIdToStringW：Learn 索引中未找到
[跳过] InternetSecurityProtocolToStringA：Learn 索引中未找到
[跳过] InternetSecurityProtocolToStringW：Learn 索引中未找到
[跳过] InternetGetSecurityInfoByURLA：Learn 索引中未找到
[跳过] InternetGetSecurityInfoByURLW：Learn 索引中未找到
[跳过] InternetGetSecurityInfoByURL：Learn 索引中未找到
[跳过] ShowSecurityInfo：Learn 索引中未找到
[跳过] ShowX509EncodedCertificate：Learn 索引中未找到
[跳过] ShowClientAuthCerts：Learn 索引中未找到
[跳过] ParseX509EncodedCertificateForListBoxEntry：Learn 索引中未找到
[跳过] InternetShowSecurityInfoByURLA：Learn 索引中未找到
[跳过] InternetShowSecurityInfoByURLW：Learn 索引中未找到
[跳过] InternetShowSecurityInfoByURL：Learn 索引中未找到
[跳过] InternetFortezzaCommand：Learn 索引中未找到
[跳过] InternetQueryFortezzaStatus：Learn 索引中未找到
[跳过] InternetWriteFileExA：Learn 索引中未找到
[跳过] InternetWriteFileExW：Learn 索引中未找到
[跳过] FindP3PPolicySymbol：Learn 索引中未找到
[跳过] HttpGetServerCredentials：Learn 索引中未找到
[跳过] HttpPushEnable：Learn 索引中未找到
[跳过] HttpPushWait：Learn 索引中未找到
[跳过] HttpPushClose：Learn 索引中未找到
[跳过] HttpCheckDavComplianceA：Learn 索引中未找到
[跳过] HttpCheckDavComplianceW：Learn 索引中未找到
[跳过] IsUrlCacheEntryExpiredA：Learn 索引中未找到
[跳过] IsUrlCacheEntryExpiredW：Learn 索引中未找到
[跳过] CreateUrlCacheEntryExW：Learn 索引中未找到
[跳过] GetUrlCacheEntryBinaryBlob：Learn 索引中未找到
[跳过] CommitUrlCacheEntryBinaryBlob：Learn 索引中未找到
[跳过] FindFirstUrlCacheContainerA：Learn 索引中未找到
[跳过] FindFirstUrlCacheContainerW：Learn 索引中未找到
[跳过] FindNextUrlCacheContainerA：Learn 索引中未找到
[跳过] FindNextUrlCacheContainerW：Learn 索引中未找到
[跳过] UrlCacheFreeGlobalSpace：Learn 索引中未找到
[跳过] UrlCacheGetGlobalCacheSize：Learn 索引中未找到
[跳过] SetUrlCacheConfigInfoA：Learn 索引中未找到
[跳过] SetUrlCacheConfigInfoW：Learn 索引中未找到
[跳过] RunOnceUrlCache：Learn 索引中未找到
[跳过] DeleteIE3Cache：Learn 索引中未找到
[跳过] UpdateUrlCacheContentPath：Learn 索引中未找到
[跳过] RegisterUrlCacheNotification：Learn 索引中未找到
[跳过] GetUrlCacheHeaderData：Learn 索引中未找到
[跳过] SetUrlCacheHeaderData：Learn 索引中未找到
[跳过] IncrementUrlCacheHeaderData：Learn 索引中未找到
[跳过] LoadUrlCacheContent：Learn 索引中未找到
[跳过] AppCacheLookup：Learn 索引中未找到
[跳过] AppCacheCheckManifest：Learn 索引中未找到
[跳过] AppCacheGetDownloadList：Learn 索引中未找到
[跳过] AppCacheFreeDownloadList：Learn 索引中未找到
[跳过] AppCacheFinalize：Learn 索引中未找到
[跳过] AppCacheGetFallbackUrl：Learn 索引中未找到
[跳过] AppCacheGetManifestUrl：Learn 索引中未找到
[跳过] AppCacheDuplicateHandle：Learn 索引中未找到
[跳过] AppCacheCloseHandle：Learn 索引中未找到
[跳过] AppCacheFreeGroupList：Learn 索引中未找到
[跳过] AppCacheGetGroupList：Learn 索引中未找到
[跳过] AppCacheGetInfo：Learn 索引中未找到
[跳过] AppCacheDeleteGroup：Learn 索引中未找到
[跳过] AppCacheFreeSpace：Learn 索引中未找到
[跳过] AppCacheGetIEGroupList：Learn 索引中未找到
[跳过] AppCacheDeleteIEGroup：Learn 索引中未找到
[跳过] AppCacheFreeIESpace：Learn 索引中未找到
[跳过] AppCacheCreateAndCommitFile：Learn 索引中未找到
[跳过] HttpOpenDependencyHandle：Learn 索引中未找到
[跳过] HttpCloseDependencyHandle：Learn 索引中未找到
[跳过] HttpDuplicateDependencyHandle：Learn 索引中未找到
[跳过] HttpIndicatePageLoadComplete：Learn 索引中未找到
[跳过] UrlCacheFreeEntryInfo：Learn 索引中未找到
[跳过] UrlCacheGetEntryInfo：Learn 索引中未找到
[跳过] UrlCacheCloseEntryHandle：Learn 索引中未找到
[跳过] UrlCacheRetrieveEntryFile：Learn 索引中未找到
[跳过] UrlCacheReadEntryStream：Learn 索引中未找到
[跳过] UrlCacheRetrieveEntryStream：Learn 索引中未找到
[跳过] UrlCacheUpdateEntryExtraData：Learn 索引中未找到
[跳过] UrlCacheCreateContainer：Learn 索引中未找到
[跳过] UrlCacheCheckEntriesExist：Learn 索引中未找到
[跳过] UrlCacheGetContentPaths：Learn 索引中未找到
