从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：176 个
[写入] joyConfigChanged（5 条文档条目）
[跳过] sndPlaySoundA：Learn 索引中未找到
[跳过] sndPlaySoundW：Learn 索引中未找到
[跳过] PlaySoundA：Learn 索引中未找到
[跳过] PlaySoundW：Learn 索引中未找到
[写入] waveOutGetNumDevs（3 条文档条目）
[写入] waveOutGetDevCapsA（5 条文档条目）
[写入] waveOutGetDevCapsW（5 条文档条目）
[写入] waveOutGetVolume（5 条文档条目）
[写入] waveOutSetVolume（5 条文档条目）
[跳过] waveOutGetErrorTextA：Learn 索引中未找到
[跳过] waveOutGetErrorTextW：Learn 索引中未找到
[写入] waveOutOpen（5 条文档条目）
[写入] waveOutClose（5 条文档条目）
[写入] waveOutPrepareHeader（5 条文档条目）
[写入] waveOutUnprepareHeader（5 条文档条目）
[写入] waveOutWrite（5 条文档条目）
[写入] waveOutPause（5 条文档条目）
[写入] waveOutRestart（5 条文档条目）
[写入] waveOutReset（5 条文档条目）
[写入] waveOutBreakLoop（5 条文档条目）
[写入] waveOutGetPosition（5 条文档条目）
[写入] waveOutGetPitch（5 条文档条目）
[写入] waveOutSetPitch（5 条文档条目）
[写入] waveOutGetPlaybackRate（5 条文档条目）
[写入] waveOutSetPlaybackRate（5 条文档条目）
[写入] waveOutGetID（4 条文档条目）
[写入] waveOutMessage（5 条文档条目）
[写入] waveInGetNumDevs（3 条文档条目）
[写入] waveInGetDevCapsA（5 条文档条目）
[写入] waveInGetDevCapsW（4 条文档条目）
[跳过] waveInGetErrorTextA：Learn 索引中未找到
[跳过] waveInGetErrorTextW：Learn 索引中未找到
[写入] waveInOpen（5 条文档条目）
[写入] waveInClose（5 条文档条目）
[写入] waveInPrepareHeader（5 条文档条目）
[写入] waveInUnprepareHeader（5 条文档条目）
[写入] waveInAddBuffer（5 条文档条目）
[写入] waveInStart（5 条文档条目）
[写入] waveInStop（5 条文档条目）
[写入] waveInReset（4 条文档条目）
[写入] waveInGetPosition（5 条文档条目）
[写入] waveInGetID（4 条文档条目）
[写入] waveInMessage（5 条文档条目）
[写入] midiOutGetNumDevs（3 条文档条目）
[写入] midiStreamOpen（4 条文档条目）
[写入] midiStreamClose（4 条文档条目）
[写入] midiStreamProperty（5 条文档条目）
[写入] midiStreamPosition（5 条文档条目）
[写入] midiStreamOut（5 条文档条目）
[写入] midiStreamPause（5 条文档条目）
[写入] midiStreamRestart（5 条文档条目）
[写入] midiStreamStop（5 条文档条目）
[写入] midiConnect（5 条文档条目）
[写入] midiDisconnect（5 条文档条目）
[写入] midiOutGetDevCapsA（5 条文档条目）
[写入] midiOutGetDevCapsW（5 条文档条目）
[写入] midiOutGetVolume（5 条文档条目）
[写入] midiOutSetVolume（5 条文档条目）
[写入] midiOutGetErrorTextA（5 条文档条目）
[写入] midiOutGetErrorTextW（5 条文档条目）
[写入] midiOutOpen（5 条文档条目）
[写入] midiOutClose（5 条文档条目）
[写入] midiOutPrepareHeader（5 条文档条目）
[写入] midiOutUnprepareHeader（5 条文档条目）
[写入] midiOutShortMsg（5 条文档条目）
[写入] midiOutLongMsg（5 条文档条目）
[写入] midiOutReset（5 条文档条目）
[写入] midiOutCachePatches（5 条文档条目）
[写入] midiOutCacheDrumPatches（5 条文档条目）
[写入] midiOutGetID（4 条文档条目）
[写入] midiOutMessage（5 条文档条目）
[写入] midiInGetNumDevs（3 条文档条目）
[写入] midiInGetDevCapsA（5 条文档条目）
[写入] midiInGetDevCapsW（5 条文档条目）
[写入] midiInGetErrorTextA（5 条文档条目）
[写入] midiInGetErrorTextW（5 条文档条目）
[写入] midiInOpen（5 条文档条目）
[写入] midiInClose（5 条文档条目）
[写入] midiInPrepareHeader（5 条文档条目）
[写入] midiInUnprepareHeader（5 条文档条目）
[写入] midiInAddBuffer（5 条文档条目）
[写入] midiInStart（5 条文档条目）
[写入] midiInStop（5 条文档条目）
[写入] midiInReset（5 条文档条目）
[写入] midiInGetID（4 条文档条目）
[写入] midiInMessage（5 条文档条目）
[写入] auxGetNumDevs（3 条文档条目）
[写入] auxGetDevCapsA（5 条文档条目）
[写入] auxGetDevCapsW（5 条文档条目）
[写入] auxSetVolume（5 条文档条目）
[写入] auxGetVolume（5 条文档条目）
[写入] auxOutMessage（5 条文档条目）
[写入] mixerGetNumDevs（3 条文档条目）
[写入] mixerGetDevCapsA（5 条文档条目）
[写入] mixerGetDevCapsW（5 条文档条目）
[写入] mixerOpen（5 条文档条目）
[写入] mixerClose（4 条文档条目）
[写入] mixerMessage（5 条文档条目）
[写入] mixerGetLineInfoA（5 条文档条目）
[写入] mixerGetLineInfoW（5 条文档条目）
[写入] mixerGetID（4 条文档条目）
[写入] mixerGetLineControlsA（5 条文档条目）
[写入] mixerGetLineControlsW（5 条文档条目）
[写入] mixerGetControlDetailsA（5 条文档条目）
[写入] mixerGetControlDetailsW（5 条文档条目）
[写入] mixerSetControlDetails（5 条文档条目）
[跳过] mciSendCommandA：Learn 索引中未找到
[跳过] mciSendCommandW：Learn 索引中未找到
[跳过] mciSendStringA：Learn 索引中未找到
[跳过] mciSendStringW：Learn 索引中未找到
[跳过] mciGetDeviceIDA：Learn 索引中未找到
[跳过] mciGetDeviceIDW：Learn 索引中未找到
[跳过] mciGetDeviceIDFromElementIDA：Learn 索引中未找到
[跳过] mciGetDeviceIDFromElementIDW：Learn 索引中未找到
[跳过] mciGetErrorStringA：Learn 索引中未找到
[跳过] mciGetErrorStringW：Learn 索引中未找到
[跳过] mciSetYieldProc：Learn 索引中未找到
[跳过] mciGetCreatorTask：Learn 索引中未找到
[跳过] mciGetYieldProc：Learn 索引中未找到
[跳过] mciGetDriverData：Learn 索引中未找到
[跳过] mciLoadCommandResource：Learn 索引中未找到
[跳过] mciSetDriverData：Learn 索引中未找到
[跳过] mciDriverYield：Learn 索引中未找到
[跳过] mciDriverNotify：Learn 索引中未找到
[跳过] mciFreeCommandResource：Learn 索引中未找到
[写入] CloseDriver（5 条文档条目）
[写入] OpenDriver（4 条文档条目）
[写入] SendDriverMessage（4 条文档条目）
[写入] DrvGetModuleHandle（4 条文档条目）
[写入] GetDriverModuleHandle（4 条文档条目）
[写入] DefDriverProc（4 条文档条目）
[写入] DriverCallback（5 条文档条目）
[跳过] mmDrvInstall：Learn 索引中未找到
[写入] mmioStringToFOURCCA（5 条文档条目）
[写入] mmioStringToFOURCCW（5 条文档条目）
[写入] mmioInstallIOProcA（5 条文档条目）
[写入] mmioInstallIOProcW（5 条文档条目）
[写入] mmioOpenA（5 条文档条目）
[写入] mmioOpenW（5 条文档条目）
[写入] mmioRenameA（5 条文档条目）
[写入] mmioRenameW（5 条文档条目）
[写入] mmioClose（4 条文档条目）
[写入] mmioRead（4 条文档条目）
[写入] mmioWrite（5 条文档条目）
[写入] mmioSeek（5 条文档条目）
[写入] mmioGetInfo（5 条文档条目）
[写入] mmioSetInfo（5 条文档条目）
[写入] mmioSetBuffer（5 条文档条目）
[写入] mmioFlush（5 条文档条目）
[写入] mmioAdvance（5 条文档条目）
[写入] mmioSendMessage（5 条文档条目）
[写入] mmioDescend（5 条文档条目）
[写入] mmioAscend（5 条文档条目）
[写入] mmioCreateChunk（5 条文档条目）
[写入] joyGetPosEx（5 条文档条目）
[写入] joyGetNumDevs（4 条文档条目）
[写入] joyGetDevCapsA（5 条文档条目）
[写入] joyGetDevCapsW（5 条文档条目）
[写入] joyGetPos（5 条文档条目）
[写入] joyGetThreshold（5 条文档条目）
[写入] joyReleaseCapture（5 条文档条目）
[写入] joySetCapture（5 条文档条目）
