从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：243 个
[写入] ldap_openW（5 条文档条目）
[写入] ldap_openA（5 条文档条目）
[写入] ldap_initW（5 条文档条目）
[写入] ldap_initA（5 条文档条目）
[写入] ldap_sslinitW（5 条文档条目）
[写入] ldap_sslinitA（5 条文档条目）
[写入] ldap_connect（5 条文档条目）
[写入] ldap_open（5 条文档条目）
[写入] ldap_init（5 条文档条目）
[写入] ldap_sslinit（5 条文档条目）
[写入] cldap_openW（5 条文档条目）
[写入] cldap_openA（5 条文档条目）
[写入] cldap_open（5 条文档条目）
[写入] ldap_unbind（5 条文档条目）
[写入] ldap_unbind_s（5 条文档条目）
[写入] ldap_get_option（5 条文档条目）
[写入] ldap_get_optionW（5 条文档条目）
[写入] ldap_set_option（5 条文档条目）
[写入] ldap_set_optionW（5 条文档条目）
[写入] ldap_simple_bindW（5 条文档条目）
[写入] ldap_simple_bindA（5 条文档条目）
[写入] ldap_simple_bind_sW（5 条文档条目）
[写入] ldap_simple_bind_sA（5 条文档条目）
[写入] ldap_bindW（5 条文档条目）
[写入] ldap_bindA（5 条文档条目）
[写入] ldap_bind_sW（5 条文档条目）
[写入] ldap_bind_sA（5 条文档条目）
[写入] ldap_sasl_bindA（5 条文档条目）
[写入] ldap_sasl_bindW（5 条文档条目）
[写入] ldap_sasl_bind_sA（5 条文档条目）
[写入] ldap_sasl_bind_sW（5 条文档条目）
[写入] ldap_simple_bind（5 条文档条目）
[写入] ldap_simple_bind_s（5 条文档条目）
[写入] ldap_bind（5 条文档条目）
[写入] ldap_bind_s（5 条文档条目）
[写入] ldap_searchW（5 条文档条目）
[写入] ldap_searchA（5 条文档条目）
[写入] ldap_search_sW（5 条文档条目）
[写入] ldap_search_sA（5 条文档条目）
[写入] ldap_search_stW（5 条文档条目）
[写入] ldap_search_stA（5 条文档条目）
[写入] ldap_search_extW（5 条文档条目）
[写入] ldap_search_extA（5 条文档条目）
[写入] ldap_search_ext_sW（5 条文档条目）
[写入] ldap_search_ext_sA（5 条文档条目）
[写入] ldap_search（5 条文档条目）
[写入] ldap_search_s（5 条文档条目）
[写入] ldap_search_st（5 条文档条目）
[写入] ldap_search_ext（5 条文档条目）
[写入] ldap_search_ext_s（5 条文档条目）
[写入] ldap_check_filterW（5 条文档条目）
[写入] ldap_check_filterA（5 条文档条目）
[写入] ldap_modifyW（5 条文档条目）
[写入] ldap_modifyA（5 条文档条目）
[写入] ldap_modify_sW（5 条文档条目）
[写入] ldap_modify_sA（5 条文档条目）
[写入] ldap_modify_extW（5 条文档条目）
[写入] ldap_modify_extA（5 条文档条目）
[写入] ldap_modify_ext_sW（5 条文档条目）
[写入] ldap_modify_ext_sA（5 条文档条目）
[写入] ldap_modify（5 条文档条目）
[写入] ldap_modify_s（5 条文档条目）
[写入] ldap_modify_ext（5 条文档条目）
[写入] ldap_modify_ext_s（5 条文档条目）
[写入] ldap_modrdn2W（5 条文档条目）
[写入] ldap_modrdn2A（5 条文档条目）
[写入] ldap_modrdnW（5 条文档条目）
[写入] ldap_modrdnA（5 条文档条目）
[写入] ldap_modrdn2_sW（5 条文档条目）
[写入] ldap_modrdn2_sA（5 条文档条目）
[写入] ldap_modrdn_sW（5 条文档条目）
[写入] ldap_modrdn_sA（5 条文档条目）
[写入] ldap_modrdn2（5 条文档条目）
[写入] ldap_modrdn（5 条文档条目）
[写入] ldap_modrdn2_s（5 条文档条目）
[写入] ldap_modrdn_s（5 条文档条目）
