从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：160 个
[写入] __WSAFDIsSet（5 条文档条目）
[写入] accept（5 条文档条目）
[写入] bind（6 条文档条目）
[写入] closesocket（5 条文档条目）
[写入] connect（4 条文档条目）
[写入] ioctlsocket（5 条文档条目）
[写入] getpeername（5 条文档条目）
[写入] getsockname（5 条文档条目）
[写入] getsockopt（5 条文档条目）
[写入] htonl（5 条文档条目）
[写入] htons（5 条文档条目）
[写入] inet_addr（6 条文档条目）
[写入] inet_ntoa（5 条文档条目）
[写入] listen（5 条文档条目）
[写入] ntohl（5 条文档条目）
[写入] ntohs（5 条文档条目）
[写入] recv（5 条文档条目）
[写入] recvfrom（5 条文档条目）
[写入] select（4 条文档条目）
[写入] send（5 条文档条目）
[写入] sendto（5 条文档条目）
[写入] setsockopt（5 条文档条目）
[写入] shutdown（4 条文档条目）
[写入] socket（5 条文档条目）
[写入] gethostbyaddr（5 条文档条目）
[写入] gethostbyname（5 条文档条目）
[写入] gethostname（5 条文档条目）
[写入] GetHostNameW（5 条文档条目）
[写入] getservbyport（5 条文档条目）
[写入] getservbyname（5 条文档条目）
[写入] getprotobynumber（5 条文档条目）
[写入] getprotobyname（5 条文档条目）
[写入] WSAStartup（6 条文档条目）
[写入] WSACleanup（4 条文档条目）
[写入] WSASetLastError（5 条文档条目）
[写入] WSAGetLastError（4 条文档条目）
[写入] WSAIsBlocking（3 条文档条目）
[写入] WSAUnhookBlockingHook（3 条文档条目）
[写入] WSASetBlockingHook（4 条文档条目）
[写入] WSACancelBlockingCall（3 条文档条目）
[写入] WSAAsyncGetServByName（5 条文档条目）
[写入] WSAAsyncGetServByPort（5 条文档条目）
[写入] WSAAsyncGetProtoByName（5 条文档条目）
[写入] WSAAsyncGetProtoByNumber（5 条文档条目）
[写入] WSAAsyncGetHostByName（5 条文档条目）
[写入] WSAAsyncGetHostByAddr（5 条文档条目）
[写入] WSACancelAsyncRequest（5 条文档条目）
[写入] WSAAsyncSelect（5 条文档条目）
[写入] WSAAccept（5 条文档条目）
[写入] WSACloseEvent（5 条文档条目）
[写入] WSAConnect（5 条文档条目）
[写入] WSAConnectByNameW（6 条文档条目）
[写入] WSAConnectByNameA（6 条文档条目）
[写入] WSAConnectByList（6 条文档条目）
[写入] WSACreateEvent（4 条文档条目）
[写入] WSADuplicateSocketA（5 条文档条目）
[写入] WSADuplicateSocketW（5 条文档条目）
[写入] WSAEnumNetworkEvents（5 条文档条目）
[写入] WSAEnumProtocolsA（6 条文档条目）
[写入] WSAEnumProtocolsW（6 条文档条目）
[写入] WSAEventSelect（5 条文档条目）
