从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：63 个
[写入] WTSStopRemoteControlSession（4 条文档条目）
[写入] WTSStartRemoteControlSessionW（5 条文档条目）
[写入] WTSStartRemoteControlSessionA（5 条文档条目）
[写入] WTSConnectSessionA（5 条文档条目）
[写入] WTSConnectSessionW（5 条文档条目）
[写入] WTSEnumerateServersW（5 条文档条目）
[写入] WTSEnumerateServersA（5 条文档条目）
[写入] WTSOpenServerW（5 条文档条目）
[写入] WTSOpenServerA（5 条文档条目）
[写入] WTSOpenServerExW（5 条文档条目）
[写入] WTSOpenServerExA（5 条文档条目）
[写入] WTSCloseServer（5 条文档条目）
[写入] WTSEnumerateSessionsW（5 条文档条目）
[写入] WTSEnumerateSessionsA（5 条文档条目）
[写入] WTSEnumerateSessionsExW（5 条文档条目）
[写入] WTSEnumerateSessionsExA（5 条文档条目）
[写入] WTSEnumerateProcessesW（5 条文档条目）
[写入] WTSEnumerateProcessesA（5 条文档条目）
[写入] WTSTerminateProcess（4 条文档条目）
[写入] WTSQuerySessionInformationW（5 条文档条目）
[写入] WTSQuerySessionInformationA（5 条文档条目）
[写入] WTSQueryUserConfigW（5 条文档条目）
[写入] WTSQueryUserConfigA（5 条文档条目）
[写入] WTSSetUserConfigW（5 条文档条目）
[写入] WTSSetUserConfigA（5 条文档条目）
[写入] WTSSendMessageW（5 条文档条目）
[写入] WTSSendMessageA（5 条文档条目）
[写入] WTSDisconnectSession（4 条文档条目）
[写入] WTSLogoffSession（4 条文档条目）
[写入] WTSShutdownSystem（5 条文档条目）
[写入] WTSWaitSystemEvent（4 条文档条目）
[写入] WTSVirtualChannelOpen（5 条文档条目）
[写入] WTSVirtualChannelOpenEx（4 条文档条目）
[写入] WTSVirtualChannelClose（4 条文档条目）
[写入] WTSVirtualChannelRead（5 条文档条目）
[写入] WTSVirtualChannelWrite（5 条文档条目）
[写入] WTSVirtualChannelPurgeInput（4 条文档条目）
[写入] WTSVirtualChannelPurgeOutput（4 条文档条目）
[写入] WTSVirtualChannelQuery（5 条文档条目）
[写入] WTSFreeMemory（5 条文档条目）
[写入] WTSRegisterSessionNotification（5 条文档条目）
[写入] WTSUnRegisterSessionNotification（5 条文档条目）
[写入] WTSRegisterSessionNotificationEx（5 条文档条目）
[写入] WTSUnRegisterSessionNotificationEx（5 条文档条目）
[写入] WTSQueryUserToken（5 条文档条目）
[写入] WTSFreeMemoryExW（5 条文档条目）
[写入] WTSFreeMemoryExA（5 条文档条目）
[写入] WTSEnumerateProcessesExW（5 条文档条目）
[写入] WTSEnumerateProcessesExA（5 条文档条目）
[写入] WTSEnumerateListenersW（5 条文档条目）
[写入] WTSEnumerateListenersA（5 条文档条目）
[写入] WTSQueryListenerConfigW（5 条文档条目）
[写入] WTSQueryListenerConfigA（5 条文档条目）
[写入] WTSCreateListenerW（5 条文档条目）
[写入] WTSCreateListenerA（5 条文档条目）
[写入] WTSSetListenerSecurityW（5 条文档条目）
[写入] WTSSetListenerSecurityA（5 条文档条目）
[写入] WTSGetListenerSecurityW（5 条文档条目）
[写入] WTSGetListenerSecurityA（5 条文档条目）
[写入] WTSEnableChildSessions（5 条文档条目）
[写入] WTSIsChildSessionsEnabled（5 条文档条目）
[写入] WTSGetChildSessionId（5 条文档条目）
[跳过] WTSSetRenderHint：Learn 索引中未找到

完成：处理 62，跳过(已存在) 0，索引缺失 1，失败 0
