从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：66 个
[跳过] WHvGetCapability：Learn 索引中未找到
[跳过] WHvCreatePartition：Learn 索引中未找到
[跳过] WHvSetupPartition：Learn 索引中未找到
[跳过] WHvResetPartition：Learn 索引中未找到
[跳过] WHvDeletePartition：Learn 索引中未找到
[跳过] WHvGetPartitionProperty：Learn 索引中未找到
[跳过] WHvSetPartitionProperty：Learn 索引中未找到
[跳过] WHvSuspendPartitionTime：Learn 索引中未找到
[跳过] WHvResumePartitionTime：Learn 索引中未找到
[跳过] WHvMapGpaRange：Learn 索引中未找到
[跳过] WHvMapGpaRange2：Learn 索引中未找到
[跳过] WHvUnmapGpaRange：Learn 索引中未找到
[跳过] WHvTranslateGva：Learn 索引中未找到
[跳过] WHvCreateVirtualProcessor：Learn 索引中未找到
[跳过] WHvCreateVirtualProcessor2：Learn 索引中未找到
[跳过] WHvDeleteVirtualProcessor：Learn 索引中未找到
[跳过] WHvRunVirtualProcessor：Learn 索引中未找到
[跳过] WHvCancelRunVirtualProcessor：Learn 索引中未找到
[跳过] WHvGetVirtualProcessorRegisters：Learn 索引中未找到
[跳过] WHvSetVirtualProcessorRegisters：Learn 索引中未找到
[跳过] WHvGetVirtualProcessorInterruptControllerState：Learn 索引中未找到
[跳过] WHvSetVirtualProcessorInterruptControllerState：Learn 索引中未找到
[跳过] WHvRequestInterrupt：Learn 索引中未找到
[跳过] WHvGetVirtualProcessorXsaveState：Learn 索引中未找到
[跳过] WHvSetVirtualProcessorXsaveState：Learn 索引中未找到
[跳过] WHvQueryGpaRangeDirtyBitmap：Learn 索引中未找到
[跳过] WHvGetPartitionCounters：Learn 索引中未找到
[跳过] WHvGetVirtualProcessorCounters：Learn 索引中未找到
[跳过] WHvGetVirtualProcessorInterruptControllerState2：Learn 索引中未找到
[跳过] WHvSetVirtualProcessorInterruptControllerState2：Learn 索引中未找到
[跳过] WHvRegisterPartitionDoorbellEvent：Learn 索引中未找到
[跳过] WHvUnregisterPartitionDoorbellEvent：Learn 索引中未找到
[跳过] WHvAdviseGpaRange：Learn 索引中未找到
[跳过] WHvReadGpaRange：Learn 索引中未找到
[跳过] WHvWriteGpaRange：Learn 索引中未找到
[跳过] WHvSignalVirtualProcessorSynicEvent：Learn 索引中未找到
[跳过] WHvGetVirtualProcessorState：Learn 索引中未找到
[跳过] WHvSetVirtualProcessorState：Learn 索引中未找到
[跳过] WHvAllocateVpciResource：Learn 索引中未找到
[跳过] WHvCreateVpciDevice：Learn 索引中未找到
[跳过] WHvDeleteVpciDevice：Learn 索引中未找到
[跳过] WHvGetVpciDeviceProperty：Learn 索引中未找到
[跳过] WHvGetVpciDeviceNotification：Learn 索引中未找到
[跳过] WHvMapVpciDeviceMmioRanges：Learn 索引中未找到
[跳过] WHvUnmapVpciDeviceMmioRanges：Learn 索引中未找到
[跳过] WHvSetVpciDevicePowerState：Learn 索引中未找到
[跳过] WHvReadVpciDeviceRegister：Learn 索引中未找到
[跳过] WHvWriteVpciDeviceRegister：Learn 索引中未找到
[跳过] WHvMapVpciDeviceInterrupt：Learn 索引中未找到
[跳过] WHvUnmapVpciDeviceInterrupt：Learn 索引中未找到
[跳过] WHvRetargetVpciDeviceInterrupt：Learn 索引中未找到
[跳过] WHvRequestVpciDeviceInterrupt：Learn 索引中未找到
[跳过] WHvGetVpciDeviceInterruptTarget：Learn 索引中未找到
[跳过] WHvCreateTrigger：Learn 索引中未找到
[跳过] WHvUpdateTriggerParameters：Learn 索引中未找到
[跳过] WHvDeleteTrigger：Learn 索引中未找到
[跳过] WHvCreateNotificationPort：Learn 索引中未找到
[跳过] WHvSetNotificationPortProperty：Learn 索引中未找到
[跳过] WHvDeleteNotificationPort：Learn 索引中未找到
[跳过] WHvPostVirtualProcessorSynicMessage：Learn 索引中未找到
[跳过] WHvGetVirtualProcessorCpuidOutput：Learn 索引中未找到
[跳过] WHvGetInterruptTargetVpSet：Learn 索引中未找到
[跳过] WHvStartPartitionMigration：Learn 索引中未找到
[跳过] WHvCancelPartitionMigration：Learn 索引中未找到
[跳过] WHvCompletePartitionMigration：Learn 索引中未找到
[跳过] WHvAcceptPartitionMigration：Learn 索引中未找到

完成：处理 0，跳过(已存在) 0，索引缺失 66，失败 0
