从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：70 个
[写入] SCardEstablishContext（6 条文档条目）
[写入] SCardReleaseContext（4 条文档条目）
[写入] SCardIsValidContext（6 条文档条目）
[写入] SCardListReaderGroupsA（6 条文档条目）
[写入] SCardListReaderGroupsW（6 条文档条目）
[写入] SCardListReadersA（6 条文档条目）
[写入] SCardListReadersW（6 条文档条目）
[写入] SCardListCardsA（6 条文档条目）
[写入] SCardListCardsW（6 条文档条目）
[写入] SCardListInterfacesA（6 条文档条目）
[写入] SCardListInterfacesW（6 条文档条目）
[写入] SCardGetProviderIdA（6 条文档条目）
[写入] SCardGetProviderIdW（6 条文档条目）
[写入] SCardGetCardTypeProviderNameA（6 条文档条目）
[写入] SCardGetCardTypeProviderNameW（6 条文档条目）
[写入] SCardIntroduceReaderGroupA（6 条文档条目）
[写入] SCardIntroduceReaderGroupW（6 条文档条目）
[写入] SCardForgetReaderGroupA（6 条文档条目）
[写入] SCardForgetReaderGroupW（6 条文档条目）
[写入] SCardIntroduceReaderA（6 条文档条目）
[写入] SCardIntroduceReaderW（6 条文档条目）
[写入] SCardForgetReaderA（6 条文档条目）
[写入] SCardForgetReaderW（6 条文档条目）
[写入] SCardAddReaderToGroupA（6 条文档条目）
[写入] SCardAddReaderToGroupW（6 条文档条目）
[写入] SCardRemoveReaderFromGroupA（6 条文档条目）
[写入] SCardRemoveReaderFromGroupW（6 条文档条目）
[写入] SCardIntroduceCardTypeA（6 条文档条目）
[写入] SCardIntroduceCardTypeW（6 条文档条目）
[写入] SCardSetCardTypeProviderNameA（6 条文档条目）
[写入] SCardSetCardTypeProviderNameW（6 条文档条目）
[写入] SCardForgetCardTypeA（6 条文档条目）
[写入] SCardForgetCardTypeW（6 条文档条目）
[写入] SCardFreeMemory（4 条文档条目）
[写入] SCardAccessStartedEvent（4 条文档条目）
[写入] SCardReleaseStartedEvent（3 条文档条目）
[写入] SCardLocateCardsA（6 条文档条目）
[写入] SCardLocateCardsW（6 条文档条目）
[写入] SCardLocateCardsByATRA（5 条文档条目）
[写入] SCardLocateCardsByATRW（5 条文档条目）
[写入] SCardGetStatusChangeA（5 条文档条目）
[写入] SCardGetStatusChangeW（5 条文档条目）
[写入] SCardCancel（6 条文档条目）
[写入] SCardConnectA（6 条文档条目）
[写入] SCardConnectW（6 条文档条目）
[写入] SCardReconnect（6 条文档条目）
[写入] SCardDisconnect（6 条文档条目）
[写入] SCardBeginTransaction（6 条文档条目）
[写入] SCardEndTransaction（6 条文档条目）
[跳过] SCardState：Learn 索引中未找到
[写入] SCardStatusA（6 条文档条目）
[写入] SCardStatusW（6 条文档条目）
[写入] SCardTransmit（6 条文档条目）
[写入] SCardGetTransmitCount（4 条文档条目）
[写入] SCardControl（6 条文档条目）
[写入] SCardGetAttrib（6 条文档条目）
[写入] SCardSetAttrib（6 条文档条目）
[写入] SCardReadCacheA（5 条文档条目）
[写入] SCardReadCacheW（5 条文档条目）
[写入] SCardWriteCacheA（5 条文档条目）
[写入] SCardWriteCacheW（5 条文档条目）
[写入] SCardGetReaderIconA（6 条文档条目）
[写入] SCardGetReaderIconW（6 条文档条目）
[写入] SCardGetDeviceTypeIdA（5 条文档条目）
[写入] SCardGetDeviceTypeIdW（5 条文档条目）
[写入] SCardGetReaderDeviceInstanceIdA（6 条文档条目）
[写入] SCardGetReaderDeviceInstanceIdW（6 条文档条目）
[写入] SCardListReadersWithDeviceInstanceIdA（6 条文档条目）
[写入] SCardListReadersWithDeviceInstanceIdW（6 条文档条目）
[写入] SCardAudit（6 条文档条目）

完成：处理 69，跳过(已存在) 0，索引缺失 1，失败 0
