从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：22 个
[写入] PathIsUNCEx（4 条文档条目）
[写入] PathCchIsRoot（5 条文档条目）
[写入] PathCchAddBackslashEx（4 条文档条目）
[写入] PathCchAddBackslash（4 条文档条目）
[写入] PathCchRemoveBackslashEx（5 条文档条目）
[写入] PathCchRemoveBackslash（5 条文档条目）
[写入] PathCchSkipRoot（4 条文档条目）
[写入] PathCchStripToRoot（5 条文档条目）
[写入] PathCchRemoveFileSpec（5 条文档条目）
[写入] PathCchFindExtension（4 条文档条目）
[写入] PathCchAddExtension（4 条文档条目）
[写入] PathCchRenameExtension（4 条文档条目）
[写入] PathCchRemoveExtension（4 条文档条目）
[写入] PathCchCanonicalizeEx（5 条文档条目）
[写入] PathCchCanonicalize（5 条文档条目）
[写入] PathCchCombineEx（5 条文档条目）
[写入] PathCchCombine（5 条文档条目）
[写入] PathCchAppendEx（5 条文档条目）
[写入] PathCchAppend（5 条文档条目）
[写入] PathCchStripPrefix（4 条文档条目）
[写入] PathAllocCombine（5 条文档条目）
[写入] PathAllocCanonicalize（5 条文档条目）

完成：处理 22，跳过(已存在) 0，索引缺失 0，失败 0
