从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：87 个
[跳过] JsCreateRuntime：Learn 索引中未找到
[跳过] JsCollectGarbage：Learn 索引中未找到
[跳过] JsDisposeRuntime：Learn 索引中未找到
[跳过] JsGetRuntimeMemoryUsage：Learn 索引中未找到
[跳过] JsGetRuntimeMemoryLimit：Learn 索引中未找到
[跳过] JsSetRuntimeMemoryLimit：Learn 索引中未找到
[跳过] JsSetRuntimeMemoryAllocationCallback：Learn 索引中未找到
[跳过] JsSetRuntimeBeforeCollectCallback：Learn 索引中未找到
[跳过] JsAddRef：Learn 索引中未找到
[跳过] JsRelease：Learn 索引中未找到
[跳过] JsCreateContext：Learn 索引中未找到
[跳过] JsGetCurrentContext：Learn 索引中未找到
[跳过] JsSetCurrentContext：Learn 索引中未找到
[跳过] JsGetRuntime：Learn 索引中未找到
[跳过] JsStartDebugging：Learn 索引中未找到
[跳过] JsIdle：Learn 索引中未找到
[跳过] JsParseScript：Learn 索引中未找到
[跳过] JsRunScript：Learn 索引中未找到
[跳过] JsSerializeScript：Learn 索引中未找到
[跳过] JsParseSerializedScript：Learn 索引中未找到
[跳过] JsRunSerializedScript：Learn 索引中未找到
[跳过] JsGetPropertyIdFromName：Learn 索引中未找到
[跳过] JsGetPropertyNameFromId：Learn 索引中未找到
[跳过] JsGetUndefinedValue：Learn 索引中未找到
[跳过] JsGetNullValue：Learn 索引中未找到
[跳过] JsGetTrueValue：Learn 索引中未找到
[跳过] JsGetFalseValue：Learn 索引中未找到
[跳过] JsBoolToBoolean：Learn 索引中未找到
[跳过] JsBooleanToBool：Learn 索引中未找到
[跳过] JsConvertValueToBoolean：Learn 索引中未找到
[跳过] JsGetValueType：Learn 索引中未找到
[跳过] JsDoubleToNumber：Learn 索引中未找到
[跳过] JsIntToNumber：Learn 索引中未找到
[跳过] JsNumberToDouble：Learn 索引中未找到
[跳过] JsConvertValueToNumber：Learn 索引中未找到
[跳过] JsGetStringLength：Learn 索引中未找到
[跳过] JsPointerToString：Learn 索引中未找到
[跳过] JsStringToPointer：Learn 索引中未找到
[跳过] JsConvertValueToString：Learn 索引中未找到
[跳过] JsVariantToValue：Learn 索引中未找到
[跳过] JsValueToVariant：Learn 索引中未找到
[跳过] JsGetGlobalObject：Learn 索引中未找到
[跳过] JsCreateObject：Learn 索引中未找到
[跳过] JsCreateExternalObject：Learn 索引中未找到
[跳过] JsConvertValueToObject：Learn 索引中未找到
[跳过] JsGetPrototype：Learn 索引中未找到
[跳过] JsSetPrototype：Learn 索引中未找到
[跳过] JsGetExtensionAllowed：Learn 索引中未找到
[跳过] JsPreventExtension：Learn 索引中未找到
[跳过] JsGetProperty：Learn 索引中未找到
[跳过] JsGetOwnPropertyDescriptor：Learn 索引中未找到
[跳过] JsGetOwnPropertyNames：Learn 索引中未找到
[跳过] JsSetProperty：Learn 索引中未找到
[跳过] JsHasProperty：Learn 索引中未找到
[跳过] JsDeleteProperty：Learn 索引中未找到
[跳过] JsDefineProperty：Learn 索引中未找到
[跳过] JsHasIndexedProperty：Learn 索引中未找到
[跳过] JsGetIndexedProperty：Learn 索引中未找到
[跳过] JsSetIndexedProperty：Learn 索引中未找到
[跳过] JsDeleteIndexedProperty：Learn 索引中未找到
[跳过] JsEquals：Learn 索引中未找到
[跳过] JsStrictEquals：Learn 索引中未找到
[跳过] JsHasExternalData：Learn 索引中未找到
[跳过] JsGetExternalData：Learn 索引中未找到
[跳过] JsSetExternalData：Learn 索引中未找到
[跳过] JsCreateArray：Learn 索引中未找到
[跳过] JsCallFunction：Learn 索引中未找到
[跳过] JsConstructObject：Learn 索引中未找到
[跳过] JsCreateFunction：Learn 索引中未找到
[跳过] JsCreateError：Learn 索引中未找到
[跳过] JsCreateRangeError：Learn 索引中未找到
[跳过] JsCreateReferenceError：Learn 索引中未找到
[跳过] JsCreateSyntaxError：Learn 索引中未找到
[跳过] JsCreateTypeError：Learn 索引中未找到
[跳过] JsCreateURIError：Learn 索引中未找到
[跳过] JsHasException：Learn 索引中未找到
[跳过] JsGetAndClearException：Learn 索引中未找到
[跳过] JsSetException：Learn 索引中未找到
[跳过] JsDisableRuntimeExecution：Learn 索引中未找到
[跳过] JsEnableRuntimeExecution：Learn 索引中未找到
[跳过] JsIsRuntimeExecutionDisabled：Learn 索引中未找到
[跳过] JsStartProfiling：Learn 索引中未找到
[跳过] JsStopProfiling：Learn 索引中未找到
[跳过] JsEnumerateHeap：Learn 索引中未找到
[跳过] JsIsEnumeratingHeap：Learn 索引中未找到
[跳过] JsCreateContext：Learn 索引中未找到
[跳过] JsStartDebugging：Learn 索引中未找到

完成：处理 0，跳过(已存在) 0，索引缺失 87，失败 0
