从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：19 个
[写入] SspiPromptForCredentialsW（5 条文档条目）
[写入] SspiPromptForCredentialsA（5 条文档条目）
[写入] SspiIsPromptingNeeded（4 条文档条目）
[写入] CredUnPackAuthenticationBufferW（5 条文档条目）
[写入] CredUnPackAuthenticationBufferA（5 条文档条目）
[写入] CredPackAuthenticationBufferW（5 条文档条目）
[写入] CredPackAuthenticationBufferA（5 条文档条目）
[写入] CredUIPromptForCredentialsW（5 条文档条目）
[写入] CredUIPromptForCredentialsA（5 条文档条目）
[写入] CredUIPromptForWindowsCredentialsW（5 条文档条目）
[写入] CredUIPromptForWindowsCredentialsA（5 条文档条目）
[写入] CredUIParseUserNameW（5 条文档条目）
[写入] CredUIParseUserNameA（5 条文档条目）
[写入] CredUICmdLinePromptForCredentialsW（5 条文档条目）
[写入] CredUICmdLinePromptForCredentialsA（5 条文档条目）
[写入] CredUIConfirmCredentialsW（5 条文档条目）
[写入] CredUIConfirmCredentialsA（5 条文档条目）
[写入] CredUIStoreSSOCredW（4 条文档条目）
[写入] CredUIReadSSOCredW（4 条文档条目）

完成：处理 19，跳过(已存在) 0，索引缺失 0，失败 0
