从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：218 个
[跳过] MiniDumpWriteDump：Learn 索引中未找到
[跳过] MiniDumpReadDumpStream：Learn 索引中未找到
[跳过] SymFindDebugInfoFile：Learn 索引中未找到
[跳过] SymFindDebugInfoFileW：Learn 索引中未找到
[跳过] FindDebugInfoFile：Learn 索引中未找到
[跳过] FindDebugInfoFileEx：Learn 索引中未找到
[跳过] FindDebugInfoFileExW：Learn 索引中未找到
[跳过] SymFindFileInPath：Learn 索引中未找到
[跳过] SymFindFileInPathW：Learn 索引中未找到
[跳过] SymFindExecutableImage：Learn 索引中未找到
[跳过] SymFindExecutableImageW：Learn 索引中未找到
[跳过] FindExecutableImage：Learn 索引中未找到
[跳过] FindExecutableImageEx：Learn 索引中未找到
[跳过] FindExecutableImageExW：Learn 索引中未找到
[跳过] ImageNtHeader：Learn 索引中未找到
[跳过] ImageDirectoryEntryToDataEx：Learn 索引中未找到
[跳过] ImageDirectoryEntryToData：Learn 索引中未找到
[跳过] ImageRvaToSection：Learn 索引中未找到
[跳过] ImageRvaToVa：Learn 索引中未找到
[跳过] SearchTreeForFile：Learn 索引中未找到
[跳过] SearchTreeForFileW：Learn 索引中未找到
[跳过] EnumDirTree：Learn 索引中未找到
[跳过] EnumDirTreeW：Learn 索引中未找到
[跳过] MakeSureDirectoryPathExists：Learn 索引中未找到
[跳过] UnDecorateSymbolName：Learn 索引中未找到
[跳过] UnDecorateSymbolNameW：Learn 索引中未找到
[跳过] StackWalk64：Learn 索引中未找到
[跳过] StackWalkEx：Learn 索引中未找到
[跳过] ImagehlpApiVersion：Learn 索引中未找到
[跳过] ImagehlpApiVersionEx：Learn 索引中未找到
[跳过] GetTimestampForLoadedLibrary：Learn 索引中未找到
[跳过] SymSetParentWindow：Learn 索引中未找到
[跳过] SymSetHomeDirectory：Learn 索引中未找到
[跳过] SymSetHomeDirectoryW：Learn 索引中未找到
[跳过] SymGetHomeDirectory：Learn 索引中未找到
[跳过] SymGetHomeDirectoryW：Learn 索引中未找到
[跳过] SymGetOmaps：Learn 索引中未找到
[跳过] SymSetOptions：Learn 索引中未找到
[跳过] SymGetOptions：Learn 索引中未找到
[跳过] SymCleanup：Learn 索引中未找到
[跳过] SymGetExtendedOption：Learn 索引中未找到
[跳过] SymSetExtendedOption：Learn 索引中未找到
[跳过] SymMatchString：Learn 索引中未找到
[跳过] SymMatchStringA：Learn 索引中未找到
[跳过] SymMatchStringW：Learn 索引中未找到
[跳过] SymEnumSourceFiles：Learn 索引中未找到
[跳过] SymEnumSourceFilesW：Learn 索引中未找到
[跳过] SymEnumerateModules64：Learn 索引中未找到
[跳过] SymEnumerateModulesW64：Learn 索引中未找到
[跳过] EnumerateLoadedModulesEx：Learn 索引中未找到
[跳过] EnumerateLoadedModulesExW：Learn 索引中未找到
[跳过] EnumerateLoadedModules64：Learn 索引中未找到
[跳过] EnumerateLoadedModulesW64：Learn 索引中未找到
[跳过] SymFunctionTableAccess64：Learn 索引中未找到
[跳过] SymFunctionTableAccess64AccessRoutines：Learn 索引中未找到
[跳过] SymGetUnwindInfo：Learn 索引中未找到
[跳过] SymGetModuleInfo64：Learn 索引中未找到
[跳过] SymGetModuleInfoW64：Learn 索引中未找到
[跳过] SymGetModuleBase64：Learn 索引中未找到
[跳过] SymEnumLines：Learn 索引中未找到
[跳过] SymEnumLinesW：Learn 索引中未找到
[跳过] SymGetLineFromAddr64：Learn 索引中未找到
[跳过] SymGetLineFromAddrW64：Learn 索引中未找到
[跳过] SymGetLineFromInlineContext：Learn 索引中未找到
[跳过] SymGetLineFromInlineContextW：Learn 索引中未找到
[跳过] SymEnumSourceLines：Learn 索引中未找到
[跳过] SymEnumSourceLinesW：Learn 索引中未找到
[跳过] SymAddrIncludeInlineTrace：Learn 索引中未找到
[跳过] SymCompareInlineTrace：Learn 索引中未找到
[跳过] SymQueryInlineTrace：Learn 索引中未找到
[跳过] SymGetLineFromName64：Learn 索引中未找到
[跳过] SymGetLineFromNameW64：Learn 索引中未找到
[跳过] SymGetLineNext64：Learn 索引中未找到
[跳过] SymGetLineNextW64：Learn 索引中未找到
[跳过] SymGetLinePrev64：Learn 索引中未找到
[跳过] SymGetLinePrevW64：Learn 索引中未找到
[跳过] SymGetFileLineOffsets64：Learn 索引中未找到
[跳过] SymMatchFileName：Learn 索引中未找到
[跳过] SymMatchFileNameW：Learn 索引中未找到
[跳过] SymGetSourceFile：Learn 索引中未找到
[跳过] SymGetSourceFileW：Learn 索引中未找到
[跳过] SymGetSourceFileToken：Learn 索引中未找到
[跳过] SymGetSourceFileTokenByTokenName：Learn 索引中未找到
[跳过] SymGetSourceFileChecksumW：Learn 索引中未找到
[跳过] SymGetSourceFileChecksum：Learn 索引中未找到
[跳过] SymGetSourceFileTokenW：Learn 索引中未找到
[跳过] SymGetSourceFileTokenByTokenNameW：Learn 索引中未找到
[跳过] SymGetSourceFileFromToken：Learn 索引中未找到
[跳过] SymGetSourceFileFromTokenByTokenName：Learn 索引中未找到
[跳过] SymGetSourceFileFromTokenW：Learn 索引中未找到
[跳过] SymGetSourceFileFromTokenByTokenNameW：Learn 索引中未找到
[跳过] SymGetSourceVarFromToken：Learn 索引中未找到
[跳过] SymGetSourceVarFromTokenW：Learn 索引中未找到
[跳过] SymEnumSourceFileTokens：Learn 索引中未找到
[跳过] SymInitialize：Learn 索引中未找到
[跳过] SymInitializeW：Learn 索引中未找到
[跳过] SymGetSearchPath：Learn 索引中未找到
[跳过] SymGetSearchPathW：Learn 索引中未找到
[跳过] SymSetSearchPath：Learn 索引中未找到
[跳过] SymSetSearchPathW：Learn 索引中未找到
[跳过] SymLoadModuleEx：Learn 索引中未找到
[跳过] SymLoadModuleExW：Learn 索引中未找到
[跳过] SymUnloadModule64：Learn 索引中未找到
[跳过] SymUnDName64：Learn 索引中未找到
[跳过] SymRegisterCallback64：Learn 索引中未找到
[跳过] SymRegisterCallbackW64：Learn 索引中未找到
[跳过] SymRegisterFunctionEntryCallback64：Learn 索引中未找到
[跳过] SymSetContext：Learn 索引中未找到
[跳过] SymSetScopeFromAddr：Learn 索引中未找到
[跳过] SymSetScopeFromInlineContext：Learn 索引中未找到
[跳过] SymSetScopeFromIndex：Learn 索引中未找到
[跳过] SymEnumProcesses：Learn 索引中未找到
[跳过] SymFromAddr：Learn 索引中未找到
[跳过] SymFromAddrW：Learn 索引中未找到
[跳过] SymFromInlineContext：Learn 索引中未找到
[跳过] SymFromInlineContextW：Learn 索引中未找到
[跳过] SymFromToken：Learn 索引中未找到
[跳过] SymFromTokenW：Learn 索引中未找到
[跳过] SymNext：Learn 索引中未找到
[跳过] SymNextW：Learn 索引中未找到
[跳过] SymPrev：Learn 索引中未找到
[跳过] SymPrevW：Learn 索引中未找到
[跳过] SymFromName：Learn 索引中未找到
[跳过] SymFromNameW：Learn 索引中未找到
[跳过] SymEnumSymbols：Learn 索引中未找到
[跳过] SymEnumSymbolsEx：Learn 索引中未找到
[跳过] SymEnumSymbolsW：Learn 索引中未找到
[跳过] SymEnumSymbolsExW：Learn 索引中未找到
[跳过] SymEnumSymbolsForAddr：Learn 索引中未找到
[跳过] SymEnumSymbolsForAddrW：Learn 索引中未找到
[跳过] SymSearch：Learn 索引中未找到
[跳过] SymSearchW：Learn 索引中未找到
[跳过] SymGetScope：Learn 索引中未找到
[跳过] SymGetScopeW：Learn 索引中未找到
[跳过] SymFromIndex：Learn 索引中未找到
[跳过] SymFromIndexW：Learn 索引中未找到
[跳过] SymGetTypeInfo：Learn 索引中未找到
[跳过] SymGetTypeInfoEx：Learn 索引中未找到
[跳过] SymEnumTypes：Learn 索引中未找到
[跳过] SymEnumTypesW：Learn 索引中未找到
[跳过] SymEnumTypesByName：Learn 索引中未找到
[跳过] SymEnumTypesByNameW：Learn 索引中未找到
[跳过] SymGetTypeFromName：Learn 索引中未找到
[跳过] SymGetTypeFromNameW：Learn 索引中未找到
[跳过] SymAddSymbol：Learn 索引中未找到
[跳过] SymAddSymbolW：Learn 索引中未找到
[跳过] SymDeleteSymbol：Learn 索引中未找到
[跳过] SymDeleteSymbolW：Learn 索引中未找到
[跳过] SymRefreshModuleList：Learn 索引中未找到
[跳过] SymAddSourceStream：Learn 索引中未找到
[跳过] SymAddSourceStreamA：Learn 索引中未找到
[跳过] SymAddSourceStreamW：Learn 索引中未找到
[跳过] SymSrvIsStoreW：Learn 索引中未找到
[跳过] SymSrvIsStore：Learn 索引中未找到
[跳过] SymSrvDeltaName：Learn 索引中未找到
[跳过] SymSrvDeltaNameW：Learn 索引中未找到
[跳过] SymSrvGetSupplement：Learn 索引中未找到
[跳过] SymSrvGetSupplementW：Learn 索引中未找到
[跳过] SymSrvGetFileIndexes：Learn 索引中未找到
[跳过] SymSrvGetFileIndexesW：Learn 索引中未找到
[跳过] SymSrvGetFileIndexStringW：Learn 索引中未找到
[跳过] SymSrvGetFileIndexString：Learn 索引中未找到
