从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：192 个
[跳过] FwpmFreeMemory0：Learn 索引中未找到
[跳过] FwpmEngineOpen0：Learn 索引中未找到
[跳过] FwpmEngineClose0：Learn 索引中未找到
[跳过] FwpmEngineGetOption0：Learn 索引中未找到
[跳过] FwpmEngineSetOption0：Learn 索引中未找到
[跳过] FwpmEngineGetSecurityInfo0：Learn 索引中未找到
[跳过] FwpmEngineSetSecurityInfo0：Learn 索引中未找到
[跳过] FwpmSessionCreateEnumHandle0：Learn 索引中未找到
[跳过] FwpmSessionEnum0：Learn 索引中未找到
[跳过] FwpmSessionDestroyEnumHandle0：Learn 索引中未找到
[跳过] FwpmTransactionBegin0：Learn 索引中未找到
[跳过] FwpmTransactionCommit0：Learn 索引中未找到
[跳过] FwpmTransactionAbort0：Learn 索引中未找到
[跳过] FwpmProviderAdd0：Learn 索引中未找到
[跳过] FwpmProviderDeleteByKey0：Learn 索引中未找到
[跳过] FwpmProviderGetByKey0：Learn 索引中未找到
[跳过] FwpmProviderCreateEnumHandle0：Learn 索引中未找到
[跳过] FwpmProviderEnum0：Learn 索引中未找到
[跳过] FwpmProviderDestroyEnumHandle0：Learn 索引中未找到
[跳过] FwpmProviderGetSecurityInfoByKey0：Learn 索引中未找到
[跳过] FwpmProviderSetSecurityInfoByKey0：Learn 索引中未找到
[跳过] FwpmProviderSubscribeChanges0：Learn 索引中未找到
[跳过] FwpmProviderUnsubscribeChanges0：Learn 索引中未找到
[跳过] FwpmProviderSubscriptionsGet0：Learn 索引中未找到
[跳过] FwpmProviderContextAdd0：Learn 索引中未找到
[跳过] FwpmProviderContextAdd1：Learn 索引中未找到
[跳过] FwpmProviderContextAdd2：Learn 索引中未找到
[跳过] FwpmProviderContextAdd3：Learn 索引中未找到
[跳过] FwpmProviderContextDeleteById0：Learn 索引中未找到
[跳过] FwpmProviderContextDeleteByKey0：Learn 索引中未找到
[跳过] FwpmProviderContextGetById0：Learn 索引中未找到
[跳过] FwpmProviderContextGetById1：Learn 索引中未找到
[跳过] FwpmProviderContextGetById2：Learn 索引中未找到
[跳过] FwpmProviderContextGetById3：Learn 索引中未找到
[跳过] FwpmProviderContextGetByKey0：Learn 索引中未找到
[跳过] FwpmProviderContextGetByKey1：Learn 索引中未找到
[跳过] FwpmProviderContextGetByKey2：Learn 索引中未找到
