从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：1025 个
[跳过] utf8_nextCharSafeBody：Learn 索引中未找到
[跳过] utf8_appendCharSafeBody：Learn 索引中未找到
[跳过] utf8_prevCharSafeBody：Learn 索引中未找到
[跳过] utf8_back1SafeBody：Learn 索引中未找到
[跳过] u_versionFromString：Learn 索引中未找到
[跳过] u_versionFromUString：Learn 索引中未找到
[跳过] u_versionToString：Learn 索引中未找到
[跳过] u_getVersion：Learn 索引中未找到
[跳过] u_errorName：Learn 索引中未找到
[跳过] utrace_setLevel：Learn 索引中未找到
[跳过] utrace_getLevel：Learn 索引中未找到
[跳过] utrace_setFunctions：Learn 索引中未找到
[跳过] utrace_getFunctions：Learn 索引中未找到
[跳过] utrace_vformat：Learn 索引中未找到
[跳过] utrace_format：Learn 索引中未找到
[跳过] utrace_functionName：Learn 索引中未找到
[跳过] u_shapeArabic：Learn 索引中未找到
[跳过] uscript_getCode：Learn 索引中未找到
[跳过] uscript_getName：Learn 索引中未找到
[跳过] uscript_getShortName：Learn 索引中未找到
[跳过] uscript_getScript：Learn 索引中未找到
[跳过] uscript_hasScript：Learn 索引中未找到
[跳过] uscript_getScriptExtensions：Learn 索引中未找到
[跳过] uscript_getSampleString：Learn 索引中未找到
[跳过] uscript_getUsage：Learn 索引中未找到
[跳过] uscript_isRightToLeft：Learn 索引中未找到
[跳过] uscript_breaksBetweenLetters：Learn 索引中未找到
[跳过] uscript_isCased：Learn 索引中未找到
[跳过] uiter_current32：Learn 索引中未找到
[跳过] uiter_next32：Learn 索引中未找到
[跳过] uiter_previous32：Learn 索引中未找到
[跳过] uiter_getState：Learn 索引中未找到
[跳过] uiter_setState：Learn 索引中未找到
[跳过] uiter_setString：Learn 索引中未找到
[跳过] uiter_setUTF16BE：Learn 索引中未找到
[跳过] uiter_setUTF8：Learn 索引中未找到
[跳过] uenum_close：Learn 索引中未找到
[跳过] uenum_count：Learn 索引中未找到
[跳过] uenum_unext：Learn 索引中未找到
[跳过] uenum_next：Learn 索引中未找到
[跳过] uenum_reset：Learn 索引中未找到
[跳过] uenum_openUCharStringsEnumeration：Learn 索引中未找到
[跳过] uenum_openCharStringsEnumeration：Learn 索引中未找到
[跳过] uloc_getDefault：Learn 索引中未找到
[跳过] uloc_setDefault：Learn 索引中未找到
[跳过] uloc_getLanguage：Learn 索引中未找到
[跳过] uloc_getScript：Learn 索引中未找到
[跳过] uloc_getCountry：Learn 索引中未找到
[跳过] uloc_getVariant：Learn 索引中未找到
[跳过] uloc_getName：Learn 索引中未找到
[跳过] uloc_canonicalize：Learn 索引中未找到
[跳过] uloc_getISO3Language：Learn 索引中未找到
[跳过] uloc_getISO3Country：Learn 索引中未找到
[跳过] uloc_getLCID：Learn 索引中未找到
[跳过] uloc_getDisplayLanguage：Learn 索引中未找到
[跳过] uloc_getDisplayScript：Learn 索引中未找到
[跳过] uloc_getDisplayCountry：Learn 索引中未找到
[跳过] uloc_getDisplayVariant：Learn 索引中未找到
[跳过] uloc_getDisplayKeyword：Learn 索引中未找到
[跳过] uloc_getDisplayKeywordValue：Learn 索引中未找到
[跳过] uloc_getDisplayName：Learn 索引中未找到
[跳过] uloc_getAvailable：Learn 索引中未找到
[跳过] uloc_countAvailable：Learn 索引中未找到
[跳过] uloc_openAvailableByType：Learn 索引中未找到
[跳过] uloc_getISOLanguages：Learn 索引中未找到
[跳过] uloc_getISOCountries：Learn 索引中未找到
[跳过] uloc_getParent：Learn 索引中未找到
[跳过] uloc_getBaseName：Learn 索引中未找到
[跳过] uloc_openKeywords：Learn 索引中未找到
[跳过] uloc_getKeywordValue：Learn 索引中未找到
[跳过] uloc_setKeywordValue：Learn 索引中未找到
[跳过] uloc_isRightToLeft：Learn 索引中未找到
[跳过] uloc_getCharacterOrientation：Learn 索引中未找到
[跳过] uloc_getLineOrientation：Learn 索引中未找到
[跳过] uloc_acceptLanguageFromHTTP：Learn 索引中未找到
[跳过] uloc_acceptLanguage：Learn 索引中未找到
[跳过] uloc_getLocaleForLCID：Learn 索引中未找到
[跳过] uloc_addLikelySubtags：Learn 索引中未找到
[跳过] uloc_minimizeSubtags：Learn 索引中未找到
[跳过] uloc_forLanguageTag：Learn 索引中未找到
[跳过] uloc_toLanguageTag：Learn 索引中未找到
[跳过] uloc_toUnicodeLocaleKey：Learn 索引中未找到
[跳过] uloc_toUnicodeLocaleType：Learn 索引中未找到
[跳过] uloc_toLegacyKey：Learn 索引中未找到
[跳过] uloc_toLegacyType：Learn 索引中未找到
[跳过] ures_open：Learn 索引中未找到
[跳过] ures_openDirect：Learn 索引中未找到
[跳过] ures_openU：Learn 索引中未找到
[跳过] ures_close：Learn 索引中未找到
[跳过] ures_getVersion：Learn 索引中未找到
[跳过] ures_getLocaleByType：Learn 索引中未找到
[跳过] ures_getString：Learn 索引中未找到
[跳过] ures_getUTF8String：Learn 索引中未找到
[跳过] ures_getBinary：Learn 索引中未找到
[跳过] ures_getIntVector：Learn 索引中未找到
[跳过] ures_getUInt：Learn 索引中未找到
[跳过] ures_getInt：Learn 索引中未找到
[跳过] ures_getSize：Learn 索引中未找到
[跳过] ures_getType：Learn 索引中未找到
[跳过] ures_getKey：Learn 索引中未找到
[跳过] ures_resetIterator：Learn 索引中未找到
[跳过] ures_hasNext：Learn 索引中未找到
[跳过] ures_getNextResource：Learn 索引中未找到
[跳过] ures_getNextString：Learn 索引中未找到
[跳过] ures_getByIndex：Learn 索引中未找到
[跳过] ures_getStringByIndex：Learn 索引中未找到
[跳过] ures_getUTF8StringByIndex：Learn 索引中未找到
[跳过] ures_getByKey：Learn 索引中未找到
[跳过] ures_getStringByKey：Learn 索引中未找到
[跳过] ures_getUTF8StringByKey：Learn 索引中未找到
[跳过] ures_openAvailableLocales：Learn 索引中未找到
[跳过] uldn_open：Learn 索引中未找到
[跳过] uldn_close：Learn 索引中未找到
[跳过] uldn_getLocale：Learn 索引中未找到
[跳过] uldn_getDialectHandling：Learn 索引中未找到
[跳过] uldn_localeDisplayName：Learn 索引中未找到
[跳过] uldn_languageDisplayName：Learn 索引中未找到
[跳过] uldn_scriptDisplayName：Learn 索引中未找到
[跳过] uldn_scriptCodeDisplayName：Learn 索引中未找到
[跳过] uldn_regionDisplayName：Learn 索引中未找到
[跳过] uldn_variantDisplayName：Learn 索引中未找到
[跳过] uldn_keyDisplayName：Learn 索引中未找到
[跳过] uldn_keyValueDisplayName：Learn 索引中未找到
[跳过] uldn_openForContext：Learn 索引中未找到
[跳过] uldn_getContext：Learn 索引中未找到
[跳过] ucurr_forLocale：Learn 索引中未找到
[跳过] ucurr_register：Learn 索引中未找到
[跳过] ucurr_unregister：Learn 索引中未找到
[跳过] ucurr_getName：Learn 索引中未找到
[跳过] ucurr_getPluralName：Learn 索引中未找到
[跳过] ucurr_getDefaultFractionDigits：Learn 索引中未找到
[跳过] ucurr_getDefaultFractionDigitsForUsage：Learn 索引中未找到
