从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：79 个
[跳过] SpoolerCopyFileEvent：Learn 索引中未找到
[跳过] GenerateCopyFilePaths：Learn 索引中未找到
[跳过] OpenColorProfileA：Learn 索引中未找到
[跳过] OpenColorProfileW：Learn 索引中未找到
[跳过] CloseColorProfile：Learn 索引中未找到
[跳过] GetColorProfileFromHandle：Learn 索引中未找到
[跳过] IsColorProfileValid：Learn 索引中未找到
[跳过] CreateProfileFromLogColorSpaceA：Learn 索引中未找到
[跳过] CreateProfileFromLogColorSpaceW：Learn 索引中未找到
[跳过] GetCountColorProfileElements：Learn 索引中未找到
[跳过] GetColorProfileHeader：Learn 索引中未找到
[跳过] GetColorProfileElementTag：Learn 索引中未找到
[跳过] IsColorProfileTagPresent：Learn 索引中未找到
[跳过] GetColorProfileElement：Learn 索引中未找到
[跳过] SetColorProfileHeader：Learn 索引中未找到
[跳过] SetColorProfileElementSize：Learn 索引中未找到
[跳过] SetColorProfileElement：Learn 索引中未找到
[跳过] SetColorProfileElementReference：Learn 索引中未找到
[跳过] GetPS2ColorSpaceArray：Learn 索引中未找到
[跳过] GetPS2ColorRenderingIntent：Learn 索引中未找到
[跳过] GetPS2ColorRenderingDictionary：Learn 索引中未找到
[跳过] GetNamedProfileInfo：Learn 索引中未找到
[跳过] ConvertColorNameToIndex：Learn 索引中未找到
[跳过] ConvertIndexToColorName：Learn 索引中未找到
[跳过] CreateDeviceLinkProfile：Learn 索引中未找到
[跳过] CreateColorTransformA：Learn 索引中未找到
[跳过] CreateColorTransformW：Learn 索引中未找到
[跳过] CreateMultiProfileTransform：Learn 索引中未找到
[跳过] DeleteColorTransform：Learn 索引中未找到
[跳过] TranslateBitmapBits：Learn 索引中未找到
[跳过] CheckBitmapBits：Learn 索引中未找到
[跳过] TranslateColors：Learn 索引中未找到
[跳过] CheckColors：Learn 索引中未找到
[跳过] GetCMMInfo：Learn 索引中未找到
[跳过] RegisterCMMA：Learn 索引中未找到
[跳过] RegisterCMMW：Learn 索引中未找到
[跳过] UnregisterCMMA：Learn 索引中未找到
[跳过] UnregisterCMMW：Learn 索引中未找到
[跳过] SelectCMM：Learn 索引中未找到
[跳过] GetColorDirectoryA：Learn 索引中未找到
[跳过] GetColorDirectoryW：Learn 索引中未找到
[跳过] InstallColorProfileA：Learn 索引中未找到
[跳过] InstallColorProfileW：Learn 索引中未找到
[跳过] UninstallColorProfileA：Learn 索引中未找到
[跳过] UninstallColorProfileW：Learn 索引中未找到
[跳过] EnumColorProfilesA：Learn 索引中未找到
[跳过] EnumColorProfilesW：Learn 索引中未找到
[跳过] SetStandardColorSpaceProfileA：Learn 索引中未找到
[跳过] SetStandardColorSpaceProfileW：Learn 索引中未找到
[跳过] GetStandardColorSpaceProfileA：Learn 索引中未找到
[跳过] GetStandardColorSpaceProfileW：Learn 索引中未找到
[跳过] AssociateColorProfileWithDeviceA：Learn 索引中未找到
[跳过] AssociateColorProfileWithDeviceW：Learn 索引中未找到
[跳过] DisassociateColorProfileFromDeviceA：Learn 索引中未找到
[跳过] DisassociateColorProfileFromDeviceW：Learn 索引中未找到
[跳过] WcsAssociateColorProfileWithDevice：Learn 索引中未找到
[跳过] WcsDisassociateColorProfileFromDevice：Learn 索引中未找到
[跳过] WcsEnumColorProfilesSize：Learn 索引中未找到
[跳过] WcsEnumColorProfiles：Learn 索引中未找到
[跳过] WcsGetDefaultColorProfileSize：Learn 索引中未找到
[跳过] WcsGetDefaultColorProfile：Learn 索引中未找到
[跳过] WcsSetDefaultColorProfile：Learn 索引中未找到
[跳过] WcsSetDefaultRenderingIntent：Learn 索引中未找到
[跳过] WcsGetDefaultRenderingIntent：Learn 索引中未找到
[跳过] WcsGetUsePerUserProfiles：Learn 索引中未找到
[跳过] WcsSetUsePerUserProfiles：Learn 索引中未找到
[跳过] WcsTranslateColors：Learn 索引中未找到
[跳过] WcsCheckColors：Learn 索引中未找到
[跳过] WcsOpenColorProfileA：Learn 索引中未找到
[跳过] WcsOpenColorProfileW：Learn 索引中未找到
[跳过] WcsCreateIccProfile：Learn 索引中未找到
[跳过] WcsGetCalibrationManagementState：Learn 索引中未找到
[跳过] WcsSetCalibrationManagementState：Learn 索引中未找到
[跳过] ColorProfileAddDisplayAssociation：Learn 索引中未找到
[跳过] ColorProfileRemoveDisplayAssociation：Learn 索引中未找到
[跳过] ColorProfileSetDisplayDefaultAssociation：Learn 索引中未找到
[跳过] ColorProfileGetDisplayList：Learn 索引中未找到
[跳过] ColorProfileGetDisplayDefault：Learn 索引中未找到
[跳过] ColorProfileGetDisplayUserScope：Learn 索引中未找到

完成：处理 0，跳过(已存在) 0，索引缺失 79，失败 0
