从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：84 个
[跳过] DRMSetGlobalOptions：Learn 索引中未找到
[跳过] DRMGetClientVersion：Learn 索引中未找到
[跳过] DRMInitEnvironment：Learn 索引中未找到
[跳过] DRMLoadLibrary：Learn 索引中未找到
[跳过] DRMCreateEnablingPrincipal：Learn 索引中未找到
[跳过] DRMCloseHandle：Learn 索引中未找到
[跳过] DRMCloseEnvironmentHandle：Learn 索引中未找到
[跳过] DRMDuplicateHandle：Learn 索引中未找到
[跳过] DRMDuplicateEnvironmentHandle：Learn 索引中未找到
[跳过] DRMRegisterRevocationList：Learn 索引中未找到
[跳过] DRMCheckSecurity：Learn 索引中未找到
[跳过] DRMRegisterContent：Learn 索引中未找到
[跳过] DRMEncrypt：Learn 索引中未找到
[跳过] DRMDecrypt：Learn 索引中未找到
[跳过] DRMCreateBoundLicense：Learn 索引中未找到
[跳过] DRMCreateEnablingBitsDecryptor：Learn 索引中未找到
[跳过] DRMCreateEnablingBitsEncryptor：Learn 索引中未找到
[跳过] DRMAttest：Learn 索引中未找到
[跳过] DRMGetTime：Learn 索引中未找到
[跳过] DRMGetInfo：Learn 索引中未找到
[跳过] DRMGetEnvironmentInfo：Learn 索引中未找到
[跳过] DRMGetProcAddress：Learn 索引中未找到
[跳过] DRMGetBoundLicenseObjectCount：Learn 索引中未找到
[跳过] DRMGetBoundLicenseObject：Learn 索引中未找到
[跳过] DRMGetBoundLicenseAttributeCount：Learn 索引中未找到
[跳过] DRMGetBoundLicenseAttribute：Learn 索引中未找到
[跳过] DRMCreateClientSession：Learn 索引中未找到
[跳过] DRMIsActivated：Learn 索引中未找到
[跳过] DRMActivate：Learn 索引中未找到
[跳过] DRMGetServiceLocation：Learn 索引中未找到
[跳过] DRMCreateLicenseStorageSession：Learn 索引中未找到
[跳过] DRMAddLicense：Learn 索引中未找到
[跳过] DRMAcquireAdvisories：Learn 索引中未找到
[跳过] DRMEnumerateLicense：Learn 索引中未找到
[跳过] DRMAcquireLicense：Learn 索引中未找到
[跳过] DRMDeleteLicense：Learn 索引中未找到
[跳过] DRMCloseSession：Learn 索引中未找到
[跳过] DRMDuplicateSession：Learn 索引中未找到
[跳过] DRMGetSecurityProvider：Learn 索引中未找到
[跳过] DRMEncode：Learn 索引中未找到
[跳过] DRMDecode：Learn 索引中未找到
[跳过] DRMConstructCertificateChain：Learn 索引中未找到
[跳过] DRMParseUnboundLicense：Learn 索引中未找到
[跳过] DRMCloseQueryHandle：Learn 索引中未找到
[跳过] DRMGetUnboundLicenseObjectCount：Learn 索引中未找到
[跳过] DRMGetUnboundLicenseObject：Learn 索引中未找到
[跳过] DRMGetUnboundLicenseAttributeCount：Learn 索引中未找到
[跳过] DRMGetUnboundLicenseAttribute：Learn 索引中未找到
[跳过] DRMGetCertificateChainCount：Learn 索引中未找到
[跳过] DRMDeconstructCertificateChain：Learn 索引中未找到
[跳过] DRMVerify：Learn 索引中未找到
[跳过] DRMCreateUser：Learn 索引中未找到
[跳过] DRMCreateRight：Learn 索引中未找到
[跳过] DRMCreateIssuanceLicense：Learn 索引中未找到
[跳过] DRMAddRightWithUser：Learn 索引中未找到
[跳过] DRMClearAllRights：Learn 索引中未找到
[跳过] DRMSetMetaData：Learn 索引中未找到
[跳过] DRMSetUsagePolicy：Learn 索引中未找到
[跳过] DRMSetRevocationPoint：Learn 索引中未找到
[跳过] DRMSetApplicationSpecificData：Learn 索引中未找到
[跳过] DRMSetNameAndDescription：Learn 索引中未找到
[跳过] DRMSetIntervalTime：Learn 索引中未找到
[跳过] DRMGetIssuanceLicenseTemplate：Learn 索引中未找到
[跳过] DRMGetSignedIssuanceLicense：Learn 索引中未找到
[跳过] DRMGetSignedIssuanceLicenseEx：Learn 索引中未找到
[跳过] DRMClosePubHandle：Learn 索引中未找到
[跳过] DRMDuplicatePubHandle：Learn 索引中未找到
[跳过] DRMGetUserInfo：Learn 索引中未找到
[跳过] DRMGetRightInfo：Learn 索引中未找到
[跳过] DRMGetRightExtendedInfo：Learn 索引中未找到
[跳过] DRMGetUsers：Learn 索引中未找到
[跳过] DRMGetUserRights：Learn 索引中未找到
[跳过] DRMGetMetaData：Learn 索引中未找到
[跳过] DRMGetApplicationSpecificData：Learn 索引中未找到
[跳过] DRMGetIssuanceLicenseInfo：Learn 索引中未找到
[跳过] DRMGetRevocationPoint：Learn 索引中未找到
[跳过] DRMGetUsagePolicy：Learn 索引中未找到
[跳过] DRMGetNameAndDescription：Learn 索引中未找到
[跳过] DRMGetOwnerLicense：Learn 索引中未找到
[跳过] DRMGetIntervalTime：Learn 索引中未找到
[跳过] DRMRepair：Learn 索引中未找到
[跳过] DRMRegisterProtectedWindow：Learn 索引中未找到
[跳过] DRMIsWindowProtected：Learn 索引中未找到
[跳过] DRMAcquireIssuanceLicenseTemplate：Learn 索引中未找到

完成：处理 0，跳过(已存在) 0，索引缺失 84，失败 0
