从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：264 个
[写入] MsiCloseHandle（5 条文档条目）
[写入] MsiCloseAllHandles（4 条文档条目）
[写入] MsiSetInternalUI（5 条文档条目）
[写入] MsiSetExternalUIA（5 条文档条目）
[写入] MsiSetExternalUIW（5 条文档条目）
[写入] MsiSetExternalUIRecord（5 条文档条目）
[写入] MsiEnableLogA（5 条文档条目）
[写入] MsiEnableLogW（5 条文档条目）
[写入] MsiQueryProductStateA（5 条文档条目）
[写入] MsiQueryProductStateW（5 条文档条目）
[写入] MsiGetProductInfoA（5 条文档条目）
[写入] MsiGetProductInfoW（5 条文档条目）
[写入] MsiGetProductInfoExA（5 条文档条目）
[写入] MsiGetProductInfoExW（5 条文档条目）
[写入] MsiInstallProductA（5 条文档条目）
[写入] MsiInstallProductW（5 条文档条目）
[写入] MsiConfigureProductA（5 条文档条目）
[写入] MsiConfigureProductW（5 条文档条目）
[写入] MsiConfigureProductExA（5 条文档条目）
[写入] MsiConfigureProductExW（5 条文档条目）
[写入] MsiReinstallProductA（5 条文档条目）
[写入] MsiReinstallProductW（5 条文档条目）
[写入] MsiAdvertiseProductExA（5 条文档条目）
[写入] MsiAdvertiseProductExW（5 条文档条目）
[写入] MsiAdvertiseProductA（5 条文档条目）
[写入] MsiAdvertiseProductW（5 条文档条目）
[写入] MsiProcessAdvertiseScriptA（5 条文档条目）
[写入] MsiProcessAdvertiseScriptW（5 条文档条目）
[写入] MsiAdvertiseScriptA（5 条文档条目）
[写入] MsiAdvertiseScriptW（5 条文档条目）
[写入] MsiGetProductInfoFromScriptA（5 条文档条目）
[写入] MsiGetProductInfoFromScriptW（5 条文档条目）
[写入] MsiGetProductCodeA（5 条文档条目）
[写入] MsiGetProductCodeW（5 条文档条目）
[写入] MsiGetUserInfoA（5 条文档条目）
[写入] MsiGetUserInfoW（5 条文档条目）
[写入] MsiCollectUserInfoA（5 条文档条目）
[写入] MsiCollectUserInfoW（5 条文档条目）
[写入] MsiApplyPatchA（5 条文档条目）
[写入] MsiApplyPatchW（5 条文档条目）
[写入] MsiGetPatchInfoA（5 条文档条目）
[写入] MsiGetPatchInfoW（5 条文档条目）
[写入] MsiEnumPatchesA（5 条文档条目）
[写入] MsiEnumPatchesW（5 条文档条目）
[写入] MsiRemovePatchesA（5 条文档条目）
[写入] MsiRemovePatchesW（5 条文档条目）
[写入] MsiExtractPatchXMLDataA（5 条文档条目）
[写入] MsiExtractPatchXMLDataW（5 条文档条目）
[写入] MsiGetPatchInfoExA（5 条文档条目）
[写入] MsiGetPatchInfoExW（5 条文档条目）
[写入] MsiApplyMultiplePatchesA（5 条文档条目）
[写入] MsiApplyMultiplePatchesW（5 条文档条目）
[写入] MsiDeterminePatchSequenceA（5 条文档条目）
[写入] MsiDeterminePatchSequenceW（5 条文档条目）
[写入] MsiDetermineApplicablePatchesA（5 条文档条目）
[写入] MsiDetermineApplicablePatchesW（5 条文档条目）
[写入] MsiEnumPatchesExA（5 条文档条目）
[写入] MsiEnumPatchesExW（5 条文档条目）
[写入] MsiQueryFeatureStateA（5 条文档条目）
[写入] MsiQueryFeatureStateW（5 条文档条目）
[写入] MsiQueryFeatureStateExA（5 条文档条目）
[写入] MsiQueryFeatureStateExW（5 条文档条目）
[写入] MsiUseFeatureA（5 条文档条目）
[写入] MsiUseFeatureW（5 条文档条目）
[写入] MsiUseFeatureExA（5 条文档条目）
[写入] MsiUseFeatureExW（5 条文档条目）
[写入] MsiGetFeatureUsageA（5 条文档条目）
[写入] MsiGetFeatureUsageW（5 条文档条目）
[写入] MsiConfigureFeatureA（5 条文档条目）
[写入] MsiConfigureFeatureW（5 条文档条目）
[写入] MsiReinstallFeatureA（5 条文档条目）
[写入] MsiReinstallFeatureW（5 条文档条目）
[写入] MsiProvideComponentA（5 条文档条目）
[写入] MsiProvideComponentW（5 条文档条目）
[写入] MsiProvideQualifiedComponentA（5 条文档条目）
[写入] MsiProvideQualifiedComponentW（5 条文档条目）
[写入] MsiProvideQualifiedComponentExA（5 条文档条目）
[写入] MsiProvideQualifiedComponentExW（5 条文档条目）
[写入] MsiGetComponentPathA（5 条文档条目）
[写入] MsiGetComponentPathW（5 条文档条目）
[写入] MsiGetComponentPathExA（5 条文档条目）
[写入] MsiGetComponentPathExW（5 条文档条目）
[写入] MsiProvideAssemblyA（5 条文档条目）
[写入] MsiProvideAssemblyW（5 条文档条目）
[写入] MsiQueryComponentStateA（5 条文档条目）
[写入] MsiQueryComponentStateW（5 条文档条目）
[写入] MsiEnumProductsA（5 条文档条目）
[写入] MsiEnumProductsW（5 条文档条目）
[写入] MsiEnumProductsExA（5 条文档条目）
[写入] MsiEnumProductsExW（5 条文档条目）
[写入] MsiEnumRelatedProductsA（5 条文档条目）
[写入] MsiEnumRelatedProductsW（5 条文档条目）
[写入] MsiEnumFeaturesA（5 条文档条目）
[写入] MsiEnumFeaturesW（5 条文档条目）
[写入] MsiEnumComponentsA（5 条文档条目）
[写入] MsiEnumComponentsW（5 条文档条目）
[写入] MsiEnumComponentsExA（5 条文档条目）
[写入] MsiEnumComponentsExW（5 条文档条目）
[写入] MsiEnumClientsA（5 条文档条目）
[写入] MsiEnumClientsW（5 条文档条目）
[写入] MsiEnumClientsExA（5 条文档条目）
[写入] MsiEnumClientsExW（5 条文档条目）
[写入] MsiEnumComponentQualifiersA（5 条文档条目）
[写入] MsiEnumComponentQualifiersW（5 条文档条目）
[写入] MsiOpenProductA（5 条文档条目）
[写入] MsiOpenProductW（5 条文档条目）
[写入] MsiOpenPackageA（5 条文档条目）
[写入] MsiOpenPackageW（5 条文档条目）
[写入] MsiOpenPackageExA（5 条文档条目）
[写入] MsiOpenPackageExW（5 条文档条目）
[写入] MsiGetPatchFileListA（5 条文档条目）
[写入] MsiGetPatchFileListW（5 条文档条目）
[写入] MsiGetProductPropertyA（5 条文档条目）
[写入] MsiGetProductPropertyW（5 条文档条目）
[写入] MsiVerifyPackageA（5 条文档条目）
[写入] MsiVerifyPackageW（5 条文档条目）
[写入] MsiGetFeatureInfoA（5 条文档条目）
[写入] MsiGetFeatureInfoW（5 条文档条目）
[写入] MsiInstallMissingComponentA（5 条文档条目）
[写入] MsiInstallMissingComponentW（5 条文档条目）
[写入] MsiInstallMissingFileA（5 条文档条目）
[写入] MsiInstallMissingFileW（5 条文档条目）
[写入] MsiLocateComponentA（5 条文档条目）
[写入] MsiLocateComponentW（5 条文档条目）
[写入] MsiSourceListClearAllA（5 条文档条目）
[写入] MsiSourceListClearAllW（5 条文档条目）
[写入] MsiSourceListAddSourceA（5 条文档条目）
[写入] MsiSourceListAddSourceW（5 条文档条目）
[写入] MsiSourceListForceResolutionA（5 条文档条目）
[写入] MsiSourceListForceResolutionW（5 条文档条目）
[写入] MsiSourceListAddSourceExA（5 条文档条目）
[写入] MsiSourceListAddSourceExW（5 条文档条目）
[写入] MsiSourceListAddMediaDiskA（5 条文档条目）
[写入] MsiSourceListAddMediaDiskW（5 条文档条目）
[写入] MsiSourceListClearSourceA（5 条文档条目）
[写入] MsiSourceListClearSourceW（5 条文档条目）
[写入] MsiSourceListClearMediaDiskA（5 条文档条目）
[写入] MsiSourceListClearMediaDiskW（5 条文档条目）
[写入] MsiSourceListClearAllExA（5 条文档条目）
[写入] MsiSourceListClearAllExW（5 条文档条目）
[写入] MsiSourceListForceResolutionExA（5 条文档条目）
[写入] MsiSourceListForceResolutionExW（5 条文档条目）
[写入] MsiSourceListSetInfoA（5 条文档条目）
[写入] MsiSourceListSetInfoW（5 条文档条目）
[写入] MsiSourceListGetInfoA（5 条文档条目）
[写入] MsiSourceListGetInfoW（5 条文档条目）
[写入] MsiSourceListEnumSourcesA（5 条文档条目）
[写入] MsiSourceListEnumSourcesW（5 条文档条目）
[写入] MsiSourceListEnumMediaDisksA（5 条文档条目）
[写入] MsiSourceListEnumMediaDisksW（5 条文档条目）
[写入] MsiGetFileVersionA（5 条文档条目）
[写入] MsiGetFileVersionW（5 条文档条目）
[写入] MsiGetFileHashA（5 条文档条目）
[写入] MsiGetFileHashW（5 条文档条目）
[写入] MsiGetFileSignatureInformationA（5 条文档条目）
[写入] MsiGetFileSignatureInformationW（5 条文档条目）
[写入] MsiGetShortcutTargetA（5 条文档条目）
[写入] MsiGetShortcutTargetW（5 条文档条目）
[写入] MsiIsProductElevatedA（5 条文档条目）
[写入] MsiIsProductElevatedW（5 条文档条目）
[写入] MsiNotifySidChangeA（5 条文档条目）
[写入] MsiNotifySidChangeW（5 条文档条目）
[写入] MsiBeginTransactionA（5 条文档条目）
[写入] MsiBeginTransactionW（5 条文档条目）
[写入] MsiEndTransaction（4 条文档条目）
[写入] MsiJoinTransaction（5 条文档条目）
[写入] MsiDatabaseOpenViewA（5 条文档条目）
[写入] MsiDatabaseOpenViewW（5 条文档条目）
[写入] MsiViewGetErrorA（5 条文档条目）
[写入] MsiViewGetErrorW（5 条文档条目）
[写入] MsiViewExecute（5 条文档条目）
[写入] MsiViewFetch（5 条文档条目）
[写入] MsiViewModify（5 条文档条目）
[写入] MsiViewGetColumnInfo（5 条文档条目）
[写入] MsiViewClose（5 条文档条目）
[写入] MsiDatabaseGetPrimaryKeysA（5 条文档条目）
[写入] MsiDatabaseGetPrimaryKeysW（5 条文档条目）
[写入] MsiDatabaseIsTablePersistentA（5 条文档条目）
[写入] MsiDatabaseIsTablePersistentW（5 条文档条目）
[写入] MsiGetSummaryInformationA（5 条文档条目）
[写入] MsiGetSummaryInformationW（5 条文档条目）
[写入] MsiSummaryInfoGetPropertyCount（4 条文档条目）
[写入] MsiSummaryInfoSetPropertyA（5 条文档条目）
[写入] MsiSummaryInfoSetPropertyW（5 条文档条目）
[写入] MsiSummaryInfoGetPropertyA（5 条文档条目）
[写入] MsiSummaryInfoGetPropertyW（5 条文档条目）
[写入] MsiSummaryInfoPersist（4 条文档条目）
[写入] MsiOpenDatabaseA（5 条文档条目）
[写入] MsiOpenDatabaseW（5 条文档条目）
[写入] MsiDatabaseImportA（5 条文档条目）
[写入] MsiDatabaseImportW（5 条文档条目）
[写入] MsiDatabaseExportA（5 条文档条目）
