从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：317 个
[写入] CoRegisterMessageFilter（5 条文档条目）
[写入] CoGetInterceptor（4 条文档条目）
[跳过] CoGetInterceptorFromTypeInfo：Learn 索引中未找到
[写入] HWND_UserSize（3 条文档条目）
[写入] HWND_UserMarshal（3 条文档条目）
[写入] HWND_UserUnmarshal（3 条文档条目）
[写入] HWND_UserFree（4 条文档条目）
[写入] HWND_UserSize64（3 条文档条目）
[写入] HWND_UserMarshal64（3 条文档条目）
[写入] HWND_UserUnmarshal64（3 条文档条目）
[写入] HWND_UserFree64（4 条文档条目）
[写入] CLIPFORMAT_UserSize（3 条文档条目）
[写入] CLIPFORMAT_UserMarshal（3 条文档条目）
[写入] CLIPFORMAT_UserUnmarshal（3 条文档条目）
[写入] CLIPFORMAT_UserFree（3 条文档条目）
[写入] HBITMAP_UserSize（3 条文档条目）
[写入] HBITMAP_UserMarshal（3 条文档条目）
[写入] HBITMAP_UserUnmarshal（3 条文档条目）
[写入] HBITMAP_UserFree（4 条文档条目）
[写入] HDC_UserSize（3 条文档条目）
[写入] HDC_UserMarshal（3 条文档条目）
[写入] HDC_UserUnmarshal（3 条文档条目）
[写入] HDC_UserFree（4 条文档条目）
[跳过] HICON_UserSize：Learn 索引中未找到
[跳过] HICON_UserMarshal：Learn 索引中未找到
[跳过] HICON_UserUnmarshal：Learn 索引中未找到
[跳过] HICON_UserFree：Learn 索引中未找到
[跳过] SNB_UserSize：Learn 索引中未找到
[跳过] SNB_UserMarshal：Learn 索引中未找到
[跳过] SNB_UserUnmarshal：Learn 索引中未找到
[跳过] SNB_UserFree：Learn 索引中未找到
[写入] STGMEDIUM_UserSize（3 条文档条目）
[写入] STGMEDIUM_UserMarshal（3 条文档条目）
[写入] STGMEDIUM_UserUnmarshal（3 条文档条目）
[写入] STGMEDIUM_UserFree（4 条文档条目）
[写入] CLIPFORMAT_UserSize64（3 条文档条目）
[写入] CLIPFORMAT_UserMarshal64（3 条文档条目）
[写入] CLIPFORMAT_UserUnmarshal64（3 条文档条目）
[写入] CLIPFORMAT_UserFree64（4 条文档条目）
[写入] HBITMAP_UserSize64（3 条文档条目）
[写入] HBITMAP_UserMarshal64（3 条文档条目）
[写入] HBITMAP_UserUnmarshal64（3 条文档条目）
[写入] HBITMAP_UserFree64（4 条文档条目）
[写入] HDC_UserSize64（3 条文档条目）
[写入] HDC_UserMarshal64（3 条文档条目）
[写入] HDC_UserUnmarshal64（3 条文档条目）
[写入] HDC_UserFree64（4 条文档条目）
[跳过] HICON_UserSize64：Learn 索引中未找到
[跳过] HICON_UserMarshal64：Learn 索引中未找到
[跳过] HICON_UserUnmarshal64：Learn 索引中未找到
[跳过] HICON_UserFree64：Learn 索引中未找到
[跳过] SNB_UserSize64：Learn 索引中未找到
[跳过] SNB_UserMarshal64：Learn 索引中未找到
[跳过] SNB_UserUnmarshal64：Learn 索引中未找到
[跳过] SNB_UserFree64：Learn 索引中未找到
[写入] STGMEDIUM_UserSize64（3 条文档条目）
[写入] STGMEDIUM_UserMarshal64（3 条文档条目）
[写入] STGMEDIUM_UserUnmarshal64（3 条文档条目）
[写入] STGMEDIUM_UserFree64（4 条文档条目）
[写入] CoGetMarshalSizeMax（5 条文档条目）
[写入] CoMarshalInterface（5 条文档条目）
[写入] CoUnmarshalInterface（5 条文档条目）
[写入] CoMarshalHresult（5 条文档条目）
[写入] CoUnmarshalHresult（5 条文档条目）
[写入] CoReleaseMarshalData（5 条文档条目）
[写入] CoGetStandardMarshal（5 条文档条目）
[写入] CoGetStdMarshalEx（5 条文档条目）
[写入] CoMarshalInterThreadInterfaceInStream（5 条文档条目）
[写入] HACCEL_UserSize（2 条文档条目）
[写入] HACCEL_UserMarshal（3 条文档条目）
[写入] HACCEL_UserUnmarshal（3 条文档条目）
[写入] HACCEL_UserFree（4 条文档条目）
