从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：98 个
[写入] PdhGetDllVersion（5 条文档条目）
[写入] PdhOpenQueryW（5 条文档条目）
[写入] PdhOpenQueryA（5 条文档条目）
[写入] PdhAddCounterW（5 条文档条目）
[写入] PdhAddCounterA（5 条文档条目）
[写入] PdhAddEnglishCounterW（5 条文档条目）
[写入] PdhAddEnglishCounterA（5 条文档条目）
[写入] PdhCollectQueryDataWithTime（5 条文档条目）
[写入] PdhValidatePathExW（5 条文档条目）
[写入] PdhValidatePathExA（5 条文档条目）
[写入] PdhRemoveCounter（5 条文档条目）
[写入] PdhCollectQueryData（5 条文档条目）
[写入] PdhCloseQuery（5 条文档条目）
[写入] PdhGetFormattedCounterValue（5 条文档条目）
[写入] PdhGetFormattedCounterArrayA（6 条文档条目）
[写入] PdhGetFormattedCounterArrayW（6 条文档条目）
[写入] PdhGetRawCounterValue（5 条文档条目）
[写入] PdhGetRawCounterArrayA（5 条文档条目）
[写入] PdhGetRawCounterArrayW（5 条文档条目）
[写入] PdhCalculateCounterFromRawValue（5 条文档条目）
[写入] PdhComputeCounterStatistics（4 条文档条目）
[写入] PdhGetCounterInfoW（5 条文档条目）
[写入] PdhGetCounterInfoA（5 条文档条目）
[写入] PdhSetCounterScaleFactor（4 条文档条目）
[写入] PdhConnectMachineW（5 条文档条目）
[写入] PdhConnectMachineA（5 条文档条目）
[写入] PdhEnumMachinesW（5 条文档条目）
[写入] PdhEnumMachinesA（5 条文档条目）
[写入] PdhEnumObjectsW（5 条文档条目）
[写入] PdhEnumObjectsA（5 条文档条目）
[写入] PdhEnumObjectItemsW（5 条文档条目）
[写入] PdhEnumObjectItemsA（5 条文档条目）
[写入] PdhMakeCounterPathW（5 条文档条目）
[写入] PdhMakeCounterPathA（5 条文档条目）
[写入] PdhParseCounterPathW（5 条文档条目）
[写入] PdhParseCounterPathA（5 条文档条目）
[写入] PdhParseInstanceNameW（5 条文档条目）
[写入] PdhParseInstanceNameA（5 条文档条目）
[写入] PdhValidatePathW（5 条文档条目）
[写入] PdhValidatePathA（5 条文档条目）
[写入] PdhGetDefaultPerfObjectW（5 条文档条目）
[写入] PdhGetDefaultPerfObjectA（5 条文档条目）
[写入] PdhGetDefaultPerfCounterW（5 条文档条目）
[写入] PdhGetDefaultPerfCounterA（5 条文档条目）
[写入] PdhBrowseCountersW（5 条文档条目）
[写入] PdhBrowseCountersA（5 条文档条目）
[写入] PdhExpandCounterPathW（6 条文档条目）
[写入] PdhExpandCounterPathA（6 条文档条目）
[写入] PdhLookupPerfNameByIndexW（5 条文档条目）
[写入] PdhLookupPerfNameByIndexA（5 条文档条目）
[写入] PdhLookupPerfIndexByNameW（5 条文档条目）
[写入] PdhLookupPerfIndexByNameA（5 条文档条目）
[写入] PdhExpandWildCardPathA（5 条文档条目）
[写入] PdhExpandWildCardPathW（5 条文档条目）
[写入] PdhOpenLogW（5 条文档条目）
[写入] PdhOpenLogA（5 条文档条目）
[写入] PdhUpdateLogW（5 条文档条目）
[写入] PdhUpdateLogA（5 条文档条目）
[写入] PdhUpdateLogFileCatalog（5 条文档条目）
[写入] PdhGetLogFileSize（5 条文档条目）
[写入] PdhCloseLog（4 条文档条目）
[写入] PdhSelectDataSourceW（5 条文档条目）
[写入] PdhSelectDataSourceA（5 条文档条目）
[写入] PdhIsRealTimeQuery（5 条文档条目）
[写入] PdhSetQueryTimeRange（5 条文档条目）
[写入] PdhGetDataSourceTimeRangeW（5 条文档条目）
[写入] PdhGetDataSourceTimeRangeA（5 条文档条目）
[写入] PdhCollectQueryDataEx（6 条文档条目）
[写入] PdhFormatFromRawValue（4 条文档条目）
[写入] PdhGetCounterTimeBase（5 条文档条目）
[写入] PdhReadRawLogRecord（5 条文档条目）
[写入] PdhSetDefaultRealTimeDataSource（5 条文档条目）
[写入] PdhBindInputDataSourceW（5 条文档条目）
[写入] PdhBindInputDataSourceA（5 条文档条目）
[写入] PdhOpenQueryH（4 条文档条目）
[写入] PdhEnumMachinesHW（5 条文档条目）
[写入] PdhEnumMachinesHA（5 条文档条目）
[写入] PdhEnumObjectsHW（5 条文档条目）
[写入] PdhEnumObjectsHA（5 条文档条目）
[写入] PdhEnumObjectItemsHW（5 条文档条目）
[写入] PdhEnumObjectItemsHA（5 条文档条目）
[写入] PdhExpandWildCardPathHW（5 条文档条目）
[写入] PdhExpandWildCardPathHA（5 条文档条目）
[写入] PdhGetDataSourceTimeRangeH（4 条文档条目）
[写入] PdhGetDefaultPerfObjectHW（5 条文档条目）
[写入] PdhGetDefaultPerfObjectHA（5 条文档条目）
[写入] PdhGetDefaultPerfCounterHW（5 条文档条目）
[写入] PdhGetDefaultPerfCounterHA（5 条文档条目）
[写入] PdhBrowseCountersHW（5 条文档条目）
[写入] PdhBrowseCountersHA（5 条文档条目）
[跳过] PdhVerifySQLDBW：Learn 索引中未找到
[跳过] PdhVerifySQLDBA：Learn 索引中未找到
[跳过] PdhCreateSQLTablesW：Learn 索引中未找到
[跳过] PdhCreateSQLTablesA：Learn 索引中未找到
[写入] PdhEnumLogSetNamesW（5 条文档条目）
[写入] PdhEnumLogSetNamesA（5 条文档条目）
[跳过] PdhGetLogSetGUID：Learn 索引中未找到
[跳过] PdhSetLogSetRunID：Learn 索引中未找到

完成：处理 92，跳过(已存在) 0，索引缺失 6，失败 0
