从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：76 个
[跳过] MgmRegisterMProtocol：Learn 索引中未找到
[跳过] MgmDeRegisterMProtocol：Learn 索引中未找到
[跳过] MgmTakeInterfaceOwnership：Learn 索引中未找到
[跳过] MgmReleaseInterfaceOwnership：Learn 索引中未找到
[跳过] MgmGetProtocolOnInterface：Learn 索引中未找到
[跳过] MgmAddGroupMembershipEntry：Learn 索引中未找到
[跳过] MgmDeleteGroupMembershipEntry：Learn 索引中未找到
[跳过] MgmGetMfe：Learn 索引中未找到
[跳过] MgmGetFirstMfe：Learn 索引中未找到
[跳过] MgmGetNextMfe：Learn 索引中未找到
[跳过] MgmGetMfeStats：Learn 索引中未找到
[跳过] MgmGetFirstMfeStats：Learn 索引中未找到
[跳过] MgmGetNextMfeStats：Learn 索引中未找到
[跳过] MgmGroupEnumerationStart：Learn 索引中未找到
[跳过] MgmGroupEnumerationGetNext：Learn 索引中未找到
[跳过] MgmGroupEnumerationEnd：Learn 索引中未找到
[跳过] RtmConvertNetAddressToIpv6AddressAndLength：Learn 索引中未找到
[跳过] RtmConvertIpv6AddressAndLengthToNetAddress：Learn 索引中未找到
[跳过] RtmRegisterEntity：Learn 索引中未找到
[跳过] RtmDeregisterEntity：Learn 索引中未找到
[跳过] RtmGetRegisteredEntities：Learn 索引中未找到
[跳过] RtmReleaseEntities：Learn 索引中未找到
[跳过] RtmLockDestination：Learn 索引中未找到
[跳过] RtmGetOpaqueInformationPointer：Learn 索引中未找到
[跳过] RtmGetEntityMethods：Learn 索引中未找到
[跳过] RtmInvokeMethod：Learn 索引中未找到
[跳过] RtmBlockMethods：Learn 索引中未找到
[跳过] RtmGetEntityInfo：Learn 索引中未找到
[跳过] RtmGetDestInfo：Learn 索引中未找到
[跳过] RtmGetRouteInfo：Learn 索引中未找到
[跳过] RtmGetNextHopInfo：Learn 索引中未找到
[跳过] RtmReleaseEntityInfo：Learn 索引中未找到
[跳过] RtmReleaseDestInfo：Learn 索引中未找到
[跳过] RtmReleaseRouteInfo：Learn 索引中未找到
[跳过] RtmReleaseNextHopInfo：Learn 索引中未找到
[跳过] RtmAddRouteToDest：Learn 索引中未找到
[跳过] RtmDeleteRouteToDest：Learn 索引中未找到
[跳过] RtmHoldDestination：Learn 索引中未找到
[跳过] RtmGetRoutePointer：Learn 索引中未找到
[跳过] RtmLockRoute：Learn 索引中未找到
[跳过] RtmUpdateAndUnlockRoute：Learn 索引中未找到
[跳过] RtmGetExactMatchDestination：Learn 索引中未找到
[跳过] RtmGetMostSpecificDestination：Learn 索引中未找到
[跳过] RtmGetLessSpecificDestination：Learn 索引中未找到
[跳过] RtmGetExactMatchRoute：Learn 索引中未找到
[跳过] RtmIsBestRoute：Learn 索引中未找到
[跳过] RtmAddNextHop：Learn 索引中未找到
[跳过] RtmFindNextHop：Learn 索引中未找到
[跳过] RtmDeleteNextHop：Learn 索引中未找到
[跳过] RtmGetNextHopPointer：Learn 索引中未找到
[跳过] RtmLockNextHop：Learn 索引中未找到
[跳过] RtmCreateDestEnum：Learn 索引中未找到
[跳过] RtmGetEnumDests：Learn 索引中未找到
[跳过] RtmReleaseDests：Learn 索引中未找到
[跳过] RtmCreateRouteEnum：Learn 索引中未找到
[跳过] RtmGetEnumRoutes：Learn 索引中未找到
[跳过] RtmReleaseRoutes：Learn 索引中未找到
[跳过] RtmCreateNextHopEnum：Learn 索引中未找到
[跳过] RtmGetEnumNextHops：Learn 索引中未找到
[跳过] RtmReleaseNextHops：Learn 索引中未找到
[跳过] RtmDeleteEnumHandle：Learn 索引中未找到
[跳过] RtmRegisterForChangeNotification：Learn 索引中未找到
[跳过] RtmGetChangedDests：Learn 索引中未找到
[跳过] RtmReleaseChangedDests：Learn 索引中未找到
[跳过] RtmIgnoreChangedDests：Learn 索引中未找到
[跳过] RtmGetChangeStatus：Learn 索引中未找到
[跳过] RtmMarkDestForChangeNotification：Learn 索引中未找到
[跳过] RtmIsMarkedForChangeNotification：Learn 索引中未找到
[跳过] RtmDeregisterFromChangeNotification：Learn 索引中未找到
[跳过] RtmCreateRouteList：Learn 索引中未找到
[跳过] RtmInsertInRouteList：Learn 索引中未找到
[跳过] RtmCreateRouteListEnum：Learn 索引中未找到
[跳过] RtmGetListEnumRoutes：Learn 索引中未找到
[跳过] RtmDeleteRouteList：Learn 索引中未找到
[跳过] RtmReferenceHandles：Learn 索引中未找到
[跳过] CreateTable：Learn 索引中未找到

完成：处理 0，跳过(已存在) 0，索引缺失 76，失败 0
