从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：193 个
[跳过] WsStartReaderCanonicalization：Learn 索引中未找到
[跳过] WsEndReaderCanonicalization：Learn 索引中未找到
[跳过] WsStartWriterCanonicalization：Learn 索引中未找到
[跳过] WsEndWriterCanonicalization：Learn 索引中未找到
[跳过] WsCreateXmlBuffer：Learn 索引中未找到
[跳过] WsRemoveNode：Learn 索引中未找到
[跳过] WsCreateReader：Learn 索引中未找到
[跳过] WsSetInput：Learn 索引中未找到
[跳过] WsSetInputToBuffer：Learn 索引中未找到
[跳过] WsFreeReader：Learn 索引中未找到
[跳过] WsGetReaderProperty：Learn 索引中未找到
[跳过] WsGetReaderNode：Learn 索引中未找到
[跳过] WsFillReader：Learn 索引中未找到
[跳过] WsReadStartElement：Learn 索引中未找到
[跳过] WsReadToStartElement：Learn 索引中未找到
[跳过] WsReadStartAttribute：Learn 索引中未找到
[跳过] WsReadEndAttribute：Learn 索引中未找到
[跳过] WsReadNode：Learn 索引中未找到
[跳过] WsSkipNode：Learn 索引中未找到
[跳过] WsReadEndElement：Learn 索引中未找到
[跳过] WsFindAttribute：Learn 索引中未找到
[跳过] WsReadValue：Learn 索引中未找到
[跳过] WsReadChars：Learn 索引中未找到
[跳过] WsReadCharsUtf8：Learn 索引中未找到
[跳过] WsReadBytes：Learn 索引中未找到
[跳过] WsReadArray：Learn 索引中未找到
[跳过] WsGetReaderPosition：Learn 索引中未找到
[跳过] WsSetReaderPosition：Learn 索引中未找到
[跳过] WsMoveReader：Learn 索引中未找到
[跳过] WsCreateWriter：Learn 索引中未找到
[跳过] WsFreeWriter：Learn 索引中未找到
[跳过] WsSetOutput：Learn 索引中未找到
[跳过] WsSetOutputToBuffer：Learn 索引中未找到
[跳过] WsGetWriterProperty：Learn 索引中未找到
[跳过] WsFlushWriter：Learn 索引中未找到
[跳过] WsWriteStartElement：Learn 索引中未找到
[跳过] WsWriteEndStartElement：Learn 索引中未找到
[跳过] WsWriteXmlnsAttribute：Learn 索引中未找到
[跳过] WsWriteStartAttribute：Learn 索引中未找到
[跳过] WsWriteEndAttribute：Learn 索引中未找到
[跳过] WsWriteValue：Learn 索引中未找到
[跳过] WsWriteXmlBuffer：Learn 索引中未找到
[跳过] WsReadXmlBuffer：Learn 索引中未找到
[跳过] WsWriteXmlBufferToBytes：Learn 索引中未找到
[跳过] WsReadXmlBufferFromBytes：Learn 索引中未找到
[跳过] WsWriteArray：Learn 索引中未找到
[跳过] WsWriteQualifiedName：Learn 索引中未找到
[跳过] WsWriteChars：Learn 索引中未找到
