从索引缓存读取（index_cache.tsv）
清单：共 17148 个 API
筛选后待处理：172 个
[跳过] EnumPrintersA：Learn 索引中未找到
[跳过] EnumPrintersW：Learn 索引中未找到
[跳过] GetSpoolFileHandle：Learn 索引中未找到
[跳过] CommitSpoolData：Learn 索引中未找到
[跳过] CloseSpoolFileHandle：Learn 索引中未找到
[跳过] OpenPrinterA：Learn 索引中未找到
[跳过] OpenPrinterW：Learn 索引中未找到
[跳过] ResetPrinterA：Learn 索引中未找到
[跳过] ResetPrinterW：Learn 索引中未找到
[跳过] SetJobA：Learn 索引中未找到
[跳过] SetJobW：Learn 索引中未找到
[跳过] GetJobA：Learn 索引中未找到
[跳过] GetJobW：Learn 索引中未找到
[跳过] EnumJobsA：Learn 索引中未找到
[跳过] EnumJobsW：Learn 索引中未找到
[跳过] AddPrinterA：Learn 索引中未找到
[跳过] AddPrinterW：Learn 索引中未找到
[跳过] DeletePrinter：Learn 索引中未找到
[跳过] SetPrinterA：Learn 索引中未找到
[跳过] SetPrinterW：Learn 索引中未找到
[跳过] GetPrinterA：Learn 索引中未找到
[跳过] GetPrinterW：Learn 索引中未找到
[跳过] AddPrinterDriverA：Learn 索引中未找到
[跳过] AddPrinterDriverW：Learn 索引中未找到
[跳过] AddPrinterDriverExA：Learn 索引中未找到
[跳过] AddPrinterDriverExW：Learn 索引中未找到
[跳过] EnumPrinterDriversA：Learn 索引中未找到
[跳过] EnumPrinterDriversW：Learn 索引中未找到
[跳过] GetPrinterDriverA：Learn 索引中未找到
[跳过] GetPrinterDriverW：Learn 索引中未找到
[跳过] GetPrinterDriverDirectoryA：Learn 索引中未找到
[跳过] GetPrinterDriverDirectoryW：Learn 索引中未找到
[跳过] DeletePrinterDriverA：Learn 索引中未找到
[跳过] DeletePrinterDriverW：Learn 索引中未找到
[跳过] DeletePrinterDriverExA：Learn 索引中未找到
[跳过] DeletePrinterDriverExW：Learn 索引中未找到
[跳过] AddPrintProcessorA：Learn 索引中未找到
[跳过] AddPrintProcessorW：Learn 索引中未找到
[跳过] EnumPrintProcessorsA：Learn 索引中未找到
[跳过] EnumPrintProcessorsW：Learn 索引中未找到
[跳过] GetPrintProcessorDirectoryA：Learn 索引中未找到
[跳过] GetPrintProcessorDirectoryW：Learn 索引中未找到
[跳过] EnumPrintProcessorDatatypesA：Learn 索引中未找到
[跳过] EnumPrintProcessorDatatypesW：Learn 索引中未找到
[跳过] DeletePrintProcessorA：Learn 索引中未找到
[跳过] DeletePrintProcessorW：Learn 索引中未找到
[跳过] StartDocPrinterA：Learn 索引中未找到
[跳过] StartDocPrinterW：Learn 索引中未找到
[跳过] StartPagePrinter：Learn 索引中未找到
[跳过] WritePrinter：Learn 索引中未找到
[跳过] FlushPrinter：Learn 索引中未找到
[跳过] EndPagePrinter：Learn 索引中未找到
[跳过] AbortPrinter：Learn 索引中未找到
[跳过] ReadPrinter：Learn 索引中未找到
[跳过] EndDocPrinter：Learn 索引中未找到
[跳过] AddJobA：Learn 索引中未找到
[跳过] AddJobW：Learn 索引中未找到
[跳过] ScheduleJob：Learn 索引中未找到
[跳过] PrinterProperties：Learn 索引中未找到
[跳过] DocumentPropertiesA：Learn 索引中未找到
[跳过] DocumentPropertiesW：Learn 索引中未找到
[跳过] AdvancedDocumentPropertiesA：Learn 索引中未找到
[跳过] AdvancedDocumentPropertiesW：Learn 索引中未找到
[跳过] ExtDeviceMode：Learn 索引中未找到
[跳过] GetPrinterDataA：Learn 索引中未找到
[跳过] GetPrinterDataW：Learn 索引中未找到
[跳过] GetPrinterDataExA：Learn 索引中未找到
[跳过] GetPrinterDataExW：Learn 索引中未找到
[跳过] EnumPrinterDataA：Learn 索引中未找到
[跳过] EnumPrinterDataW：Learn 索引中未找到
[跳过] EnumPrinterDataExA：Learn 索引中未找到
[跳过] EnumPrinterDataExW：Learn 索引中未找到
[跳过] EnumPrinterKeyA：Learn 索引中未找到
[跳过] EnumPrinterKeyW：Learn 索引中未找到
[跳过] SetPrinterDataA：Learn 索引中未找到
[跳过] SetPrinterDataW：Learn 索引中未找到
[跳过] SetPrinterDataExA：Learn 索引中未找到
[跳过] SetPrinterDataExW：Learn 索引中未找到
[跳过] DeletePrinterDataA：Learn 索引中未找到
[跳过] DeletePrinterDataW：Learn 索引中未找到
[跳过] DeletePrinterDataExA：Learn 索引中未找到
[跳过] DeletePrinterDataExW：Learn 索引中未找到
[跳过] DeletePrinterKeyA：Learn 索引中未找到
[跳过] DeletePrinterKeyW：Learn 索引中未找到
[跳过] WaitForPrinterChange：Learn 索引中未找到
[跳过] FindFirstPrinterChangeNotification：Learn 索引中未找到
[跳过] FindNextPrinterChangeNotification：Learn 索引中未找到
[跳过] FreePrinterNotifyInfo：Learn 索引中未找到
[跳过] FindClosePrinterChangeNotification：Learn 索引中未找到
[跳过] PrinterMessageBoxA：Learn 索引中未找到
[跳过] PrinterMessageBoxW：Learn 索引中未找到
[跳过] ClosePrinter：Learn 索引中未找到
[跳过] AddFormA：Learn 索引中未找到
[跳过] AddFormW：Learn 索引中未找到
[跳过] DeleteFormA：Learn 索引中未找到
[跳过] DeleteFormW：Learn 索引中未找到
[跳过] GetFormA：Learn 索引中未找到
[跳过] GetFormW：Learn 索引中未找到
[跳过] SetFormA：Learn 索引中未找到
[跳过] SetFormW：Learn 索引中未找到
[跳过] EnumFormsA：Learn 索引中未找到
[跳过] EnumFormsW：Learn 索引中未找到
[跳过] EnumMonitorsA：Learn 索引中未找到
[跳过] EnumMonitorsW：Learn 索引中未找到
[跳过] AddMonitorA：Learn 索引中未找到
[跳过] AddMonitorW：Learn 索引中未找到
[跳过] DeleteMonitorA：Learn 索引中未找到
[跳过] DeleteMonitorW：Learn 索引中未找到
[跳过] EnumPortsA：Learn 索引中未找到
[跳过] EnumPortsW：Learn 索引中未找到
[跳过] AddPortA：Learn 索引中未找到
[跳过] AddPortW：Learn 索引中未找到
[跳过] ConfigurePortA：Learn 索引中未找到
[跳过] ConfigurePortW：Learn 索引中未找到
[跳过] DeletePortA：Learn 索引中未找到
[跳过] DeletePortW：Learn 索引中未找到
[跳过] XcvDataW：Learn 索引中未找到
[跳过] GetDefaultPrinterA：Learn 索引中未找到
[跳过] GetDefaultPrinterW：Learn 索引中未找到
[跳过] SetDefaultPrinterA：Learn 索引中未找到
[跳过] SetDefaultPrinterW：Learn 索引中未找到
[跳过] SetPortA：Learn 索引中未找到
[跳过] SetPortW：Learn 索引中未找到
[跳过] AddPrinterConnectionA：Learn 索引中未找到
[跳过] AddPrinterConnectionW：Learn 索引中未找到
[跳过] DeletePrinterConnectionA：Learn 索引中未找到
[跳过] DeletePrinterConnectionW：Learn 索引中未找到
[跳过] ConnectToPrinterDlg：Learn 索引中未找到
[跳过] AddPrintProvidorA：Learn 索引中未找到
[跳过] AddPrintProvidorW：Learn 索引中未找到
[跳过] DeletePrintProvidorA：Learn 索引中未找到
[跳过] DeletePrintProvidorW：Learn 索引中未找到
[跳过] IsValidDevmodeA：Learn 索引中未找到
[跳过] IsValidDevmodeW：Learn 索引中未找到
[跳过] OpenPrinter2A：Learn 索引中未找到
[跳过] OpenPrinter2W：Learn 索引中未找到
[跳过] AddPrinterConnection2A：Learn 索引中未找到
[跳过] AddPrinterConnection2W：Learn 索引中未找到
[跳过] InstallPrinterDriverFromPackageA：Learn 索引中未找到
[跳过] InstallPrinterDriverFromPackageW：Learn 索引中未找到
[跳过] UploadPrinterDriverPackageA：Learn 索引中未找到
[跳过] UploadPrinterDriverPackageW：Learn 索引中未找到
[跳过] GetCorePrinterDriversA：Learn 索引中未找到
[跳过] GetCorePrinterDriversW：Learn 索引中未找到
[跳过] CorePrinterDriverInstalledA：Learn 索引中未找到
[跳过] CorePrinterDriverInstalledW：Learn 索引中未找到
[跳过] GetPrinterDriverPackagePathA：Learn 索引中未找到
[跳过] GetPrinterDriverPackagePathW：Learn 索引中未找到
[跳过] DeletePrinterDriverPackageA：Learn 索引中未找到
[跳过] DeletePrinterDriverPackageW：Learn 索引中未找到
[跳过] ReportJobProcessingProgress：Learn 索引中未找到
[跳过] GetPrinterDriver2A：Learn 索引中未找到
[跳过] GetPrinterDriver2W：Learn 索引中未找到
[跳过] GetPrintExecutionData：Learn 索引中未找到
[跳过] GetJobNamedPropertyValue：Learn 索引中未找到
[跳过] FreePrintPropertyValue：Learn 索引中未找到
[跳过] FreePrintNamedPropertyArray：Learn 索引中未找到
[跳过] SetJobNamedProperty：Learn 索引中未找到
[跳过] DeleteJobNamedProperty：Learn 索引中未找到
[跳过] EnumJobNamedProperties：Learn 索引中未找到
[跳过] GetPrintOutputInfo：Learn 索引中未找到
[跳过] DevQueryPrintEx：Learn 索引中未找到
[跳过] RegisterForPrintAsyncNotifications：Learn 索引中未找到
[跳过] UnRegisterForPrintAsyncNotifications：Learn 索引中未找到
[跳过] CreatePrintAsyncNotifyChannel：Learn 索引中未找到
[跳过] CreatePrinterIC：Learn 索引中未找到
[跳过] PlayGdiScriptOnPrinterIC：Learn 索引中未找到
[跳过] DeletePrinterIC：Learn 索引中未找到
[跳过] DevQueryPrint：Learn 索引中未找到
[跳过] RouterFreeBidiResponseContainer：Learn 索引中未找到

完成：处理 0，跳过(已存在) 2，索引缺失 170，失败 0
