待翻译: 2221 条 (样本=0, 限制=0)
共 223 批, 并发 8
进度 10/2221 | 输入 1043 tok | 输出 728 tok | 费用 ¥0.0025 | 5s
进度 20/2221 | 输入 2059 tok | 输出 1432 tok | 费用 ¥0.0049 | 5s
进度 30/2221 | 输入 3160 tok | 输出 2202 tok | 费用 ¥0.0076 | 5s
进度 40/2221 | 输入 4369 tok | 输出 3112 tok | 费用 ¥0.0106 | 6s
进度 50/2221 | 输入 5971 tok | 输出 4357 tok | 费用 ¥0.0147 | 7s
进度 60/2221 | 输入 7565 tok | 输出 5571 tok | 费用 ¥0.0187 | 7s
进度 70/2221 | 输入 9718 tok | 输出 7316 tok | 费用 ¥0.0243 | 10s
进度 80/2221 | 输入 10948 tok | 输出 8209 tok | 费用 ¥0.0274 | 11s
进度 90/2221 | 输入 12237 tok | 输出 9132 tok | 费用 ¥0.0305 | 12s
进度 100/2221 | 输入 15014 tok | 输出 11365 tok | 费用 ¥0.0377 | 13s
进度 110/2221 | 输入 16789 tok | 输出 12741 tok | 费用 ¥0.0423 | 13s
进度 120/2221 | 输入 17627 tok | 输出 13277 tok | 费用 ¥0.0442 | 14s
进度 130/2221 | 输入 19094 tok | 输出 14425 tok | 费用 ¥0.0479 | 14s
进度 140/2221 | 输入 20635 tok | 输出 15586 tok | 费用 ¥0.0518 | 15s
进度 150/2221 | 输入 21920 tok | 输出 16546 tok | 费用 ¥0.0550 | 16s
进度 160/2221 | 输入 23001 tok | 输出 17342 tok | 费用 ¥0.0577 | 17s
进度 170/2221 | 输入 23941 tok | 输出 17963 tok | 费用 ¥0.0599 | 17s
进度 180/2221 | 输入 24777 tok | 输出 18474 tok | 费用 ¥0.0617 | 17s
进度 190/2221 | 输入 27505 tok | 输出 20834 tok | 费用 ¥0.0692 | 18s
进度 200/2221 | 输入 28678 tok | 输出 21686 tok | 费用 ¥0.0721 | 18s
进度 210/2221 | 输入 29664 tok | 输出 22401 tok | 费用 ¥0.0745 | 19s
进度 220/2221 | 输入 30859 tok | 输出 23287 tok | 费用 ¥0.0774 | 20s
进度 230/2221 | 输入 31797 tok | 输出 23921 tok | 费用 ¥0.0796 | 21s
进度 240/2221 | 输入 33203 tok | 输出 24935 tok | 费用 ¥0.0831 | 24s
进度 250/2221 | 输入 34717 tok | 输出 26036 tok | 费用 ¥0.0868 | 24s
进度 260/2221 | 输入 36448 tok | 输出 27409 tok | 费用 ¥0.0913 | 25s
进度 270/2221 | 输入 38668 tok | 输出 29215 tok | 费用 ¥0.0971 | 29s
进度 280/2221 | 输入 40686 tok | 输出 30875 tok | 费用 ¥0.1024 | 29s
进度 290/2221 | 输入 43134 tok | 输出 32933 tok | 费用 ¥0.1090 | 29s
进度 300/2221 | 输入 44773 tok | 输出 34171 tok | 费用 ¥0.1131 | 32s
进度 310/2221 | 输入 45829 tok | 输出 34896 tok | 费用 ¥0.1156 | 33s
进度 320/2221 | 输入 48633 tok | 输出 37298 tok | 费用 ¥0.1232 | 34s
进度 330/2221 | 输入 49757 tok | 输出 38083 tok | 费用 ¥0.1259 | 34s
进度 340/2221 | 输入 52838 tok | 输出 40635 tok | 费用 ¥0.1341 | 34s
进度 350/2221 | 输入 54172 tok | 输出 41639 tok | 费用 ¥0.1375 | 35s
进度 360/2221 | 输入 54992 tok | 输出 42129 tok | 费用 ¥0.1392 | 35s
进度 370/2221 | 输入 57457 tok | 输出 44124 tok | 费用 ¥0.1457 | 36s
进度 380/2221 | 输入 58273 tok | 输出 44614 tok | 费用 ¥0.1475 | 37s
进度 390/2221 | 输入 61072 tok | 输出 47146 tok | 费用 ¥0.1554 | 37s
进度 400/2221 | 输入 62237 tok | 输出 47986 tok | 费用 ¥0.1582 | 39s
进度 410/2221 | 输入 63525 tok | 输出 48966 tok | 费用 ¥0.1615 | 40s
进度 420/2221 | 输入 65230 tok | 输出 50322 tok | 费用 ¥0.1659 | 42s
进度 430/2221 | 输入 66630 tok | 输出 51379 tok | 费用 ¥0.1694 | 42s
进度 440/2221 | 输入 68274 tok | 输出 52629 tok | 费用 ¥0.1735 | 45s
进度 450/2221 | 输入 70400 tok | 输出 54397 tok | 费用 ¥0.1792 | 45s
进度 460/2221 | 输入 71679 tok | 输出 55344 tok | 费用 ¥0.1824 | 45s
进度 470/2221 | 输入 72860 tok | 输出 56184 tok | 费用 ¥0.1852 | 46s
进度 480/2221 | 输入 74845 tok | 输出 57778 tok | 费用 ¥0.1904 | 46s
进度 490/2221 | 输入 75694 tok | 输出 58322 tok | 费用 ¥0.1923 | 46s
进度 500/2221 | 输入 76785 tok | 输出 59135 tok | 费用 ¥0.1951 | 46s
进度 510/2221 | 输入 79262 tok | 输出 61204 tok | 费用 ¥0.2017 | 49s
进度 520/2221 | 输入 80243 tok | 输出 61872 tok | 费用 ¥0.2040 | 49s
进度 530/2221 | 输入 81338 tok | 输出 62646 tok | 费用 ¥0.2066 | 49s
进度 540/2221 | 输入 82656 tok | 输出 63604 tok | 费用 ¥0.2099 | 50s
  批次失败(第1次, 深度0): Expecting ',' delimiter: line 1 column 2867 (char 2866); 1s 后重试
进度 550/2221 | 输入 85782 tok | 输出 66162 tok | 费用 ¥0.2181 | 61s
进度 560/2221 | 输入 88575 tok | 输出 68436 tok | 费用 ¥0.2254 | 62s
进度 570/2221 | 输入 92155 tok | 输出 71532 tok | 费用 ¥0.2352 | 64s
进度 580/2221 | 输入 95221 tok | 输出 74100 tok | 费用 ¥0.2434 | 64s
进度 590/2221 | 输入 97030 tok | 输出 75480 tok | 费用 ¥0.2480 | 64s
进度 600/2221 | 输入 101207 tok | 输出 79014 tok | 费用 ¥0.2592 | 66s
进度 610/2221 | 输入 104691 tok | 输出 81756 tok | 费用 ¥0.2682 | 66s
进度 620/2221 | 输入 108614 tok | 输出 85065 tok | 费用 ¥0.2787 | 69s
进度 630/2221 | 输入 110196 tok | 输出 86217 tok | 费用 ¥0.2826 | 69s
进度 640/2221 | 输入 111650 tok | 输出 87271 tok | 费用 ¥0.2862 | 70s
进度 650/2221 | 输入 112866 tok | 输出 88133 tok | 费用 ¥0.2891 | 72s
进度 660/2221 | 输入 114651 tok | 输出 89459 tok | 费用 ¥0.2936 | 72s
进度 670/2221 | 输入 116603 tok | 输出 90938 tok | 费用 ¥0.2985 | 73s
进度 680/2221 | 输入 118295 tok | 输出 92216 tok | 费用 ¥0.3027 | 73s
进度 690/2221 | 输入 120953 tok | 输出 94382 tok | 费用 ¥0.3097 | 74s
进度 700/2221 | 输入 122510 tok | 输出 95500 tok | 费用 ¥0.3135 | 76s
进度 710/2221 | 输入 124458 tok | 输出 97057 tok | 费用 ¥0.3186 | 81s
进度 720/2221 | 输入 126770 tok | 输出 99011 tok | 费用 ¥0.3248 | 81s
进度 730/2221 | 输入 128639 tok | 输出 100469 tok | 费用 ¥0.3296 | 81s
进度 740/2221 | 输入 130740 tok | 输出 102156 tok | 费用 ¥0.3351 | 82s
进度 750/2221 | 输入 131522 tok | 输出 102632 tok | 费用 ¥0.3368 | 84s
进度 760/2221 | 输入 134055 tok | 输出 104749 tok | 费用 ¥0.3436 | 84s
进度 770/2221 | 输入 136247 tok | 输出 106538 tok | 费用 ¥0.3493 | 85s
进度 780/2221 | 输入 137436 tok | 输出 107383 tok | 费用 ¥0.3522 | 86s
进度 790/2221 | 输入 139820 tok | 输出 109324 tok | 费用 ¥0.3585 | 87s
进度 800/2221 | 输入 143539 tok | 输出 112547 tok | 费用 ¥0.3686 | 88s
进度 810/2221 | 输入 145195 tok | 输出 113808 tok | 费用 ¥0.3728 | 89s
进度 820/2221 | 输入 146388 tok | 输出 114645 tok | 费用 ¥0.3757 | 90s
进度 830/2221 | 输入 147619 tok | 输出 115540 tok | 费用 ¥0.3787 | 90s
进度 840/2221 | 输入 148556 tok | 输出 116152 tok | 费用 ¥0.3809 | 90s
进度 850/2221 | 输入 149766 tok | 输出 116993 tok | 费用 ¥0.3838 | 90s
进度 860/2221 | 输入 150936 tok | 输出 117807 tok | 费用 ¥0.3865 | 93s
进度 870/2221 | 输入 151984 tok | 输出 118501 tok | 费用 ¥0.3890 | 93s
进度 880/2221 | 输入 152906 tok | 输出 119094 tok | 费用 ¥0.3911 | 94s
进度 890/2221 | 输入 154166 tok | 输出 120023 tok | 费用 ¥0.3942 | 95s
进度 900/2221 | 输入 155322 tok | 输出 120855 tok | 费用 ¥0.3970 | 95s
