待翻译: 17922 条 (样本=0, 限制=0)
共 1793 批, 并发 6
进度 10/17922 | 输入 609 tok | 输出 322 tok | 费用 ¥0.0013 | 2s
进度 20/17922 | 输入 1267 tok | 输出 677 tok | 费用 ¥0.0026 | 3s
进度 30/17922 | 输入 2218 tok | 输出 1315 tok | 费用 ¥0.0048 | 4s
进度 40/17922 | 输入 3201 tok | 输出 1956 tok | 费用 ¥0.0071 | 4s
进度 50/17922 | 输入 4471 tok | 输出 2866 tok | 费用 ¥0.0102 | 6s
进度 60/17922 | 输入 5910 tok | 输出 3988 tok | 费用 ¥0.0139 | 6s
进度 70/17922 | 输入 7024 tok | 输出 4761 tok | 费用 ¥0.0165 | 7s
进度 80/17922 | 输入 8044 tok | 输出 5490 tok | 费用 ¥0.0190 | 8s
进度 90/17922 | 输入 9042 tok | 输出 6155 tok | 费用 ¥0.0214 | 12s
进度 100/17922 | 输入 9975 tok | 输出 6747 tok | 费用 ¥0.0235 | 12s
进度 110/17922 | 输入 11232 tok | 输出 7631 tok | 费用 ¥0.0265 | 12s
进度 120/17922 | 输入 13196 tok | 输出 9182 tok | 费用 ¥0.0316 | 13s
进度 130/17922 | 输入 14929 tok | 输出 10510 tok | 费用 ¥0.0359 | 13s
进度 140/17922 | 输入 17123 tok | 输出 12244 tok | 费用 ¥0.0416 | 14s
进度 150/17922 | 输入 18416 tok | 输出 13235 tok | 费用 ¥0.0449 | 18s
进度 160/17922 | 输入 19692 tok | 输出 14148 tok | 费用 ¥0.0480 | 18s
进度 170/17922 | 输入 21407 tok | 输出 15481 tok | 费用 ¥0.0524 | 21s
  批次失败(第1次, 深度0): Expecting ',' delimiter: line 1 column 3383 (char 3382); 1s 后重试
进度 180/17922 | 输入 23629 tok | 输出 17234 tok | 费用 ¥0.0581 | 23s
进度 190/17922 | 输入 24816 tok | 输出 18091 tok | 费用 ¥0.0610 | 23s
进度 200/17922 | 输入 25900 tok | 输出 18862 tok | 费用 ¥0.0636 | 25s
进度 210/17922 | 输入 26789 tok | 输出 19461 tok | 费用 ¥0.0657 | 27s
进度 220/17922 | 输入 27909 tok | 输出 20246 tok | 费用 ¥0.0684 | 28s
进度 230/17922 | 输入 30441 tok | 输出 22271 tok | 费用 ¥0.0750 | 29s
进度 240/17922 | 输入 33898 tok | 输出 25133 tok | 费用 ¥0.0842 | 31s
进度 250/17922 | 输入 35881 tok | 输出 26654 tok | 费用 ¥0.0892 | 33s
进度 260/17922 | 输入 37840 tok | 输出 28278 tok | 费用 ¥0.0944 | 34s
  批次失败(第1次, 深度0): Expecting ',' delimiter: line 1 column 1364 (char 1363); 1s 后重试
进度 270/17922 | 输入 39532 tok | 输出 29665 tok | 费用 ¥0.0989 | 36s
进度 280/17922 | 输入 41658 tok | 输出 31421 tok | 费用 ¥0.1045 | 36s
进度 290/17922 | 输入 42585 tok | 输出 31985 tok | 费用 ¥0.1066 | 37s
进度 300/17922 | 输入 44567 tok | 输出 33615 tok | 费用 ¥0.1118 | 38s
