待翻译: 1595 条 (样本=0, 限制=0)
共 160 批, 并发 8
进度 10/1595 | 输入 756 tok | 输出 440 tok | 费用 ¥0.0016 | 4s
进度 20/1595 | 输入 1558 tok | 输出 944 tok | 费用 ¥0.0034 | 4s
进度 30/1595 | 输入 2403 tok | 输出 1460 tok | 费用 ¥0.0053 | 4s
进度 40/1595 | 输入 3259 tok | 输出 1994 tok | 费用 ¥0.0072 | 4s
进度 50/1595 | 输入 4139 tok | 输出 2527 tok | 费用 ¥0.0092 | 4s
进度 60/1595 | 输入 5147 tok | 输出 3200 tok | 费用 ¥0.0115 | 5s
进度 70/1595 | 输入 6201 tok | 输出 3914 tok | 费用 ¥0.0140 | 5s
进度 80/1595 | 输入 7297 tok | 输出 4671 tok | 费用 ¥0.0166 | 5s
进度 90/1595 | 输入 7953 tok | 输出 5022 tok | 费用 ¥0.0180 | 7s
进度 100/1595 | 输入 8831 tok | 输出 5543 tok | 费用 ¥0.0199 | 8s
进度 110/1595 | 输入 9821 tok | 输出 6197 tok | 费用 ¥0.0222 | 9s
进度 120/1595 | 输入 10793 tok | 输出 6850 tok | 费用 ¥0.0245 | 9s
进度 130/1595 | 输入 11902 tok | 输出 7631 tok | 费用 ¥0.0272 | 9s
进度 140/1595 | 输入 13060 tok | 输出 8511 tok | 费用 ¥0.0301 | 10s
进度 150/1595 | 输入 14342 tok | 输出 9454 tok | 费用 ¥0.0333 | 11s
进度 160/1595 | 输入 15869 tok | 输出 10657 tok | 费用 ¥0.0372 | 11s
进度 170/1595 | 输入 16761 tok | 输出 11235 tok | 费用 ¥0.0392 | 12s
进度 180/1595 | 输入 17566 tok | 输出 11739 tok | 费用 ¥0.0410 | 15s
进度 190/1595 | 输入 18794 tok | 输出 12608 tok | 费用 ¥0.0440 | 16s
进度 200/1595 | 输入 20404 tok | 输出 13831 tok | 费用 ¥0.0481 | 16s
进度 210/1595 | 输入 22256 tok | 输出 15234 tok | 费用 ¥0.0527 | 19s
进度 220/1595 | 输入 23028 tok | 输出 15684 tok | 费用 ¥0.0544 | 19s
进度 230/1595 | 输入 23744 tok | 输出 16111 tok | 费用 ¥0.0560 | 19s
进度 240/1595 | 输入 24509 tok | 输出 16570 tok | 费用 ¥0.0576 | 19s
进度 250/1595 | 输入 26937 tok | 输出 18548 tok | 费用 ¥0.0640 | 20s
进度 260/1595 | 输入 28822 tok | 输出 20119 tok | 费用 ¥0.0691 | 20s
进度 270/1595 | 输入 31047 tok | 输出 21903 tok | 费用 ¥0.0749 | 22s
进度 280/1595 | 输入 31948 tok | 输出 22485 tok | 费用 ¥0.0769 | 23s
进度 290/1595 | 输入 35111 tok | 输出 25154 tok | 费用 ¥0.0854 | 24s
进度 300/1595 | 输入 36301 tok | 输出 25979 tok | 费用 ¥0.0883 | 24s
进度 310/1595 | 输入 37233 tok | 输出 26578 tok | 费用 ¥0.0904 | 24s
进度 320/1595 | 输入 38456 tok | 输出 27401 tok | 费用 ¥0.0933 | 26s
进度 330/1595 | 输入 39472 tok | 输出 28088 tok | 费用 ¥0.0956 | 26s
进度 340/1595 | 输入 41177 tok | 输出 29341 tok | 费用 ¥0.0999 | 27s
进度 350/1595 | 输入 42872 tok | 输出 30644 tok | 费用 ¥0.1042 | 27s
进度 360/1595 | 输入 43958 tok | 输出 31388 tok | 费用 ¥0.1067 | 28s
进度 370/1595 | 输入 44832 tok | 输出 31877 tok | 费用 ¥0.1086 | 30s
进度 380/1595 | 输入 46123 tok | 输出 32786 tok | 费用 ¥0.1117 | 30s
进度 390/1595 | 输入 47364 tok | 输出 33699 tok | 费用 ¥0.1148 | 31s
进度 400/1595 | 输入 48702 tok | 输出 34673 tok | 费用 ¥0.1180 | 33s
进度 410/1595 | 输入 49651 tok | 输出 35275 tok | 费用 ¥0.1202 | 35s
进度 420/1595 | 输入 51075 tok | 输出 36330 tok | 费用 ¥0.1237 | 35s
进度 430/1595 | 输入 53324 tok | 输出 38159 tok | 费用 ¥0.1296 | 35s
进度 440/1595 | 输入 54520 tok | 输出 38970 tok | 费用 ¥0.1325 | 35s
进度 450/1595 | 输入 55971 tok | 输出 40050 tok | 费用 ¥0.1361 | 37s
进度 460/1595 | 输入 56679 tok | 输出 40454 tok | 费用 ¥0.1376 | 38s
进度 470/1595 | 输入 58944 tok | 输出 42260 tok | 费用 ¥0.1435 | 38s
进度 480/1595 | 输入 61364 tok | 输出 44202 tok | 费用 ¥0.1498 | 38s
进度 490/1595 | 输入 62783 tok | 输出 45284 tok | 费用 ¥0.1534 | 40s
进度 500/1595 | 输入 63681 tok | 输出 45845 tok | 费用 ¥0.1554 | 41s
进度 510/1595 | 输入 64492 tok | 输出 46296 tok | 费用 ¥0.1571 | 41s
进度 520/1595 | 输入 65853 tok | 输出 47300 tok | 费用 ¥0.1605 | 42s
进度 530/1595 | 输入 66928 tok | 输出 47993 tok | 费用 ¥0.1629 | 42s
进度 540/1595 | 输入 67611 tok | 输出 48369 tok | 费用 ¥0.1643 | 42s
进度 550/1595 | 输入 68605 tok | 输出 49011 tok | 费用 ¥0.1666 | 43s
进度 560/1595 | 输入 70486 tok | 输出 50463 tok | 费用 ¥0.1714 | 43s
进度 570/1595 | 输入 71314 tok | 输出 50963 tok | 费用 ¥0.1732 | 44s
进度 580/1595 | 输入 73462 tok | 输出 52665 tok | 费用 ¥0.1788 | 45s
进度 590/1595 | 输入 74456 tok | 输出 53324 tok | 费用 ¥0.1811 | 45s
进度 600/1595 | 输入 75529 tok | 输出 54038 tok | 费用 ¥0.1836 | 47s
进度 610/1595 | 输入 76427 tok | 输出 54579 tok | 费用 ¥0.1856 | 47s
进度 620/1595 | 输入 77625 tok | 输出 55406 tok | 费用 ¥0.1884 | 47s
进度 630/1595 | 输入 78899 tok | 输出 56287 tok | 费用 ¥0.1915 | 49s
进度 640/1595 | 输入 80343 tok | 输出 57353 tok | 费用 ¥0.1950 | 49s
进度 650/1595 | 输入 81156 tok | 输出 57855 tok | 费用 ¥0.1969 | 50s
