待翻译: 937 条 (样本=0, 限制=0)
共 94 批, 并发 6
进度 10/937 | 输入 707 tok | 输出 409 tok | 费用 ¥0.0015 | 3s
进度 20/937 | 输入 1455 tok | 输出 868 tok | 费用 ¥0.0032 | 3s
进度 30/937 | 输入 2182 tok | 输出 1288 tok | 费用 ¥0.0048 | 3s
进度 40/937 | 输入 2928 tok | 输出 1740 tok | 费用 ¥0.0064 | 3s
进度 50/937 | 输入 4000 tok | 输出 2432 tok | 费用 ¥0.0089 | 5s
进度 60/937 | 输入 4725 tok | 输出 2861 tok | 费用 ¥0.0104 | 6s
进度 70/937 | 输入 5505 tok | 输出 3345 tok | 费用 ¥0.0122 | 6s
进度 80/937 | 输入 7184 tok | 输出 4614 tok | 费用 ¥0.0164 | 7s
进度 90/937 | 输入 7967 tok | 输出 5097 tok | 费用 ¥0.0182 | 8s
进度 100/937 | 输入 9176 tok | 输出 5961 tok | 费用 ¥0.0211 | 8s
进度 110/937 | 输入 9892 tok | 输出 6381 tok | 费用 ¥0.0227 | 9s
进度 120/937 | 输入 10650 tok | 输出 6848 tok | 费用 ¥0.0243 | 9s
进度 130/937 | 输入 12180 tok | 输出 7980 tok | 费用 ¥0.0281 | 10s
进度 140/937 | 输入 12896 tok | 输出 8401 tok | 费用 ¥0.0297 | 10s
进度 150/937 | 输入 13551 tok | 输出 8759 tok | 费用 ¥0.0311 | 11s
进度 160/937 | 输入 14190 tok | 输出 9111 tok | 费用 ¥0.0324 | 11s
进度 170/937 | 输入 15144 tok | 输出 9713 tok | 费用 ¥0.0346 | 13s
进度 180/937 | 输入 16135 tok | 输出 10402 tok | 费用 ¥0.0369 | 14s
进度 190/937 | 输入 16969 tok | 输出 10923 tok | 费用 ¥0.0388 | 17s
进度 200/937 | 输入 18889 tok | 输出 12395 tok | 费用 ¥0.0437 | 18s
进度 210/937 | 输入 20508 tok | 输出 13629 tok | 费用 ¥0.0478 | 18s
进度 220/937 | 输入 22036 tok | 输出 14781 tok | 费用 ¥0.0516 | 18s
进度 230/937 | 输入 22808 tok | 输出 15253 tok | 费用 ¥0.0533 | 21s
进度 240/937 | 输入 23748 tok | 输出 15910 tok | 费用 ¥0.0556 | 22s
进度 250/937 | 输入 24566 tok | 输出 16408 tok | 费用 ¥0.0574 | 22s
进度 260/937 | 输入 26209 tok | 输出 17714 tok | 费用 ¥0.0616 | 24s
进度 270/937 | 输入 29173 tok | 输出 20175 tok | 费用 ¥0.0695 | 24s
进度 280/937 | 输入 29936 tok | 输出 20635 tok | 费用 ¥0.0712 | 25s
进度 290/937 | 输入 30966 tok | 输出 21331 tok | 费用 ¥0.0736 | 27s
进度 300/937 | 输入 34360 tok | 输出 24181 tok | 费用 ¥0.0827 | 30s
进度 310/937 | 输入 36304 tok | 输出 25740 tok | 费用 ¥0.0878 | 30s
进度 320/937 | 输入 37652 tok | 输出 26752 tok | 费用 ¥0.0912 | 30s
进度 330/937 | 输入 39292 tok | 输出 28016 tok | 费用 ¥0.0953 | 31s
进度 340/937 | 输入 40757 tok | 输出 29103 tok | 费用 ¥0.0990 | 32s
进度 350/937 | 输入 41891 tok | 输出 29908 tok | 费用 ¥0.1017 | 33s
进度 360/937 | 输入 42661 tok | 输出 30359 tok | 费用 ¥0.1034 | 33s
进度 370/937 | 输入 43599 tok | 输出 31003 tok | 费用 ¥0.1056 | 34s
进度 380/937 | 输入 44692 tok | 输出 31754 tok | 费用 ¥0.1082 | 35s
进度 390/937 | 输入 45761 tok | 输出 32518 tok | 费用 ¥0.1108 | 37s
进度 400/937 | 输入 46979 tok | 输出 33340 tok | 费用 ¥0.1137 | 37s
进度 410/937 | 输入 48463 tok | 输出 34413 tok | 费用 ¥0.1173 | 39s
进度 420/937 | 输入 49619 tok | 输出 35166 tok | 费用 ¥0.1200 | 42s
进度 430/937 | 输入 51244 tok | 输出 36360 tok | 费用 ¥0.1240 | 42s
进度 440/937 | 输入 52948 tok | 输出 37600 tok | 费用 ¥0.1281 | 43s
进度 450/937 | 输入 55114 tok | 输出 39274 tok | 费用 ¥0.1337 | 44s
进度 460/937 | 输入 56707 tok | 输出 40379 tok | 费用 ¥0.1375 | 44s
进度 470/937 | 输入 57708 tok | 输出 41046 tok | 费用 ¥0.1398 | 44s
进度 480/937 | 输入 58647 tok | 输出 41656 tok | 费用 ¥0.1420 | 46s
进度 490/937 | 输入 59680 tok | 输出 42351 tok | 费用 ¥0.1444 | 48s
进度 500/937 | 输入 61110 tok | 输出 43374 tok | 费用 ¥0.1479 | 48s
进度 510/937 | 输入 62382 tok | 输出 44282 tok | 费用 ¥0.1509 | 50s
进度 520/937 | 输入 63354 tok | 输出 44938 tok | 费用 ¥0.1532 | 51s
进度 530/937 | 输入 64891 tok | 输出 46102 tok | 费用 ¥0.1571 | 51s
进度 540/937 | 输入 66989 tok | 输出 47748 tok | 费用 ¥0.1625 | 54s
进度 550/937 | 输入 68273 tok | 输出 48581 tok | 费用 ¥0.1654 | 54s
进度 560/937 | 输入 69976 tok | 输出 49726 tok | 费用 ¥0.1694 | 55s
进度 570/937 | 输入 71024 tok | 输出 50428 tok | 费用 ¥0.1719 | 59s
进度 580/937 | 输入 73223 tok | 输出 52216 tok | 费用 ¥0.1777 | 61s
进度 590/937 | 输入 75498 tok | 输出 54029 tok | 费用 ¥0.1836 | 62s
