待翻译: 1272 条 (样本=0, 限制=0)
共 128 批, 并发 8
进度 10/1272 | 输入 612 tok | 输出 310 tok | 费用 ¥0.0012 | 3s
进度 20/1272 | 输入 1294 tok | 输出 685 tok | 费用 ¥0.0027 | 3s
进度 30/1272 | 输入 1980 tok | 输出 1075 tok | 费用 ¥0.0041 | 3s
进度 40/1272 | 输入 2701 tok | 输出 1499 tok | 费用 ¥0.0057 | 3s
进度 50/1272 | 输入 3430 tok | 输出 1923 tok | 费用 ¥0.0073 | 3s
进度 60/1272 | 输入 4252 tok | 输出 2438 tok | 费用 ¥0.0091 | 4s
进度 70/1272 | 输入 5135 tok | 输出 2993 tok | 费用 ¥0.0111 | 4s
进度 80/1272 | 输入 6066 tok | 输出 3598 tok | 费用 ¥0.0133 | 5s
进度 90/1272 | 输入 6826 tok | 输出 4046 tok | 费用 ¥0.0149 | 6s
进度 100/1272 | 输入 7512 tok | 输出 4426 tok | 费用 ¥0.0164 | 7s
进度 110/1272 | 输入 8501 tok | 输出 5062 tok | 费用 ¥0.0186 | 8s
进度 120/1272 | 输入 9535 tok | 输出 5748 tok | 费用 ¥0.0210 | 8s
进度 130/1272 | 输入 10405 tok | 输出 6278 tok | 费用 ¥0.0230 | 8s
进度 140/1272 | 输入 11023 tok | 输出 6586 tok | 费用 ¥0.0242 | 8s
进度 150/1272 | 输入 12226 tok | 输出 7546 tok | 费用 ¥0.0273 | 9s
进度 160/1272 | 输入 13133 tok | 输出 8115 tok | 费用 ¥0.0294 | 9s
进度 170/1272 | 输入 14478 tok | 输出 9124 tok | 费用 ¥0.0327 | 9s
进度 180/1272 | 输入 15410 tok | 输出 9725 tok | 费用 ¥0.0349 | 11s
进度 190/1272 | 输入 16159 tok | 输出 10161 tok | 费用 ¥0.0365 | 11s
进度 200/1272 | 输入 16870 tok | 输出 10571 tok | 费用 ¥0.0380 | 11s
进度 210/1272 | 输入 17671 tok | 输出 11071 tok | 费用 ¥0.0398 | 12s
进度 220/1272 | 输入 18577 tok | 输出 11648 tok | 费用 ¥0.0419 | 12s
进度 230/1272 | 输入 19438 tok | 输出 12185 tok | 费用 ¥0.0438 | 13s
进度 240/1272 | 输入 20282 tok | 输出 12707 tok | 费用 ¥0.0457 | 14s
进度 250/1272 | 输入 21123 tok | 输出 13210 tok | 费用 ¥0.0475 | 15s
进度 260/1272 | 输入 21963 tok | 输出 13720 tok | 费用 ¥0.0494 | 15s
进度 270/1272 | 输入 22950 tok | 输出 14358 tok | 费用 ¥0.0517 | 15s
进度 280/1272 | 输入 23800 tok | 输出 14881 tok | 费用 ¥0.0536 | 15s
进度 290/1272 | 输入 25302 tok | 输出 15996 tok | 费用 ¥0.0573 | 16s
进度 300/1272 | 输入 26235 tok | 输出 16576 tok | 费用 ¥0.0594 | 16s
进度 310/1272 | 输入 28002 tok | 输出 17955 tok | 费用 ¥0.0639 | 17s
进度 320/1272 | 输入 28837 tok | 输出 18453 tok | 费用 ¥0.0657 | 17s
进度 330/1272 | 输入 29793 tok | 输出 19062 tok | 费用 ¥0.0679 | 18s
进度 340/1272 | 输入 30633 tok | 输出 19567 tok | 费用 ¥0.0698 | 19s
进度 350/1272 | 输入 31568 tok | 输出 20163 tok | 费用 ¥0.0719 | 19s
进度 360/1272 | 输入 32412 tok | 输出 20680 tok | 费用 ¥0.0738 | 19s
进度 370/1272 | 输入 33248 tok | 输出 21190 tok | 费用 ¥0.0756 | 20s
进度 380/1272 | 输入 34292 tok | 输出 21873 tok | 费用 ¥0.0780 | 21s
进度 390/1272 | 输入 35145 tok | 输出 22400 tok | 费用 ¥0.0799 | 21s
进度 400/1272 | 输入 36089 tok | 输出 22982 tok | 费用 ¥0.0821 | 21s
进度 410/1272 | 输入 36992 tok | 输出 23532 tok | 费用 ¥0.0841 | 22s
进度 420/1272 | 输入 37857 tok | 输出 24059 tok | 费用 ¥0.0860 | 22s
进度 430/1272 | 输入 38702 tok | 输出 24576 tok | 费用 ¥0.0879 | 22s
进度 440/1272 | 输入 39652 tok | 输出 25164 tok | 费用 ¥0.0900 | 23s
进度 450/1272 | 输入 40500 tok | 输出 25677 tok | 费用 ¥0.0919 | 24s
进度 460/1272 | 输入 41347 tok | 输出 26196 tok | 费用 ¥0.0937 | 25s
进度 470/1272 | 输入 42397 tok | 输出 26882 tok | 费用 ¥0.0962 | 25s
进度 480/1272 | 输入 43247 tok | 输出 27407 tok | 费用 ¥0.0981 | 25s
进度 490/1272 | 输入 44183 tok | 输出 27989 tok | 费用 ¥0.1002 | 26s
进度 500/1272 | 输入 45034 tok | 输出 28507 tok | 费用 ¥0.1020 | 26s
进度 510/1272 | 输入 45979 tok | 输出 29110 tok | 费用 ¥0.1042 | 26s
进度 520/1272 | 输入 46917 tok | 输出 29707 tok | 费用 ¥0.1063 | 26s
